"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X209967.31.Harlakhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"Round No.1"	"1"	"170"	"5"	"70"	"290"	"25"	"5"	"4"	"7"	"2"	"6"	"4"	"8"	"6"	"27"	"629"	""	"629"	""
"5"	""	"2"	"149"	"13"	"195"	"231"	"29"	"11"	"5"	"1"	"2"	"5"	"5"	"5"	"8"	"27"	"686"	""	"686"	""
"6"	""	"3"	"81"	"5"	"126"	"287"	"24"	"3"	"0"	"2"	"2"	"1"	"3"	"3"	"3"	"19"	"559"	""	"559"	""
"7"	""	"4"	"47"	"14"	"279"	"118"	"26"	"4"	"2"	"6"	"3"	"1"	"6"	"13"	"12"	"26"	"557"	""	"557"	""
"8"	""	"5"	"36"	"7"	"169"	"66"	"69"	"0"	"2"	"2"	"4"	"1"	"2"	"3"	"1"	"6"	"368"	""	"368"	""
"9"	""	"6"	"132"	"11"	"172"	"146"	"37"	"3"	"4"	"5"	"2"	"7"	"5"	"2"	"7"	"32"	"565"	""	"565"	""
"10"	""	"7"	"93"	"12"	"203"	"112"	"11"	"8"	"0"	"6"	"4"	"5"	"3"	"4"	"6"	"14"	"481"	""	"481"	""
"11"	""	"8"	"26"	"7"	"232"	"134"	"34"	"3"	"4"	"2"	"2"	"2"	"5"	"8"	"4"	"12"	"475"	""	"475"	""
"12"	""	"9"	"70"	"8"	"154"	"165"	"73"	"15"	"6"	"23"	"10"	"8"	"8"	"11"	"8"	"36"	"595"	""	"595"	""
