"Name.of.the.Assembly.Constituency....169..Sheikhpura.................................................................................................................No.of.Voters....200380"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"2"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"4"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"11"	"1"	"99"	"5"	"72"	"49"	"37"	"6"	"5"	"0"	"5"	"3"	"45"	"3"	"10"	"5"	"2"	"9"	"0"	"0"	"2"	"357"	""	"357"	""
"12"	"2"	"2"	"0"	"0"	"1"	"251"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"257"	""	"257"	""
"13"	"3"	"33"	"1"	"5"	"123"	"199"	"12"	"1"	"5"	"3"	"3"	"36"	"14"	"19"	"10"	"7"	"34"	"0"	"1"	"2"	"508"	""	"508"	""
"14"	"4"	"191"	"10"	"2"	"155"	"9"	"0"	"2"	"1"	"3"	"3"	"41"	"4"	"14"	"3"	"1"	"7"	"13"	"3"	"8"	"470"	""	"470"	""
"15"	"5"	"48"	"4"	"3"	"229"	"53"	"7"	"3"	"1"	"3"	"2"	"52"	"10"	"20"	"2"	"6"	"19"	"1"	"1"	"6"	"470"	""	"470"	""
"16"	"6"	"29"	"4"	"1"	"83"	"11"	"3"	"0"	"0"	"0"	"2"	"34"	"0"	"2"	"0"	"0"	"3"	"2"	"1"	"2"	"177"	""	"177"	""
"17"	"7"	"67"	"15"	"2"	"69"	"63"	"2"	"1"	"0"	"2"	"1"	"11"	"3"	"3"	"2"	"1"	"5"	"3"	"1"	"3"	"254"	""	"254"	""
"18"	"8"	"26"	"3"	"4"	"348"	"80"	"3"	"0"	"1"	"0"	"0"	"13"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"482"	""	"482"	""
"19"	"9"	"146"	"15"	"4"	"231"	"50"	"8"	"2"	"4"	"8"	"2"	"51"	"3"	"3"	"2"	"0"	"3"	"0"	"1"	"1"	"534"	""	"534"	""
"20"	"10"	"34"	"16"	"5"	"89"	"55"	"5"	"2"	"2"	"1"	"5"	"19"	"2"	"3"	"1"	"0"	"5"	"4"	"0"	"1"	"249"	""	"249"	""
"21"	"11"	"128"	"6"	"6"	"59"	"48"	"1"	"0"	"0"	"1"	"0"	"34"	"0"	"5"	"0"	"1"	"1"	"3"	"1"	"2"	"296"	""	"296"	""
"22"	"12"	"132"	"4"	"0"	"98"	"10"	"5"	"1"	"1"	"2"	"2"	"23"	"1"	"1"	"1"	"1"	"3"	"1"	"0"	"1"	"287"	""	"287"	""
"23"	"13"	"63"	"9"	"2"	"61"	"3"	"5"	"2"	"1"	"1"	"0"	"21"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"2"	"177"	""	"177"	""
"24"	"14"	"99"	"14"	"5"	"178"	"113"	"10"	"1"	"0"	"4"	"4"	"96"	"15"	"10"	"4"	"4"	"32"	"2"	"1"	"5"	"597"	""	"597"	""
"25"	"15"	"30"	"2"	"3"	"240"	"42"	"10"	"2"	"0"	"8"	"1"	"64"	"10"	"22"	"2"	"3"	"12"	"1"	"0"	"3"	"455"	""	"455"	""
"26"	"16"	"97"	"21"	"5"	"181"	"59"	"2"	"3"	"3"	"5"	"2"	"59"	"9"	"14"	"4"	"10"	"14"	"3"	"2"	"6"	"499"	""	"499"	""
"27"	"17"	"116"	"40"	"0"	"173"	"50"	"9"	"1"	"1"	"5"	"0"	"45"	"2"	"8"	"0"	"0"	"6"	"10"	"3"	"12"	"481"	""	"481"	""
"28"	"18"	"122"	"24"	"2"	"123"	"44"	"4"	"1"	"3"	"2"	"0"	"16"	"7"	"4"	"1"	"1"	"4"	"7"	"2"	"2"	"369"	""	"369"	""
"29"	"19"	"126"	"15"	"1"	"140"	"9"	"2"	"2"	"0"	"4"	"1"	"28"	"3"	"8"	"1"	"2"	"15"	"0"	"0"	"0"	"357"	""	"357"	""
"30"	"20"	"29"	"9"	"2"	"184"	"125"	"14"	"6"	"2"	"2"	"2"	"29"	"12"	"7"	"1"	"2"	"8"	"1"	"0"	"2"	"437"	""	"437"	""
