"Serial.No..of.Polling.Station"	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total.No..of.Tendered.votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"3"	"1"	2	3	4	5	6	7	8	9	10	11	12	"13"	""	""
"4"	"1"	21	7	224	142	17	8	12	12	14	9	12	"478"	""	""
"5"	"2"	4	1	49	116	6	1	0	10	7	3	7	"204"	""	""
"6"	"3"	14	5	124	314	10	3	9	15	14	15	23	"546"	""	""
"7"	"4"	10	1	371	54	1	1	1	4	3	3	1	"450"	""	""
"8"	"5"	4	4	621	61	3	0	0	6	6	5	2	"712"	""	""
"9"	"6"	20	3	213	90	6	1	1	9	5	9	9	"366"	""	""
"10"	"7"	10	8	253	137	5	0	4	4	7	1	3	"432"	""	""
"11"	"8"	9	3	213	117	7	3	7	7	14	4	10	"394"	""	""
"12"	"9"	9	2	196	5	9	2	0	4	17	2	10	"256"	""	""
"13"	"10"	17	6	302	127	12	6	5	4	7	7	4	"497"	""	""
"14"	"11"	9	0	51	222	3	0	7	25	5	6	14	"342"	""	""
"15"	"12"	15	6	129	288	8	1	5	4	4	7	23	"490"	""	""
"16"	"13"	2	2	401	9	2	0	0	1	2	0	3	"422"	""	""
"17"	"14"	9	1	81	156	4	3	10	7	5	1	5	"282"	""	""
"18"	"15"	12	8	125	187	15	5	10	20	9	8	9	"408"	""	""
"19"	"16"	7	3	140	176	8	0	5	8	0	2	4	"353"	""	""
"20"	"17"	5	12	169	195	13	4	11	21	18	10	7	"465"	""	""
"21"	"18"	24	6	291	157	10	6	5	20	11	12	20	"562"	""	""
"22"	"19"	13	4	191	170	14	0	5	10	13	11	24	"455"	""	""
"23"	"20"	18	3	348	141	19	3	3	12	9	10	7	"573"	""	""
"24"	"21"	7	1	131	44	7	4	2	3	8	5	7	"219"	""	""
"25"	"22"	7	1	114	178	2	1	2	6	1	1	1	"314"	""	""
"26"	"23"	16	7	289	362	13	11	11	12	20	23	22	"786"	""	""
"27"	"24"	4	3	173	355	15	3	10	14	12	6	10	"605"	""	""
"28"	"25"	14	5	160	375	7	4	5	21	9	3	6	"609"	""	""
"29"	"26"	1	1	199	277	5	1	2	6	7	3	3	"505"	""	""
"30"	"27"	1	3	173	227	6	1	6	7	9	5	5	"443"	""	""
"31"	"28"	5	6	201	206	12	3	5	8	11	1	9	"467"	""	""
"32"	"29"	4	3	251	288	10	0	3	21	14	11	17	"622"	""	""
"33"	"30"	16	3	315	264	11	4	3	10	11	7	8	"652"	""	""
"34"	"31"	15	0	167	119	7	2	2	6	13	5	5	"341"	""	""
"35"	"32"	6	1	78	166	4	1	1	3	3	2	4	"269"	""	""
"36"	"33"	7	0	228	47	4	2	3	2	9	4	8	"314"	""	""
"37"	"34"	13	3	211	126	9	1	10	16	11	4	7	"411"	""	""
"38"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"39"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"40"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"41"	"35"	2	0	131	125	6	1	1	5	2	5	5	"283"	""	""
"42"	"36"	5	5	123	210	6	0	2	7	2	0	0	"360"	""	""
"43"	"37"	12	5	216	321	21	5	7	26	12	4	8	"637"	""	""
"44"	"38"	6	10	277	128	9	3	6	11	10	3	2	"465"	""	""
"45"	"39"	6	0	137	335	7	4	4	8	11	8	4	"524"	""	""
"46"	"40"	21	1	174	282	18	4	8	18	11	5	12	"554"	""	""
"47"	"41"	4	0	53	229	21	2	3	17	4	2	9	"344"	""	""
"48"	"42"	17	2	185	189	7	9	3	13	7	9	13	"454"	""	""
"49"	"43"	15	4	79	182	12	3	7	14	3	5	4	"328"	""	""
"50"	"44"	7	2	112	255	40	5	7	18	9	9	13	"477"	""	""
"51"	"45"	19	7	212	203	16	10	5	18	15	15	16	"536"	""	""
"52"	"46"	29	5	219	204	6	4	1	19	6	5	0	"498"	""	""
"53"	"47"	2	0	124	75	3	0	0	2	2	2	3	"213"	""	""
"54"	"48"	5	4	139	139	15	1	4	10	8	10	19	"354"	""	""
"55"	"49"	19	4	236	215	8	4	5	13	4	4	3	"515"	""	""
"56"	"50"	11	2	89	287	17	7	6	13	6	5	10	"453"	""	""
"57"	"51"	15	2	50	199	8	0	9	17	7	7	10	"324"	""	""
"58"	"52"	17	9	173	136	2	7	8	11	6	4	3	"376"	""	""
"59"	"53"	26	6	105	224	9	4	12	17	0	5	5	"413"	""	""
"60"	"54"	18	5	148	141	16	6	5	16	9	16	17	"397"	""	""
"61"	"55"	11	3	146	72	9	3	2	5	5	9	8	"273"	""	""
"62"	"56"	23	1	357	52	2	0	0	1	4	3	0	"443"	""	""
"63"	"57"	24	2	69	232	8	4	3	13	4	5	6	"370"	""	""
"64"	"58"	6	1	222	122	17	3	2	2	4	2	1	"382"	""	""
"65"	"59"	25	3	234	129	3	5	6	9	20	7	14	"455"	""	""
"66"	"60"	16	3	73	291	4	1	3	6	2	2	0	"401"	""	""
"67"	"61"	19	6	159	285	8	2	4	11	6	4	5	"509"	""	""
"68"	"62"	12	3	116	182	19	8	12	28	17	10	20	"427"	""	""
"69"	"63"	25	1	110	206	11	10	13	20	10	7	14	"427"	""	""
"70"	"64"	13	11	119	185	23	1	4	10	9	3	1	"379"	""	""
"71"	"65"	8	2	483	19	1	0	1	0	4	0	3	"521"	""	""
"72"	"66"	9	3	508	174	13	1	2	11	5	3	7	"736"	""	""
"73"	"67"	23	15	501	79	13	5	5	5	8	4	17	"675"	""	""
"74"	"68"	16	12	233	352	21	11	11	30	15	12	32	"745"	""	""
"75"	"69"	17	5	212	107	12	2	8	8	19	14	20	"424"	""	""
"76"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"77"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"78"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
"79"	"70"	26	7	160	124	7	7	13	14	24	10	14	"406"	""	""
"80"	"71"	42	5	141	218	8	6	3	22	2	5	13	"465"	""	""
"81"	"72"	19	5	221	136	13	4	6	11	16	21	20	"472"	""	""
"82"	"73"	37	5	288	69	18	8	11	14	17	16	28	"511"	""	""
"83"	"74"	27	2	302	184	9	10	9	27	21	32	49	"672"	""	""
"84"	"75"	19	10	362	303	20	6	7	9	5	1	8	"750"	""	""
"85"	"76"	16	3	292	330	16	5	11	24	19	4	11	"731"	""	""
"86"	"77"	14	2	119	172	131	7	8	10	6	10	17	"496"	""	""
"87"	"78"	10	5	57	137	124	4	6	18	3	7	8	"379"	""	""
"88"	"79"	6	6	502	24	4	2	3	2	2	0	0	"551"	""	""
"89"	"80"	8	7	38	340	5	2	6	10	1	4	4	"425"	""	""
"90"	"81"	8	4	214	131	9	2	7	5	25	0	6	"411"	""	""
"91"	"82"	9	4	86	245	12	0	4	24	7	2	15	"408"	""	""
"92"	"83"	20	1	222	190	8	7	1	13	7	10	12	"491"	""	""
"93"	"84"	14	1	155	190	5	2	4	4	10	1	3	"389"	""	""
"94"	"85"	8	3	182	123	6	2	5	4	8	6	3	"350"	""	""
"95"	"86"	16	3	231	184	9	3	8	13	17	14	15	"513"	""	""
"96"	"87"	14	3	108	183	10	3	10	19	26	5	27	"408"	""	""
"97"	"88"	27	8	253	230	12	8	5	9	14	9	7	"582"	""	""
"98"	"89"	26	17	241	212	13	2	6	7	20	10	28	"582"	""	""
"99"	"90"	26	8	223	164	17	14	9	14	23	19	9	"526"	""	""
"100"	"91"	13	4	166	127	10	6	7	10	12	7	11	"373"	""	""
"101"	"92"	14	8	210	179	7	3	3	14	14	12	18	"482"	""	""
"102"	"93"	12	8	96	236	10	4	4	27	8	10	7	"422"	""	""
"103"	"94"	6	2	287	63	5	1	7	2	11	5	12	"401"	""	""
"104"	"95"	15	2	59	287	5	3	2	9	0	7	3	"392"	""	""
"105"	"96"	14	11	79	300	5	4	3	19	7	8	12	"462"	""	""
"106"	"97"	14	9	263	197	3	8	8	7	13	10	9	"541"	""	""
"107"	"98"	23	10	228	197	24	6	9	33	35	30	38	"633"	""	""
"108"	"99"	8	1	144	300	47	5	9	16	13	14	46	"603"	""	""
"109"	"100"	24	9	164	245	9	5	8	16	8	10	12	"510"	""	""
"110"	"101"	13	2	92	93	6	0	2	10	0	3	3	"224"	""	""
"111"	"102"	15	8	479	85	3	2	4	4	3	3	0	"606"	""	""
"112"	"103"	5	14	191	37	5	0	1	2	6	0	2	"263"	""	""
"113"	"104"	25	3	100	161	8	2	4	11	4	3	8	"329"	""	""
"114"	"Serial No. of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"115"	""	1	2	3	4	5	6	7	8	9	10	11	""	""	""
"116"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""
