"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"5"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"6"	"162"	"1"	"18"	"145"	"17"	"5"	"5"	"5"	"7"	"6"	"3"	"1"	"9"	"3"	"18"	"267"	"65"	"16"	"590"	"NIL"
"7"	"162"	"2"	"10"	"77"	"40"	"4"	"3"	"2"	"5"	"0"	"2"	"2"	"6"	"4"	"8"	"140"	"37"	"6"	"346"	"NIL"
"8"	"162"	"3"	"36"	"227"	"12"	"7"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"6"	"15"	"96"	"44"	"38"	"488"	"NIL"
"9"	"162"	"4"	"29"	"232"	"12"	"4"	"7"	"3"	"1"	"2"	"2"	"1"	"4"	"1"	"3"	"11"	"17"	"17"	"346"	"NIL"
"10"	"162"	"5"	"28"	"135"	"6"	"1"	"2"	"3"	"2"	"2"	"2"	"4"	"2"	"3"	"9"	"261"	"32"	"44"	"536"	"NIL"
"11"	"162"	"6"	"46"	"263"	"18"	"3"	"5"	"0"	"2"	"2"	"2"	"2"	"0"	"2"	"2"	"10"	"43"	"19"	"419"	"NIL"
"12"	"162"	"7"	"1"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"400"	"0"	"2"	"420"	"NIL"
"13"	"162"	"8"	"83"	"100"	"24"	"1"	"0"	"3"	"0"	"1"	"3"	"2"	"10"	"1"	"9"	"110"	"25"	"11"	"383"	"NIL"
"14"	"162"	"9"	"56"	"34"	"37"	"20"	"4"	"2"	"5"	"2"	"1"	"2"	"26"	"2"	"6"	"163"	"36"	"15"	"411"	"NIL"
"15"	"162"	"10"	"47"	"183"	"34"	"3"	"2"	"2"	"2"	"0"	"2"	"4"	"6"	"1"	"2"	"24"	"14"	"19"	"345"	"NIL"
