"TOTAL.NO.OF.ELECTORS.IN.96.BARURAJ.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"3"	1	"402"	"160"	"8"	"6"	"1"	"3"	"1"	"1"	"4"	"4"	"4"	"12"	"606"	""	""	""
"4"	2	"330"	"345"	"27"	"11"	"8"	"5"	"3"	"3"	"4"	"5"	"9"	"15"	"765"	""	""	""
"5"	3	"206"	"151"	"2"	"2"	"3"	"2"	"0"	"0"	"3"	"4"	"8"	"20"	"401"	""	""	""
"6"	4	"222"	"135"	"5"	"2"	"3"	"0"	"1"	"0"	"0"	"3"	"2"	"0"	"373"	""	""	""
"7"	5	"274"	"167"	"10"	"12"	"2"	"0"	"4"	"3"	"11"	"6"	"10"	"20"	"519"	""	""	""
"8"	6	"119"	"76"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"6"	"213"	""	""	""
"9"	7	"148"	"170"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"326"	""	""	""
"10"	8	"115"	"44"	"36"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"203"	""	""	""
"11"	9	"149"	"96"	"3"	"3"	"2"	"3"	"0"	"0"	"0"	"2"	"2"	"0"	"260"	""	""	""
"12"	10	"101"	"231"	"3"	"6"	"1"	"0"	"2"	"3"	"1"	"8"	"9"	"53"	"418"	""	""	""
"13"	11	"259"	"131"	"4"	"12"	"5"	"5"	"2"	"3"	"1"	"3"	"10"	"4"	"439"	""	""	""
"14"	12	"280"	"148"	"50"	"1"	"3"	"2"	"1"	"2"	"1"	"5"	"4"	"3"	"500"	""	""	""
"15"	13	"199"	"180"	"4"	"3"	"4"	"3"	"3"	"1"	"2"	"2"	"0"	"10"	"411"	""	""	""
"16"	14	"125"	"77"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"7"	"8"	"18"	"246"	""	""	""
"17"	15	"33"	"117"	"22"	"3"	"0"	"0"	"1"	"0"	"0"	"5"	"4"	"12"	"197"	""	""	""
"18"	16	"283"	"133"	"5"	"12"	"1"	"2"	"2"	"0"	"0"	"6"	"4"	"11"	"459"	""	""	""
"19"	17	"161"	"136"	"2"	"2"	"3"	"1"	"2"	"1"	"1"	"3"	"6"	"9"	"327"	""	""	""
"20"	18	"147"	"70"	"28"	"4"	"2"	"0"	"1"	"2"	"0"	"4"	"5"	"2"	"265"	""	""	""
"21"	19	"171"	"175"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"349"	""	""	""
"22"	20	"19"	"180"	"6"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"211"	""	""	""
"23"	21	"199"	"153"	"11"	"2"	"9"	"1"	"1"	"1"	"0"	"9"	"11"	"41"	"438"	""	""	""
"24"	22	"182"	"152"	"8"	"5"	"6"	"3"	"0"	"3"	"3"	"5"	"5"	"9"	"381"	""	""	""
"25"	23	"313"	"148"	"11"	"2"	"3"	"2"	"2"	"9"	"3"	"6"	"7"	"17"	"523"	""	""	""
"26"	24	"385"	"146"	"11"	"2"	"7"	"1"	"0"	"1"	"3"	"9"	"7"	"29"	"601"	""	""	""
"27"	25	"304"	"47"	"3"	"8"	"1"	"2"	"2"	"0"	"1"	"1"	"1"	"2"	"372"	""	""	""
"28"	26	"191"	"395"	"35"	"7"	"3"	"4"	"4"	"4"	"1"	"9"	"12"	"30"	"695"	""	""	""
"29"	27	"182"	"193"	"15"	"2"	"1"	"2"	"3"	"0"	"1"	"1"	"1"	"6"	"407"	""	""	""
"30"	28	"423"	"113"	"20"	"9"	"4"	"2"	"1"	"2"	"0"	"5"	"2"	"8"	"589"	""	""	""
"31"	29	"371"	"97"	"3"	"8"	"3"	"0"	"2"	"0"	"2"	"6"	"4"	"11"	"507"	""	""	""
"32"	30	"186"	"194"	"4"	"6"	"0"	"3"	"0"	"0"	"2"	"2"	"3"	"13"	"413"	""	""	""
"33"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"36"	31	"179"	"127"	"12"	"3"	"0"	"3"	"1"	"2"	"2"	"4"	"11"	"15"	"359"	""	""	""
"37"	32	"162"	"223"	"5"	"21"	"5"	"4"	"1"	"0"	"2"	"0"	"4"	"4"	"431"	""	""	""
"38"	33	"319"	"92"	"5"	"10"	"1"	"3"	"3"	"3"	"2"	"2"	"6"	"37"	"483"	""	""	""
"39"	34	"365"	"231"	"7"	"7"	"1"	"4"	"0"	"1"	"3"	"4"	"10"	"9"	"642"	""	""	""
"40"	35	"262"	"200"	"10"	"10"	"3"	"3"	"2"	"0"	"1"	"11"	"9"	"31"	"542"	""	""	""
"41"	36	"167"	"203"	"27"	"4"	"0"	"1"	"2"	"0"	"0"	"2"	"2"	"4"	"412"	""	""	""
"42"	37	"111"	"55"	"10"	"4"	"0"	"1"	"0"	"3"	"1"	"4"	"0"	"3"	"192"	""	""	""
