"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X256817.36.Madhubani"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"4"	"Round No.1"	"1"	"51"	"2"	"67"	"154"	"11"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"9"	"8"	"309"	""	"309"	""
"5"	""	"2"	"84"	"3"	"55"	"119"	"15"	"1"	"2"	"1"	"2"	"2"	"4"	"0"	"2"	"7"	"297"	""	"297"	""
"6"	""	"3"	"333"	"14"	"40"	"174"	"14"	"7"	"3"	"4"	"1"	"0"	"4"	"1"	"5"	"7"	"607"	""	"607"	""
"7"	""	"4"	"419"	"4"	"151"	"3"	"10"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"594"	""	"594"	""
"8"	""	"5"	"208"	"11"	"6"	"84"	"22"	"1"	"4"	"11"	"1"	"0"	"1"	"2"	"26"	"14"	"391"	""	"391"	""
"9"	""	"6"	"242"	"5"	"48"	"27"	"7"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"4"	"337"	""	"337"	""
"10"	""	"7"	"320"	"7"	"9"	"52"	"8"	"2"	"0"	"4"	"3"	"0"	"0"	"3"	"4"	"27"	"439"	""	"439"	""
"11"	""	"8"	"49"	"2"	"139"	"270"	"105"	"5"	"2"	"2"	"2"	"6"	"2"	"3"	"2"	"6"	"595"	""	"595"	""
"12"	""	"9"	"59"	"2"	"54"	"170"	"17"	"0"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"307"	""	"307"	""
