"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkishore.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"1"	234	1	5	44	6	260	4	10	4	1	2	0	1	0	4	0	0	1	342
"2"	234	2	7	9	1	94	0	0	0	0	1	0	0	0	1	0	0	1	114
"3"	234	3	36	98	9	192	3	8	1	1	0	0	1	0	0	1	0	0	350
"4"	234	4	3	40	45	423	4	2	3	2	2	0	3	2	3	1	4	7	544
"5"	234	5	15	43	48	364	9	3	6	3	3	4	3	3	4	6	4	10	528
"6"	234	6	2	4	7	165	1	1	0	2	1	0	0	0	1	1	0	5	190
"7"	234	7	8	53	29	237	4	6	0	0	0	0	1	0	1	1	2	0	342
"8"	234	8	3	33	31	58	1	17	1	0	0	0	2	1	0	2	2	1	152
"9"	234	9	20	69	29	224	3	11	2	6	3	2	6	4	4	2	4	0	389
"10"	234	10	11	219	12	95	3	5	1	1	5	5	1	0	1	1	0	1	361
"11"	234	11	6	188	13	190	2	22	5	2	2	2	7	1	1	1	3	1	446
"12"	234	12	3	117	36	234	5	15	2	14	1	0	2	1	2	1	7	4	444
"13"	234	13	5	6	31	299	2	0	0	8	0	2	0	0	1	1	0	1	356
"14"	234	14	54	24	64	291	1	0	2	9	2	1	2	0	2	1	3	8	464
"15"	234	15	1	41	77	300	3	6	1	23	1	2	3	2	6	1	8	13	488
"16"	234	16	1	28	23	378	4	4	1	1	3	2	1	3	4	0	1	7	461
"17"	234	17	1	19	38	313	1	0	0	1	1	0	0	1	0	0	0	0	375
"18"	234	18	5	61	48	404	2	3	2	6	4	3	2	5	2	1	2	1	551
"19"	234	19	0	70	95	135	1	13	3	3	0	2	1	1	1	0	3	3	331
"20"	234	20	2	71	100	216	3	10	4	0	0	0	4	1	2	2	3	4	422
"21"	234	21	4	9	6	181	1	2	0	2	1	0	1	1	2	0	0	1	211
"22"	234	22	12	86	61	235	2	11	4	22	3	6	10	5	2	2	4	3	468
"23"	234	23	9	150	10	133	2	2	0	1	2	3	4	1	0	0	7	1	325
"24"	234	24	3	264	8	112	2	0	0	0	0	3	0	0	0	0	0	1	393
"25"	234	25	5	97	35	323	10	3	3	9	3	2	1	3	6	5	1	7	513
"26"	234	26	13	28	17	115	3	0	1	1	1	0	0	1	0	1	0	0	181
"27"	234	27	6	113	13	90	2	0	1	0	1	0	3	0	0	1	0	1	231
"28"	234	28	56	121	23	197	4	22	3	2	0	2	2	1	3	1	4	4	445
"29"	234	29	11	36	120	173	7	5	0	0	2	0	2	0	2	2	0	1	361
"30"	234	30	35	16	27	168	0	1	1	0	8	0	2	1	7	3	1	4	274
"31"	234	31	46	19	43	299	7	0	0	1	1	3	0	2	0	1	0	4	426
"32"	234	32	2	36	28	153	2	4	0	0	0	0	2	0	0	0	0	1	228
"33"	234	33	0	1	41	181	3	1	0	0	0	0	1	0	1	0	0	3	232
"34"	234	34	0	20	34	379	2	2	0	0	1	0	1	0	2	2	3	0	446
"35"	234	35	10	28	26	475	4	1	2	1	0	1	1	0	2	0	3	7	561
"36"	234	36	1	87	49	210	0	0	2	0	0	1	0	0	0	1	0	2	353
"37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	234	37	1	46	52	174	0	1	0	0	0	0	0	0	0	0	0	0	274
"39"	234	38	0	11	73	96	0	0	0	0	0	0	0	0	0	0	0	0	180
"40"	234	39	2	72	102	189	1	0	1	1	0	0	0	0	0	0	1	1	370
"41"	234	40	0	2	26	394	0	0	0	0	0	0	1	1	0	0	0	0	424
"42"	234	41	0	3	16	603	3	0	1	0	0	0	0	0	0	0	0	1	627
"43"	234	42	20	89	45	165	2	0	0	1	0	0	0	1	1	1	1	2	328
"44"	234	43	20	251	10	11	1	8	1	1	0	0	1	2	0	1	4	0	311
"45"	234	44	3	7	27	158	4	7	3	0	1	2	2	3	5	2	2	2	228
