"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    253901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 154-Pirpainti (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"8"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"9"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"1"	"30"	"79"	"8"	"132"	"53"	"2"	"1"	"7"	"8"	"4"	"4"	"5"	"5"	"4"	"3"	"19"	"4"	"0"	"1"	"11"	"5"	"385"	"0"	"385"	"0"
"11"	"2"	"2"	"77"	"32"	"11"	"32"	"180"	"10"	"0"	"3"	"17"	"5"	"4"	"1"	"5"	"3"	"5"	"21"	"3"	"0"	"1"	"5"	"2"	"417"	"0"	"417"	"0"
"12"	"3"	"3"	"125"	"86"	"14"	"24"	"83"	"5"	"5"	"3"	"6"	"9"	"8"	"1"	"3"	"1"	"4"	"16"	"3"	"3"	"1"	"0"	"3"	"403"	"0"	"403"	"0"
"13"	"4"	"4"	"62"	"154"	"17"	"24"	"43"	"4"	"4"	"21"	"8"	"0"	"2"	"6"	"4"	"2"	"10"	"39"	"8"	"67"	"3"	"3"	"4"	"485"	"0"	"485"	"0"
"14"	"5"	"5"	"24"	"175"	"41"	"35"	"131"	"2"	"3"	"2"	"2"	"1"	"4"	"0"	"0"	"2"	"3"	"16"	"4"	"8"	"2"	"4"	"5"	"464"	"0"	"464"	"0"
"15"	"6"	"6"	"20"	"116"	"29"	"47"	"226"	"12"	"3"	"6"	"4"	"1"	"4"	"1"	"2"	"1"	"4"	"5"	"8"	"1"	"0"	"2"	"4"	"496"	"0"	"496"	"0"
"16"	"7"	"7"	"98"	"21"	"21"	"14"	"72"	"0"	"1"	"2"	"0"	"10"	"3"	"1"	"0"	"0"	"1"	"40"	"5"	"105"	"2"	"2"	"0"	"398"	"0"	"398"	"0"
"17"	"8"	"8"	"20"	"284"	"12"	"2"	"21"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"2"	"31"	"1"	"1"	"1"	"6"	"388"	"0"	"388"	"0"
"18"	"9"	"9"	"32"	"265"	"50"	"17"	"187"	"8"	"1"	"4"	"5"	"9"	"5"	"3"	"0"	"4"	"4"	"4"	"4"	"2"	"1"	"1"	"4"	"610"	"0"	"610"	"0"
"19"	"10"	"10"	"8"	"28"	"22"	"74"	"61"	"6"	"0"	"1"	"2"	"1"	"15"	"0"	"3"	"2"	"9"	"27"	"7"	"60"	"4"	"2"	"3"	"335"	"0"	"335"	"0"
"20"	"11"	"11"	"16"	"50"	"20"	"42"	"38"	"7"	"4"	"5"	"3"	"4"	"17"	"6"	"1"	"8"	"7"	"38"	"6"	"94"	"2"	"4"	"6"	"378"	"0"	"378"	"0"
"21"	"12"	"12"	"103"	"5"	"25"	"49"	"146"	"8"	"1"	"6"	"1"	"1"	"2"	"0"	"3"	"1"	"4"	"8"	"9"	"1"	"6"	"4"	"11"	"394"	"0"	"394"	"0"
"22"	"13"	"13"	"17"	"231"	"19"	"6"	"226"	"6"	"1"	"3"	"2"	"11"	"5"	"3"	"3"	"1"	"3"	"14"	"8"	"2"	"1"	"0"	"8"	"570"	"0"	"570"	"0"
"23"	"14"	"14"	"24"	"72"	"25"	"5"	"342"	"22"	"4"	"4"	"2"	"3"	"12"	"10"	"9"	"3"	"9"	"22"	"8"	"8"	"3"	"1"	"17"	"605"	"0"	"605"	"0"
