"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tender.ed.votes"
"1"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"4"	"4"	"25"	"8"	"514"	"5"	"5"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"573"	"0"	"573"	""
"4"	"2"	"2"	"12"	"11"	"123"	"7"	"75"	"1"	"3"	"2"	"1"	"0"	"0"	"2"	"0"	"7"	"4"	"248"	"0"	"248"	""
"5"	"3"	"3"	"23"	"15"	"380"	"11"	"108"	"4"	"2"	"3"	"0"	"1"	"3"	"5"	"22"	"9"	"3"	"589"	"0"	"589"	""
"6"	"4"	"4"	"8"	"17"	"382"	"27"	"95"	"3"	"1"	"6"	"2"	"0"	"3"	"1"	"5"	"3"	"11"	"564"	"0"	"564"	""
"7"	"5"	"5"	"38"	"12"	"171"	"21"	"134"	"3"	"4"	"3"	"3"	"0"	"3"	"7"	"13"	"13"	"7"	"432"	"0"	"432"	""
"8"	"6"	"6"	"7"	"11"	"107"	"9"	"103"	"1"	"4"	"5"	"0"	"0"	"2"	"9"	"2"	"7"	"4"	"271"	"0"	"271"	""
"9"	"7"	"7"	"0"	"0"	"49"	"5"	"167"	"3"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"3"	"233"	"0"	"233"	""
"10"	"8"	"8"	"7"	"3"	"76"	"22"	"278"	"4"	"1"	"1"	"2"	"2"	"2"	"5"	"2"	"4"	"11"	"420"	"0"	"420"	""
"11"	"9"	"9"	"20"	"17"	"104"	"94"	"109"	"2"	"1"	"1"	"0"	"2"	"1"	"0"	"9"	"7"	"14"	"381"	"0"	"381"	""
"12"	"10"	"10"	"45"	"29"	"187"	"19"	"178"	"7"	"5"	"9"	"4"	"4"	"9"	"8"	"12"	"11"	"18"	"545"	"0"	"545"	""
"13"	"11"	"11"	"133"	"12"	"68"	"46"	"255"	"5"	"6"	"5"	"3"	"3"	"7"	"6"	"4"	"6"	"20"	"579"	"0"	"579"	""
"14"	"12"	"12"	"61"	"20"	"211"	"60"	"101"	"2"	"3"	"0"	"1"	"2"	"0"	"2"	"16"	"13"	"15"	"507"	"0"	"507"	""
"15"	"13"	"13"	"45"	"13"	"198"	"35"	"195"	"2"	"5"	"0"	"0"	"2"	"2"	"1"	"9"	"3"	"7"	"517"	"0"	"517"	""
"16"	"14"	"14"	"176"	"13"	"113"	"49"	"65"	"0"	"4"	"1"	"1"	"0"	"0"	"3"	"7"	"1"	"13"	"446"	"0"	"446"	""
"17"	"15"	"15"	"179"	"4"	"45"	"23"	"55"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"5"	"315"	"0"	"315"	""
"18"	"16"	"16"	"204"	"8"	"39"	"32"	"10"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"2"	"0"	"2"	"300"	"0"	"300"	""
"19"	"17"	"17"	"83"	"8"	"83"	"16"	"114"	"0"	"2"	"2"	"0"	"2"	"3"	"2"	"3"	"1"	"4"	"323"	"0"	"323"	""
"20"	"18"	"18"	"150"	"24"	"120"	"139"	"61"	"5"	"0"	"2"	"1"	"0"	"2"	"1"	"1"	"2"	"3"	"511"	"0"	"511"	""
"21"	"19"	"19"	"43"	"11"	"146"	"48"	"10"	"2"	"2"	"0"	"0"	"0"	"59"	"1"	"4"	"2"	"4"	"332"	"0"	"332"	""
"22"	"20"	"20"	"55"	"7"	"37"	"46"	"31"	"0"	"1"	"3"	"1"	"1"	"71"	"0"	"1"	"2"	"4"	"260"	"0"	"260"	""
"23"	"21"	"21"	"75"	"18"	"87"	"29"	"72"	"4"	"6"	"6"	"3"	"6"	"110"	"6"	"7"	"6"	"9"	"444"	"0"	"444"	""
"24"	"22"	"22"	"28"	"4"	"54"	"24"	"11"	"2"	"1"	"1"	"7"	"0"	"80"	"2"	"2"	"3"	"10"	"229"	"0"	"229"	""
"25"	"23"	"23"	"79"	"21"	"74"	"53"	"25"	"6"	"1"	"5"	"6"	"4"	"199"	"8"	"8"	"5"	"15"	"509"	"0"	"509"	""
"26"	"24"	"24"	"385"	"4"	"3"	"62"	"26"	"2"	"3"	"1"	"1"	"1"	"2"	"1"	"2"	"4"	"9"	"506"	"0"	"506"	""
"27"	"25"	"25"	"24"	"7"	"243"	"43"	"204"	"6"	"2"	"0"	"1"	"0"	"2"	"1"	"6"	"3"	"4"	"546"	"0"	"546"	""
"28"	"26"	"26"	"71"	"6"	"69"	"12"	"136"	"3"	"2"	"3"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"308"	"0"	"308"	""
"29"	"27"	"27"	"40"	"13"	"117"	"26"	"320"	"9"	"4"	"3"	"2"	"2"	"1"	"1"	"4"	"1"	"5"	"548"	"0"	"548"	""
"30"	"28"	"28"	"135"	"29"	"362"	"36"	"32"	"3"	"5"	"5"	"4"	"6"	"2"	"6"	"15"	"15"	"20"	"675"	"0"	"675"	""
"31"	"29"	"29"	"15"	"7"	"187"	"43"	"230"	"2"	"1"	"2"	"2"	"1"	"4"	"6"	"4"	"5"	"5"	"514"	"0"	"514"	""
"32"	"30"	"30"	"15"	"6"	"128"	"48"	"284"	"5"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"4"	"4"	"500"	"0"	"500"	""
"33"	"31"	"31"	"25"	"2"	"167"	"29"	"232"	"6"	"1"	"1"	"0"	"2"	"3"	"1"	"2"	"2"	"4"	"477"	"0"	"477"	""
"34"	"32"	"32"	"27"	"1"	"29"	"23"	"223"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"0"	"305"	""
"35"	"33"	"33"	"34"	"13"	"88"	"76"	"120"	"4"	"3"	"3"	"2"	"1"	"1"	"5"	"6"	"2"	"9"	"367"	"0"	"367"	""
"36"	"34"	"34"	"76"	"3"	"78"	"22"	"93"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"3"	"4"	"284"	"0"	"284"	""
"37"	"35"	"35"	"90"	"15"	"91"	"14"	"121"	"1"	"2"	"3"	"3"	"1"	"3"	"2"	"1"	"3"	"4"	"354"	"0"	"354"	""
"38"	"36"	"36"	"13"	"35"	"319"	"41"	"51"	"1"	"7"	"4"	"3"	"1"	"1"	"8"	"8"	"7"	"10"	"509"	"0"	"509"	""
"39"	"37"	"37"	"22"	"7"	"82"	"25"	"173"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"317"	"0"	"317"	""
"40"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
