"er.nku.dsUnz.l.a....k"	"i.kj.l..ukFk.i.kBd"	"c.f..k.k.i.Vsy"	"fot.....kadj..nwcs"	"gsuk...kgkc"	"vej..ukFk...kno"	"vLouh.dq0.oekZ"	"ek.kqj.h.i.k.Ms."	"yky..ckcq.fr.okj.h"	"mes..k.fr.okj.h"	"vkse.i.zdk..k...kno"	"fuf.k.dhfr.Z"	"i.zHkw.ukFk.ekyh"	"MkW0.equs..oj.i.zl.kn"	"j.kt.sUnz.dqekj"	"X..kEHkw.ukFk.i.zl.kn"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	1	20	166	5	34	133	10	3	18	13	181	11	3	5	12	9	623	0	623	NA
"3"	2	11	44	9	176	95	10	7	22	12	95	13	6	7	17	24	548	0	548	NA
"4"	3	40	6	2	27	4	2	4	1	2	172	0	3	0	10	5	278	0	278	NA
"5"	4	72	34	6	16	129	1	1	5	0	51	2	1	0	2	2	322	0	322	NA
"6"	5	13	36	10	119	36	9	7	10	8	370	4	1	2	21	4	650	0	650	NA
"7"	6	5	1	2	35	183	5	1	15	1	173	7	3	2	7	8	448	0	448	NA
"8"	7	6	1	3	31	45	4	0	8	9	260	2	1	2	10	1	383	0	383	NA
"9"	8	40	7	2	28	208	6	1	8	9	191	4	0	2	14	3	523	0	523	NA
"10"	9	8	10	8	48	98	10	7	14	6	180	12	8	2	13	23	447	0	447	NA
"11"	NA	10	10	5	19	131	7	7	12	10	162	3	4	4	1	5	390	0	390	NA
"12"	NA	225	315	52	533	1062	64	38	113	70	1835	58	30	26	107	84	4612	0	4612	0
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"18"	10	8	15	9	109	134	3	2	12	7	99	3	1	1	8	3	414	NA	414	NA
"19"	11	5	5	0	78	167	7	1	9	5	53	2	7	1	3	3	346	NA	346	NA
"20"	12	25	7	3	8	58	1	2	8	3	121	2	2	0	13	5	258	NA	258	NA
"21"	13	6	19	6	76	62	4	6	13	6	318	2	4	1	15	2	540	NA	540	NA
"22"	14	66	9	1	42	9	0	1	4	1	142	2	0	2	11	10	300	NA	300	NA
"23"	15	4	4	6	43	202	6	5	12	5	85	3	2	1	6	2	386	NA	386	NA
"24"	16	45	6	8	20	80	5	4	16	8	209	1	1	2	7	3	415	NA	415	NA
"25"	17	4	0	3	265	18	0	5	3	4	102	4	9	5	5	5	432	NA	432	NA
"26"	18	1	4	3	5	53	3	1	6	5	76	1	1	4	4	1	168	NA	168	NA
"27"	19	27	1	0	61	6	1	3	0	6	94	1	1	3	9	5	218	NA	218	NA
"28"	NA	191	70	39	707	789	30	30	83	50	1299	21	28	20	81	39	3477	0	3477	0
"29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"33"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"34"	20	6	13	5	86	23	4	1	4	7	434	0	2	1	12	2	600	NA	600	NA
"35"	21	7	26	5	10	128	3	3	9	7	89	11	2	6	13	8	327	NA	327	NA
"36"	22	162	4	3	12	44	0	0	7	6	77	0	3	1	4	0	323	NA	323	NA
"37"	23	23	9	9	16	160	7	3	43	8	226	12	7	6	27	21	577	NA	577	NA
"38"	24	32	5	4	22	127	4	2	14	8	146	1	3	1	15	7	391	NA	391	NA
"39"	25	56	15	6	43	153	4	1	19	9	118	7	2	3	14	10	460	NA	460	NA
"40"	26	28	7	4	111	161	6	2	14	5	35	4	4	2	5	5	393	NA	393	NA
"41"	27	123	8	4	18	218	7	2	14	12	136	8	3	2	9	4	568	NA	568	NA
"42"	28	12	31	10	95	154	5	3	20	14	96	9	8	2	15	9	483	NA	483	NA
"43"	29	11	8	7	46	195	4	5	15	3	26	8	5	0	3	1	337	NA	337	NA
"44"	NA	460	126	57	459	1363	44	22	159	79	1383	60	39	24	117	67	4459	0	4459	0
"45"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"48"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
