"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"[ SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( To be used for recording the result of voting at polling station other than notitied polling stations) Election to the House of People from the 21- Hajipur (SC) PARLIAMENTARY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"( To be used both for parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of Assembly segment (in the case of election from a parlimentary constituency) :- 123- Hajipur Total No. of Electors in Assembly Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"7"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"8"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"9"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"10"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"12"	"1"	"4"	"1"	"57"	"356"	"2"	"0"	"0"	"3"	"2"	"1"	"0"	"426"	""	""
"13"	"2"	"6"	"4"	"50"	"137"	"2"	"1"	"6"	"9"	"4"	"3"	"1"	"223"	""	""
"14"	"3"	"27"	"9"	"231"	"117"	"16"	"8"	"8"	"10"	"16"	"11"	"13"	"466"	""	""
"15"	"4"	"3"	"1"	"109"	"125"	"9"	"1"	"2"	"8"	"2"	"1"	"0"	"261"	""	""
"16"	"5"	"4"	"5"	"65"	"194"	"2"	"1"	"4"	"15"	"2"	"2"	"2"	"296"	""	""
"17"	"6"	"19"	"9"	"109"	"235"	"3"	"3"	"4"	"12"	"7"	"4"	"2"	"407"	""	""
"18"	"7"	"14"	"4"	"207"	"183"	"13"	"6"	"6"	"19"	"12"	"6"	"7"	"477"	""	""
"19"	"8"	"6"	"3"	"16"	"194"	"4"	"1"	"7"	"16"	"1"	"0"	"2"	"250"	""	""
"20"	"9"	"8"	"3"	"95"	"212"	"7"	"5"	"14"	"16"	"6"	"0"	"3"	"369"	""	""
"21"	"10"	"4"	"2"	"205"	"199"	"11"	"5"	"8"	"11"	"11"	"7"	"14"	"477"	""	""
"22"	"11"	"7"	"6"	"128"	"158"	"11"	"5"	"8"	"15"	"11"	"7"	"5"	"361"	""	""
"23"	"12"	"10"	"3"	"38"	"363"	"0"	"3"	"7"	"11"	"2"	"1"	"2"	"440"	""	""
"24"	"13"	"10"	"4"	"152"	"171"	"12"	"3"	"5"	"8"	"6"	"6"	"5"	"382"	""	""
"25"	"14"	"17"	"2"	"56"	"422"	"8"	"4"	"6"	"31"	"3"	"2"	"7"	"558"	""	""
"26"	"Total No. of Votes"	"139"	"56"	"1518"	"3066"	"100"	"46"	"85"	"184"	"85"	"51"	"63"	"5393"	""	""
