"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tende.red.votes"
"1"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"49"	"15"	"129"	"53"	"45"	"1"	"3"	"7"	"1"	"1"	"3"	"6"	"13"	"21"	"15"	"362"	"0"	"362"	""
"4"	"2"	"2"	"14"	"16"	"235"	"90"	"8"	"1"	"1"	"2"	"2"	"1"	"0"	"2"	"4"	"5"	"5"	"386"	"0"	"386"	""
"5"	"3"	"3"	"43"	"16"	"157"	"105"	"16"	"2"	"3"	"4"	"1"	"0"	"3"	"4"	"10"	"14"	"20"	"398"	"0"	"398"	""
"6"	"4"	"4"	"60"	"2"	"131"	"21"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"6"	"3"	"9"	"240"	"0"	"240"	""
"7"	"5"	"5"	"2"	"4"	"242"	"393"	"26"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"6"	"2"	"3"	"682"	"0"	"682"	""
"8"	"6"	"6"	"77"	"5"	"29"	"6"	"31"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"154"	"0"	"154"	""
"9"	"7"	"7"	"9"	"13"	"215"	"150"	"19"	"1"	"4"	"0"	"2"	"0"	"3"	"8"	"28"	"11"	"14"	"477"	"0"	"477"	""
"10"	"8"	"8"	"2"	"8"	"87"	"142"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"1"	"255"	"0"	"255"	""
"11"	"9"	"9"	"67"	"16"	"140"	"9"	"13"	"4"	"3"	"4"	"1"	"1"	"2"	"2"	"3"	"2"	"3"	"270"	"0"	"270"	""
"12"	"10"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"13"	"11"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"14"	"12"	"12"	"5"	"7"	"149"	"150"	"51"	"2"	"3"	"0"	"0"	"2"	"2"	"2"	"4"	"7"	"3"	"387"	"0"	"387"	""
"15"	"13"	"13"	"15"	"14"	"309"	"79"	"40"	"3"	"3"	"1"	"0"	"0"	"3"	"4"	"4"	"5"	"6"	"486"	"0"	"486"	""
"16"	"14"	"14"	"54"	"9"	"152"	"80"	"109"	"2"	"2"	"2"	"1"	"3"	"1"	"4"	"2"	"6"	"3"	"430"	"0"	"430"	""
"17"	"15"	"15"	"19"	"19"	"216"	"68"	"60"	"5"	"4"	"2"	"2"	"2"	"3"	"6"	"11"	"21"	"8"	"446"	"0"	"446"	""
"18"	"16"	"16"	"37"	"19"	"125"	"69"	"126"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"9"	"1"	"5"	"395"	"0"	"395"	""
"19"	"17"	"17"	"96"	"16"	"24"	"33"	"13"	"1"	"2"	"0"	"0"	"1"	"0"	"5"	"0"	"0"	"2"	"193"	"0"	"193"	""
"20"	"18"	"18"	"52"	"11"	"71"	"74"	"32"	"1"	"3"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"254"	"0"	"254"	""
"21"	"19"	"19"	"14"	"7"	"87"	"252"	"88"	"3"	"0"	"0"	"0"	"0"	"4"	"7"	"4"	"2"	"6"	"474"	"0"	"474"	""
"22"	"20"	"20"	"47"	"24"	"266"	"54"	"71"	"3"	"3"	"6"	"1"	"0"	"0"	"7"	"8"	"4"	"5"	"499"	"0"	"499"	""
"23"	"21"	"21"	"30"	"12"	"201"	"106"	"25"	"1"	"2"	"2"	"0"	"1"	"0"	"2"	"4"	"4"	"5"	"395"	"0"	"395"	""
"24"	"22"	"22"	"23"	"17"	"391"	"124"	"47"	"1"	"3"	"7"	"3"	"2"	"0"	"8"	"13"	"7"	"7"	"653"	"0"	"653"	""
"25"	"23"	"23"	"56"	"2"	"33"	"9"	"31"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"136"	"0"	"136"	""
"26"	"24"	"24"	"33"	"28"	"300"	"47"	"162"	"11"	"2"	"8"	"2"	"2"	"2"	"4"	"9"	"12"	"11"	"633"	"0"	"633"	""
"27"	"25"	"25"	"109"	"33"	"292"	"132"	"51"	"5"	"7"	"8"	"6"	"2"	"2"	"3"	"14"	"6"	"8"	"678"	"0"	"678"	""
"28"	"26"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"29"	"27"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"30"	"28"	"28"	"30"	"10"	"148"	"149"	"12"	"1"	"1"	"1"	"0"	"0"	"3"	"3"	"8"	"1"	"6"	"373"	"0"	"373"	""
"31"	"29"	"29"	"47"	"10"	"119"	"25"	"58"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"7"	"5"	"10"	"284"	"0"	"284"	""
"32"	"30"	"30"	"237"	"26"	"92"	"138"	"45"	"3"	"7"	"4"	"0"	"3"	"3"	"5"	"7"	"11"	"27"	"608"	"0"	"608"	""
"33"	"31"	"31"	"8"	"4"	"48"	"293"	"37"	"3"	"2"	"1"	"1"	"2"	"1"	"2"	"4"	"1"	"2"	"409"	"0"	"409"	""
"34"	"32"	"32"	"125"	"4"	"56"	"19"	"58"	"0"	"0"	"2"	"3"	"2"	"2"	"1"	"1"	"2"	"2"	"277"	"0"	"277"	""
"35"	"33"	"33"	"104"	"24"	"240"	"129"	"88"	"4"	"4"	"3"	"4"	"2"	"0"	"2"	"3"	"5"	"16"	"628"	"0"	"628"	""
"36"	"34"	"34"	"54"	"16"	"256"	"98"	"95"	"5"	"3"	"6"	"1"	"2"	"2"	"7"	"7"	"5"	"8"	"565"	"0"	"565"	""
"37"	"35"	"35"	"193"	"17"	"135"	"20"	"119"	"4"	"3"	"3"	"3"	"1"	"1"	"2"	"8"	"6"	"11"	"526"	"0"	"526"	""
"38"	"36"	"36"	"174"	"24"	"206"	"125"	"81"	"4"	"1"	"7"	"3"	"0"	"4"	"6"	"21"	"16"	"31"	"703"	"0"	"703"	""
"39"	"37"	"37"	"26"	"29"	"301"	"145"	"59"	"3"	"1"	"3"	"3"	"1"	"3"	"7"	"9"	"11"	"21"	"622"	"0"	"622"	""
"40"	"38"	"38"	"33"	"20"	"323"	"12"	"5"	"4"	"1"	"1"	"2"	"0"	"0"	"5"	"10"	"6"	"5"	"427"	"0"	"427"	""
"41"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tende red votes"
