"Candidates.Name...U.2192..BOOTH.NO..U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.Valid.Votes..Part.I.A."
"1"	""	"DASAI CHOUDHARY"	"MAHESHWAR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"15"
"3"	"1"	"17"	"8"	"143"	"255"	"7"	"7"	"11"	"10"	"15"	"19"	"26"	"518"
"4"	"2"	"18"	"4"	"76"	"349"	"9"	"1"	"6"	"23"	"13"	"10"	"23"	"532"
"5"	"3"	"5"	"3"	"66"	"190"	"17"	"6"	"2"	"7"	"17"	"9"	"15"	"337"
"6"	"4"	"15"	"3"	"302"	"182"	"26"	"4"	"6"	"13"	"17"	"10"	"23"	"601"
"7"	"5"	"29"	"7"	"154"	"21"	"10"	"2"	"1"	"2"	"6"	"5"	"5"	"242"
"8"	"6"	"28"	"4"	"110"	"177"	"7"	"1"	"8"	"12"	"12"	"4"	"5"	"368"
"9"	"7"	"24"	"8"	"166"	"228"	"22"	"7"	"7"	"29"	"19"	"25"	"63"	"598"
"10"	"8"	"48"	"8"	"139"	"108"	"9"	"4"	"6"	"7"	"11"	"8"	"2"	"350"
"11"	"9"	"20"	"1"	"100"	"113"	"11"	"4"	"13"	"11"	"18"	"12"	"17"	"320"
"12"	"10"	"65"	"11"	"298"	"153"	"13"	"7"	"4"	"12"	"17"	"7"	"15"	"602"
"13"	"11"	"122"	"22"	"71"	"176"	"13"	"7"	"5"	"20"	"15"	"9"	"26"	"486"
"14"	"12"	"176"	"9"	"104"	"52"	"5"	"3"	"4"	"13"	"12"	"10"	"24"	"412"
"15"	"13"	"58"	"12"	"176"	"123"	"16"	"8"	"4"	"7"	"16"	"7"	"24"	"451"
"16"	"14"	"78"	"7"	"137"	"104"	"7"	"2"	"3"	"11"	"9"	"3"	"13"	"374"
"17"	"15"	"17"	"5"	"141"	"249"	"4"	"5"	"6"	"3"	"8"	"0"	"1"	"439"
"18"	"16"	"37"	"5"	"172"	"254"	"8"	"7"	"6"	"17"	"15"	"5"	"17"	"543"
"19"	"17"	"21"	"5"	"152"	"291"	"49"	"6"	"19"	"22"	"36"	"12"	"24"	"637"
"20"	"18"	"19"	"13"	"57"	"243"	"12"	"5"	"3"	"6"	"10"	"2"	"3"	"373"
"21"	"19"	"22"	"3"	"175"	"163"	"13"	"2"	"7"	"7"	"12"	"4"	"23"	"431"
"22"	"20"	"43"	"4"	"282"	"150"	"19"	"6"	"7"	"10"	"17"	"9"	"34"	"581"
"23"	"21"	"48"	"2"	"169"	"57"	"9"	"6"	"3"	"7"	"16"	"6"	"17"	"340"
