"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…83 - DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment   : 233447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"7"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"8"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"9"	"1"	"1"	""	"23"	"195"	"20"	"6"	"3"	""	"4"	"1"	"9"	"83"	"3"	"4"	"9"	"13"	""	"14"	"387"	"-"	"387"	""	""
"10"	"2"	"2"	""	"41"	"28"	"116"	"6"	"5"	""	"5"	"22"	"9"	"134"	"4"	"5"	"8"	"3"	""	"16"	"402"	"-"	"402"	""	""
"11"	"3"	"3"	""	"46"	"49"	"125"	"8"	"2"	""	"4"	"13"	"4"	"123"	"2"	"3"	"1"	"3"	""	"6"	"389"	"-"	"389"	""	""
"12"	"4"	"4"	""	"63"	"117"	"296"	"1"	"2"	""	"2"	"6"	"4"	"100"	"6"	"0"	"2"	"5"	""	"7"	"611"	"-"	"611"	""	""
"13"	"5"	"5"	""	"119"	"60"	"276"	"23"	"11"	""	"7"	"19"	"10"	"173"	"12"	"5"	"27"	"18"	""	"34"	"794"	"-"	"794"	""	""
"14"	"6"	"6"	""	"14"	"168"	"120"	"1"	"1"	""	"0"	"2"	"2"	"4"	"1"	"0"	"1"	"4"	""	"0"	"318"	"-"	"318"	""	""
"15"	"7"	"7"	""	"16"	"228"	"173"	"7"	"1"	""	"2"	"0"	"0"	"3"	"5"	"2"	"12"	"11"	""	"9"	"469"	"-"	"469"	""	""
"16"	"8"	"8"	""	"19"	"28"	"166"	"0"	"0"	""	"0"	"1"	"1"	"1"	"2"	"1"	"5"	"4"	""	"7"	"235"	"-"	"235"	""	""
"17"	"9"	"9"	""	"17"	"139"	"230"	"6"	"1"	""	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	""	"5"	"403"	"-"	"403"	""	""
"18"	"10"	"10"	""	"18"	"72"	"251"	"8"	"2"	""	"1"	"0"	"1"	"1"	"0"	"3"	"9"	"6"	""	"19"	"391"	"-"	"391"	""	""
"19"	"11"	"11"	""	"29"	"165"	"48"	"0"	"0"	""	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	""	"4"	"252"	"-"	"252"	""	""
"20"	"12"	"12"	""	"20"	"48"	"236"	"10"	"4"	""	"0"	"3"	"3"	"5"	"4"	"0"	"0"	"3"	""	"2"	"338"	"-"	"338"	""	""
"21"	"13"	"13"	""	"31"	"144"	"230"	"4"	"5"	""	"1"	"2"	"1"	"3"	"3"	"4"	"8"	"9"	""	"14"	"459"	"-"	"459"	""	""
"22"	"14"	"14"	""	"33"	"208"	"124"	"3"	"1"	""	"4"	"0"	"2"	"0"	"1"	"1"	"2"	"2"	""	"3"	"384"	"-"	"384"	""	""
"23"	"15"	"15"	""	"19"	"42"	"381"	"9"	"0"	""	"1"	"5"	"8"	"38"	"5"	"1"	"18"	"11"	""	"21"	"559"	"-"	"559"	""	""
"24"	"16"	"16"	""	"28"	"100"	"449"	"9"	"0"	""	"1"	"1"	"2"	"15"	"2"	"2"	"1"	"2"	""	"8"	"620"	"-"	"620"	""	""
"25"	"17"	"17"	""	"6"	"80"	"414"	"3"	"0"	""	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	""	"1"	"509"	"-"	"509"	""	""
"26"	"18"	"18"	""	"27"	"70"	"402"	"9"	"4"	""	"1"	"3"	"0"	"1"	"3"	"4"	"4"	"5"	""	"2"	"535"	"-"	"535"	""	""
