"X...................................................................Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33--BUXAR CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :33·  BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :203--Ramgarh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No ofVoters :200761"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Candidates Name
----->
BOOTH N..O
v."	""	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-Cl)
Cl>
0
>
>iv  ...!.
-!3 -cu
O o.."	""	""	""	""	""	""	""	""	""
"8"	""	""	""	""	"!z
j
:E ;
j:::"	""	""	"0
z
<z
<
0< :c
c.,  c.,
<z-
-,  U)"	""	""	""	""	"z (ij
::::, a:i
:..E., o::::,
< :r
..J  O"	""	""	""	"::x:
c.,
zen
...1 <
j
::E 3:
<>- ::X:
U)
:J: ::::,
U)  :::.::"	""	""	""	""	":i::
a:: -
O u,
:E"	""	""	""	""	":x::
<
U)
z
<
:J:
0
:E"	""	""	""	""	""	"::x:
c.,
ezn
o
W  ::::,"	""	""	""	""	""	">-
<
o ?oc
z
::::,
> :r
ao:: z"	""	""	""	""	"<::x:
m
:E
< o
>- z
:c -
U> CD"	""	""	":<:x:
-,
0
0z
-
U)"	""	""	""	"0
<
U)
a.
<
:E
<
0
::::,
U)"	""	""	""	"a::
w
0
<
3:
::x:
Uw)
a::
::::,
U)"	""	""	""	">a:-:
::c <
Uw...), :oJ:
::::,
O
:E
5"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"I"	""	""	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	"JO"	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"I S"	""	""	""	""	""	""	""	""	""
"10"	"1"	""	""	""	"26"	""	""	"127"	""	""	""	""	"114"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"273"	""	""	""	""	""	""	""	""	""
"11"	"2"	""	""	""	"8"	""	""	"289"	""	""	""	""	"18"	""	""	""	"103"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	"432"	""	""	""	""	""	""	""	""	""
"12"	"3"	""	""	""	"21"	""	""	"272"	""	""	""	""	"208"	""	""	""	"265"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"779"	""	""	""	""	""	""	""	""	""
"13"	"4"	""	""	""	"2"	""	""	"193"	""	""	""	""	"9"	""	""	""	"98"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"309"	""	""	""	""	""	""	""	""	""
"14"	"5"	""	""	""	"5"	""	""	"184"	""	""	""	""	"32"	""	""	""	"166"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"394"	""	""	""	""	""	""	""	""	""
