"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    241478"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 158-Nathnagar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"8"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"9"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"10"	"1"	"1"	"91"	"49"	"3"	"3"	"21"	"3"	"2"	"5"	"1"	"1"	"10"	"1"	"5"	"2"	"11"	"48"	"6"	"260"	"5"	"0"	"7"	"534"	"0"	"534"	"0"
"11"	"2"	"2"	"48"	"36"	"18"	"16"	"47"	"1"	"0"	"4"	"0"	"1"	"7"	"0"	"0"	"1"	"1"	"7"	"6"	"211"	"5"	"0"	"2"	"411"	"0"	"411"	"0"
"12"	"3"	"3"	"312"	"119"	"18"	"4"	"140"	"3"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"11"	"7"	"41"	"0"	"0"	"3"	"665"	"0"	"665"	"0"
"13"	"4"	"4"	"23"	"22"	"1"	"27"	"74"	"4"	"1"	"4"	"1"	"3"	"10"	"5"	"9"	"4"	"7"	"41"	"3"	"67"	"1"	"1"	"4"	"312"	"0"	"312"	"0"
"14"	"5"	"5"	"39"	"254"	"15"	"52"	"252"	"11"	"0"	"5"	"2"	"4"	"7"	"2"	"0"	"1"	"3"	"11"	"10"	"61"	"3"	"2"	"5"	"739"	"0"	"739"	"0"
"15"	"6"	"6"	"20"	"21"	"7"	"6"	"336"	"8"	"3"	"5"	"1"	"3"	"13"	"7"	"5"	"4"	"5"	"23"	"4"	"63"	"1"	"0"	"6"	"541"	"0"	"541"	"0"
"16"	"7"	"7"	"67"	"25"	"22"	"76"	"273"	"10"	"2"	"6"	"4"	"2"	"15"	"11"	"6"	"7"	"9"	"24"	"0"	"6"	"1"	"0"	"3"	"569"	"0"	"569"	"0"
"17"	"8"	"8"	"25"	"10"	"3"	"12"	"265"	"4"	"11"	"1"	"2"	"1"	"7"	"5"	"5"	"0"	"2"	"5"	"5"	"13"	"3"	"0"	"11"	"390"	"0"	"390"	"0"
"18"	"9"	"9"	"7"	"39"	"2"	"1"	"4"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"0"	"0"	"3"	"9"	"2"	"132"	"1"	"0"	"2"	"208"	"0"	"208"	"0"
"19"	"10"	"10"	"12"	"88"	"15"	"3"	"12"	"1"	"0"	"2"	"2"	"1"	"3"	"5"	"5"	"1"	"2"	"25"	"6"	"185"	"4"	"2"	"3"	"377"	"0"	"377"	"0"
"20"	"11"	"11"	"89"	"103"	"7"	"8"	"35"	"5"	"6"	"3"	"3"	"5"	"11"	"2"	"3"	"1"	"8"	"50"	"9"	"155"	"4"	"1"	"2"	"510"	"0"	"510"	"0"
"21"	"12"	"12"	"42"	"88"	"8"	"6"	"46"	"2"	"3"	"3"	"0"	"6"	"4"	"1"	"3"	"2"	"1"	"33"	"2"	"79"	"1"	"3"	"4"	"337"	"0"	"337"	"0"
"22"	"13"	"13"	"29"	"25"	"17"	"0"	"106"	"2"	"0"	"2"	"4"	"1"	"14"	"3"	"3"	"2"	"5"	"30"	"7"	"150"	"2"	"0"	"5"	"407"	"0"	"407"	"0"
"23"	"14"	"14"	"6"	"42"	"12"	"3"	"48"	"2"	"1"	"0"	"3"	"1"	"12"	"1"	"1"	"5"	"6"	"21"	"8"	"210"	"3"	"1"	"0"	"386"	"0"	"386"	"0"
