"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.No.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"1"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"2"	"1"	"6"	"12"	"130"	"346"	"5"	"3"	"5"	"1"	"3"	"3"	"2"	"5"	"8"	"3"	"51"	"15"	"0"	"0"	"598"	"0"	"598"	"0"
"3"	"2"	"6"	"124"	"216"	"251"	"8"	"2"	"2"	"6"	"10"	"5"	"4"	"3"	"7"	"5"	"18"	"14"	"8"	"10"	"699"	"0"	"699"	"0"
"4"	"3"	"2"	"22"	"1"	"511"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"541"	"0"	"541"	"0"
"5"	"4"	"7"	"21"	"40"	"299"	"6"	"3"	"2"	"2"	"7"	"0"	"3"	"2"	"4"	"1"	"5"	"5"	"1"	"1"	"409"	"0"	"409"	"0"
"6"	"5"	"3"	"18"	"39"	"320"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"2"	"2"	"25"	"3"	"2"	"0"	"420"	"0"	"420"	"0"
"7"	"6"	"1"	"2"	"41"	"183"	"1"	"1"	"2"	"2"	"1"	"1"	"0"	"1"	"2"	"2"	"15"	"17"	"0"	"0"	"272"	"0"	"272"	"0"
"8"	"7"	"9"	"64"	"173"	"42"	"3"	"8"	"4"	"5"	"9"	"5"	"6"	"10"	"12"	"22"	"365"	"32"	"2"	"6"	"777"	"0"	"777"	"0"
"9"	"8"	"28"	"105"	"148"	"66"	"6"	"2"	"39"	"8"	"11"	"6"	"6"	"5"	"7"	"6"	"118"	"11"	"21"	"16"	"609"	"0"	"609"	"0"
"10"	"9"	"4"	"23"	"247"	"3"	"2"	"5"	"4"	"3"	"4"	"4"	"1"	"1"	"2"	"7"	"23"	"15"	"2"	"1"	"351"	"0"	"351"	"0"
