"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-Agioun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Shaarma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"9"	"32"	"195"	"1"	"6"	"129"	""	"3"	"14"	"2"	"186"	"1"	"2"	"1"	"1"	"5"	"0"	"2"	"1"	"8"	"4"	"365"
"10"	"32"	"195"	"2"	"8"	"104"	""	"5"	"2"	"0"	"126"	"0"	"6"	"1"	"1"	"3"	"1"	"0"	"3"	"14"	"4"	"278"
"11"	"32"	"195"	"3"	"112"	"27"	""	"3"	"10"	"1"	"87"	"3"	"2"	"0"	"1"	"2"	"0"	"1"	"0"	"6"	"7"	"262"
"12"	"32"	"195"	"4"	"64"	"15"	""	"25"	"5"	"8"	"266"	"12"	"4"	"2"	"0"	"3"	"2"	"0"	"1"	"5"	"1"	"413"
"13"	"32"	"195"	"5"	"36"	"326"	""	"5"	"13"	"2"	"63"	"0"	"3"	"0"	"1"	"0"	"1"	"2"	"0"	"5"	"0"	"457"
"14"	"32"	"195"	"6"	"95"	"80"	""	"21"	"8"	"2"	"170"	"9"	"1"	"0"	"1"	"2"	"2"	"2"	"1"	"7"	"2"	"403"
"15"	"32"	"195"	"7"	"44"	"76"	""	"5"	"5"	"3"	"279"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"421"
"16"	"32"	"195"	"8"	"13"	"58"	""	"16"	"6"	"2"	"268"	"3"	"3"	"1"	"2"	"3"	"2"	"2"	"2"	"14"	"5"	"400"
"17"	"32"	"195"	"9"	"17"	"51"	""	"15"	"7"	"3"	"160"	"12"	"2"	"1"	"3"	"8"	"1"	"1"	"2"	"18"	"15"	"316"
"18"	"32"	"195"	"10"	"47"	"135"	""	"7"	"6"	"8"	"188"	"6"	"4"	"3"	"8"	"7"	"3"	"5"	"11"	"12"	"15"	"465"
"19"	"32"	"195"	"11"	"44"	"34"	""	"3"	"2"	"0"	"215"	"3"	"1"	"0"	"1"	"5"	"4"	"0"	"1"	"8"	"2"	"323"
"20"	"32"	"195"	"12"	"69"	"46"	""	"6"	"3"	"0"	"60"	"3"	"3"	"2"	"0"	"2"	"0"	"2"	"1"	"4"	"7"	"208"
"21"	"32"	"195"	"13"	"138"	"93"	""	"3"	"1"	"3"	"40"	"2"	"1"	"0"	"2"	"9"	"3"	"5"	"4"	"12"	"16"	"332"
"22"	"32"	"195"	"14"	"39"	"50"	""	"2"	"0"	"0"	"22"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"4"	"2"	"126"
"23"	"32"	"195"	"15"	"28"	"73"	""	"8"	"6"	"1"	"52"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"174"
"24"	"32"	"195"	"16"	"38"	"10"	""	"34"	"0"	"1"	"93"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"1"	"183"
"25"	"32"	"195"	"17"	"347"	"62"	""	"23"	"0"	"0"	"26"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"463"
"26"	"32"	"195"	"18"	"92"	"97"	""	"1"	"1"	"1"	"51"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"9"	"4"	"263"
"27"	"32"	"195"	"19"	"104"	"43"	""	"2"	"0"	"1"	"127"	"8"	"3"	"0"	"1"	"1"	"1"	"0"	"2"	"6"	"4"	"303"
"28"	"32"	"195"	"20"	"26"	"297"	""	"19"	"13"	"1"	"33"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"5"	"1"	"400"
"29"	"32"	"195"	"21"	"34"	"35"	""	"0"	"4"	"1"	"256"	"3"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"10"	"0"	"351"
"30"	"32"	"195"	"22"	"278"	"60"	""	"3"	"2"	"1"	"26"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"373"
"31"	"32"	"195"	"23"	"4"	"173"	""	"1"	"1"	"0"	"5"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"11"	"4"	"204"
"32"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 195-Agioun"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
