"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"2"	"1"	"24"	"40"	"124"	"396"	"16"	"5"	"3"	"1"	"2"	"2"	"3"	"3"	"11"	"7"	"1"	"34"	"3"	"8"	"683"	"0"	"683"	"0"
"3"	"2"	"18"	"33"	"439"	"74"	"7"	"7"	"10"	"4"	"5"	"2"	"0"	"1"	"3"	"1"	"1"	"0"	"7"	"30"	"642"	"0"	"642"	"0"
"4"	"3"	"6"	"18"	"107"	"336"	"1"	"0"	"7"	"0"	"2"	"0"	"0"	"0"	"3"	"2"	"1"	"1"	"1"	"0"	"485"	"0"	"485"	"0"
"5"	"4"	"2"	"65"	"15"	"169"	"3"	"0"	"4"	"1"	"2"	"1"	"2"	"1"	"2"	"0"	"2"	"18"	"4"	"0"	"291"	"0"	"291"	"0"
"6"	"5"	"28"	"56"	"144"	"172"	"5"	"2"	"1"	"1"	"5"	"3"	"0"	"4"	"8"	"4"	"5"	"22"	"8"	"16"	"484"	"0"	"484"	"0"
"7"	"6"	"45"	"25"	"123"	"72"	"1"	"0"	"8"	"0"	"0"	"1"	"0"	"3"	"3"	"4"	"4"	"8"	"0"	"4"	"301"	"0"	"301"	"0"
"8"	"7"	"52"	"44"	"212"	"101"	"5"	"3"	"4"	"1"	"5"	"3"	"3"	"3"	"2"	"0"	"4"	"6"	"1"	"1"	"450"	"0"	"450"	"0"
"9"	"8"	"8"	"18"	"184"	"266"	"3"	"2"	"12"	"2"	"2"	"4"	"2"	"4"	"5"	"1"	"4"	"4"	"2"	"5"	"528"	"0"	"528"	"0"
"10"	"9"	"4"	"22"	"283"	"110"	"2"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"2"	"1"	"3"	"435"	"0"	"435"	"0"
"11"	"10"	"56"	"20"	"142"	"63"	"1"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"2"	"1"	"4"	"5"	"3"	"7"	"312"	"0"	"312"	"0"
"12"	"11"	"22"	"40"	"60"	"440"	"9"	"2"	"4"	"1"	"0"	"0"	"6"	"2"	"6"	"1"	"2"	"7"	"2"	"0"	"604"	"0"	"604"	"0"
"13"	"12"	"9"	"47"	"271"	"77"	"3"	"5"	"2"	"3"	"5"	"3"	"5"	"8"	"4"	"5"	"6"	"9"	"5"	"9"	"476"	"0"	"476"	"0"
"14"	"13"	"8"	"9"	"233"	"127"	"0"	"1"	"4"	"1"	"4"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"393"	"0"	"393"	"0"
"15"	"14"	"14"	"68"	"32"	"51"	"2"	"1"	"2"	"0"	"2"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"3"	"0"	"184"	"0"	"184"	"0"
"16"	"15"	"24"	"107"	"213"	"29"	"3"	"7"	"1"	"0"	"5"	"1"	"3"	"2"	"1"	"0"	"2"	"10"	"3"	"10"	"421"	"0"	"421"	"0"
"17"	"16"	"12"	"17"	"214"	"336"	"9"	"3"	"1"	"0"	"7"	"1"	"3"	"5"	"3"	"2"	"5"	"9"	"31"	"11"	"669"	"0"	"669"	"0"
