"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment- 214322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/segment - 113-EKMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No- 01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Umashanker Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"11"	"1"	"124"	"11"	"355"	"53"	"1"	"4"	"2"	"2"	"1"	"4"	"14"	"4"	"12"	"587"	"0"	"587"	"0"
"12"	"2"	"97"	"27"	"170"	"143"	"4"	"1"	"4"	"1"	"3"	"1"	"8"	"0"	"13"	"472"	"0"	"472"	"0"
"13"	"3"	"162"	"5"	"112"	"20"	"9"	"4"	"2"	"3"	"7"	"5"	"13"	"3"	"34"	"379"	"0"	"379"	"0"
"14"	"4"	"44"	"15"	"112"	"53"	"1"	"4"	"2"	"2"	"2"	"8"	"17"	"3"	"15"	"278"	"0"	"278"	"0"
"15"	"5"	"117"	"17"	"179"	"25"	"2"	"3"	"0"	"4"	"2"	"6"	"19"	"5"	"25"	"404"	"0"	"404"	"0"
"16"	"6"	"205"	"21"	"140"	"7"	"2"	"2"	"0"	"1"	"3"	"1"	"1"	"0"	"7"	"390"	"0"	"390"	"0"
"17"	"7"	"203"	"14"	"108"	"20"	"2"	"0"	"2"	"1"	"2"	"0"	"4"	"3"	"18"	"377"	"0"	"377"	"0"
"18"	"8"	"28"	"2"	"64"	"30"	"11"	"9"	"2"	"2"	"0"	"0"	"0"	"1"	"6"	"155"	"0"	"155"	"0"
"19"	"9"	"52"	"8"	"187"	"40"	"2"	"4"	"1"	"1"	"2"	"4"	"5"	"3"	"4"	"313"	"0"	"313"	"0"
"20"	"10"	"65"	"2"	"42"	"88"	"2"	"0"	"2"	"1"	"0"	"1"	"4"	"2"	"7"	"216"	"0"	"216"	"0"
"21"	"11"	"136"	"33"	"154"	"173"	"11"	"9"	"1"	"0"	"1"	"4"	"3"	"5"	"28"	"558"	"0"	"558"	"0"
