"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"Total.Valid.Votes"
"1"	""	"Kaushalendra Kumar"	"Dev Kishore Rai"	"Ramswaroop Prasad"	"Satish Kumar"	"Anil Singh"	"Amar Kant Sah"	"Ujjwal Kant Hunkar"	"Devendra Pratap"	"Priyaranjan Kumar"	"Ranjeet Kumar"	"Rekha Kumari"	"Vijay Kumar"	"Vinod Kumar Patel"	"Shashi Yadav"	"Saudagar Ram"	"Haricharan Prasad"	"Arun Kumar"	"Kapil Dev Singh"	"Kumar Rajesh"	"Kaushal Kumar Kaushalendra Sinha"	"Chandramani Kumar ''Mani''"	"Jitendra Kumar"	"Naresh Paswan"	"Santosh Kumar"	"Saryug Prasad Sahasth"	""
"2"	"1"	"182"	"4"	"1"	"39"	"3"	"2"	"0"	"3"	"0"	"1"	"3"	"0"	"1"	"0"	"1"	"0"	"7"	"1"	"5"	"5"	"0"	"0"	"0"	"1"	"1"	"260"
"3"	"2"	"225"	"13"	"3"	"6"	"20"	"1"	"0"	"2"	"2"	"2"	"1"	"13"	"1"	"1"	"2"	"12"	"14"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"12"	"334"
"4"	"3"	"162"	"13"	"2"	"43"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"233"
"5"	"4"	"71"	"3"	"3"	"96"	"9"	"5"	"0"	"3"	"0"	"3"	"0"	"2"	"6"	"1"	"0"	"7"	"6"	"3"	"6"	"4"	"5"	"5"	"0"	"2"	"5"	"245"
"6"	"5"	"32"	"0"	"2"	"125"	"7"	"3"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"5"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"185"
"7"	"6"	"206"	"0"	"7"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"223"
"8"	"7"	"134"	"24"	"2"	"30"	"4"	"3"	"0"	"2"	"1"	"2"	"3"	"1"	"2"	"2"	"1"	"8"	"7"	"2"	"0"	"3"	"0"	"0"	"0"	"2"	"9"	"242"
"9"	"8"	"153"	"1"	"0"	"59"	"6"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"233"
"10"	"9"	"83"	"1"	"5"	"28"	"2"	"3"	"2"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"8"	"2"	"2"	"1"	"0"	"0"	"0"	"2"	"4"	"149"
