"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"1"	"20"	"119"	"5"	"37"	"6"	"0"	"0"	"0"	"1"	"9"	"1"	"1"	"2"	"2"	"7"	"9"	"15"	"21"	"2"	"23"	"8"	"288"	"0"	"288"	"0"
"4"	"2"	"2"	"32"	"109"	"47"	"109"	"15"	"6"	"2"	"1"	"5"	"11"	"67"	"6"	"9"	"10"	"5"	"10"	"4"	"3"	"0"	"1"	"4"	"456"	"0"	"456"	"0"
"5"	"3"	"3"	"22"	"57"	"74"	"58"	"20"	"6"	"4"	"6"	"3"	"5"	"4"	"5"	"8"	"12"	"15"	"15"	"54"	"8"	"3"	"2"	"9"	"390"	"0"	"390"	"0"
"6"	"4"	"4"	"15"	"90"	"2"	"81"	"105"	"3"	"2"	"2"	"3"	"5"	"3"	"2"	"5"	"1"	"4"	"5"	"6"	"0"	"1"	"1"	"7"	"343"	"0"	"343"	"0"
"7"	"5"	"5"	"145"	"32"	"9"	"33"	"28"	"4"	"0"	"2"	"3"	"2"	"0"	"1"	"0"	"1"	"2"	"8"	"32"	"6"	"1"	"0"	"5"	"314"	"0"	"314"	"0"
"8"	"6"	"6"	"15"	"8"	"9"	"19"	"1"	"3"	"3"	"7"	"86"	"5"	"62"	"2"	"2"	"0"	"1"	"7"	"1"	"1"	"1"	"0"	"2"	"235"	"0"	"235"	"0"
"9"	"7"	"7"	"21"	"92"	"57"	"61"	"28"	"6"	"4"	"6"	"1"	"2"	"10"	"5"	"4"	"4"	"5"	"11"	"41"	"1"	"1"	"7"	"4"	"371"	"0"	"371"	"0"
"10"	"8"	"8"	"18"	"78"	"0"	"181"	"203"	"2"	"2"	"5"	"1"	"7"	"2"	"4"	"5"	"1"	"4"	"2"	"1"	"1"	"0"	"3"	"0"	"520"	"0"	"520"	"0"
"11"	"9"	"9"	"16"	"4"	"2"	"26"	"45"	"2"	"2"	"1"	"1"	"2"	"1"	"0"	"2"	"0"	"1"	"5"	"118"	"1"	"1"	"2"	"3"	"235"	"0"	"235"	"0"
"12"	"10"	"10"	"10"	"43"	"59"	"41"	"29"	"8"	"2"	"3"	"3"	"4"	"3"	"2"	"13"	"2"	"1"	"17"	"41"	"6"	"10"	"6"	"19"	"322"	"0"	"322"	"0"
"13"	"11"	"11"	"5"	"1"	"13"	"89"	"27"	"1"	"0"	"2"	"0"	"2"	"1"	"10"	"3"	"1"	"0"	"0"	"6"	"10"	"2"	"3"	"10"	"186"	"0"	"186"	"0"
"14"	"12"	"12"	"66"	"55"	"8"	"98"	"83"	"7"	"1"	"9"	"6"	"38"	"50"	"5"	"6"	"2"	"1"	"16"	"1"	"3"	"2"	"1"	"1"	"459"	"0"	"459"	"0"
"15"	"13"	"13"	"23"	"12"	"5"	"37"	"74"	"3"	"5"	"2"	"7"	"6"	"3"	"49"	"5"	"5"	"6"	"7"	"117"	"13"	"7"	"5"	"15"	"406"	"0"	"406"	"0"
"16"	"14"	"14"	"4"	"1"	"2"	"33"	"7"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"4"	"0"	"1"	"0"	"151"	"2"	"0"	"0"	"3"	"210"	"0"	"210"	"0"
"17"	"ROUND- 1"	""	"412"	"701"	"292"	"903"	"671"	"51"	"27"	"46"	"120"	"100"	"207"	"92"	"68"	"41"	"53"	"112"	"588"	"76"	"31"	"54"	"90"	"4735"	"0"	"4735"	"0"
"18"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"23"	"1"	"15"	"9"	"195"	"13"	"39"	"8"	"3"	"1"	"1"	"0"	"16"	"12"	"21"	"0"	"1"	"2"	"3"	"32"	"4"	"2"	"0"	"0"	"362"	"0"	"362"	"0"
"24"	"2"	"16"	"24"	"125"	"115"	"36"	"30"	"5"	"3"	"6"	"6"	"29"	"94"	"32"	"9"	"12"	"4"	"5"	"29"	"3"	"1"	"2"	"7"	"577"	"0"	"577"	"0"
"25"	"3"	"17"	"15"	"36"	"6"	"11"	"10"	"11"	"2"	"8"	"4"	"2"	"4"	"10"	"4"	"1"	"8"	"9"	"178"	"13"	"6"	"6"	"13"	"357"	"0"	"357"	"0"
"26"	"4"	"18"	"4"	"52"	"22"	"31"	"25"	"1"	"4"	"4"	"0"	"9"	"59"	"70"	"11"	"11"	"9"	"16"	"56"	"5"	"3"	"3"	"7"	"402"	"0"	"402"	"0"
"27"	"5"	"19"	"25"	"82"	"42"	"153"	"10"	"22"	"2"	"4"	"4"	"6"	"2"	"4"	"5"	"5"	"11"	"19"	"190"	"14"	"8"	"6"	"16"	"630"	"0"	"630"	"0"
"28"	"6"	"20"	"22"	"64"	"28"	"30"	"9"	"10"	"1"	"3"	"6"	"3"	"0"	"12"	"5"	"6"	"3"	"16"	"120"	"8"	"5"	"7"	"16"	"374"	"0"	"374"	"0"
"29"	"7"	"21"	"27"	"70"	"16"	"131"	"10"	"18"	"14"	"8"	"6"	"7"	"54"	"22"	"11"	"4"	"11"	"8"	"92"	"11"	"7"	"5"	"26"	"558"	"0"	"558"	"0"
"30"	"8"	"22"	"3"	"12"	"12"	"26"	"1"	"5"	"3"	"4"	"5"	"1"	"16"	"127"	"4"	"6"	"2"	"6"	"229"	"15"	"3"	"5"	"5"	"490"	"0"	"490"	"0"
"31"	"9"	"23"	"21"	"124"	"18"	"104"	"38"	"2"	"2"	"4"	"2"	"32"	"16"	"55"	"8"	"10"	"6"	"15"	"5"	"2"	"7"	"3"	"3"	"477"	"0"	"477"	"0"
"32"	"10"	"24"	"10"	"77"	"4"	"62"	"28"	"2"	"3"	"5"	"2"	"22"	"25"	"7"	"3"	"2"	"7"	"10"	"26"	"3"	"2"	"2"	"7"	"309"	"0"	"309"	"0"
"33"	"11"	"25"	"15"	"55"	"32"	"112"	"12"	"11"	"4"	"3"	"2"	"5"	"7"	"17"	"10"	"5"	"5"	"11"	"93"	"1"	"2"	"1"	"7"	"410"	"0"	"410"	"0"
"34"	"12"	"26"	"2"	"8"	"27"	"18"	"1"	"2"	"0"	"1"	"1"	"2"	"1"	"8"	"4"	"1"	"3"	"1"	"3"	"1"	"0"	"2"	"1"	"87"	"0"	"87"	"0"
"35"	"13"	"27"	"76"	"114"	"11"	"92"	"6"	"8"	"4"	"4"	"2"	"5"	"116"	"35"	"4"	"1"	"1"	"5"	"52"	"0"	"1"	"1"	"0"	"538"	"0"	"538"	"0"
"36"	"14"	"28"	"37"	"54"	"31"	"61"	"7"	"13"	"3"	"6"	"88"	"13"	"93"	"25"	"6"	"11"	"9"	"21"	"80"	"4"	"1"	"7"	"8"	"578"	"0"	"578"	"0"
