"Candidate.Name.Booth.No."	"No.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"77"	"12"	"206"	"45"	"2"	"6"	"3"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"0"	"2"	"360"
"4"	"2"	"367"	"29"	"120"	"18"	"2"	"1"	"11"	"3"	"2"	"1"	"6"	"2"	"0"	"2"	"3"	"6"	"573"
"5"	"3"	"198"	"33"	"112"	"41"	"3"	"3"	"7"	"1"	"2"	"3"	"5"	"4"	"2"	"3"	"7"	"10"	"434"
"6"	"4"	"24"	"107"	"206"	"7"	"8"	"7"	"13"	"1"	"4"	"2"	"5"	"1"	"1"	"2"	"5"	"1"	"394"
"7"	"5"	"139"	"49"	"78"	"58"	"7"	"2"	"3"	"8"	"1"	"1"	"2"	"4"	"4"	"6"	"6"	"8"	"376"
"8"	"6"	"131"	"66"	"115"	"8"	"2"	"6"	"11"	"2"	"3"	"2"	"9"	"2"	"0"	"5"	"2"	"5"	"369"
"9"	"7"	"223"	"68"	"58"	"3"	"3"	"1"	"3"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"4"	"369"
"10"	"8"	"60"	"61"	"63"	"16"	"6"	"5"	"3"	"2"	"2"	"1"	"3"	"1"	"1"	"4"	"5"	"7"	"240"
"11"	"9"	"69"	"63"	"182"	"44"	"14"	"6"	"9"	"6"	"3"	"1"	"5"	"5"	"1"	"1"	"4"	"5"	"418"
"12"	"10"	"216"	"14"	"32"	"11"	"5"	"2"	"7"	"3"	"2"	"1"	"1"	"0"	"0"	"2"	"3"	"2"	"301"
"13"	"11"	"202"	"12"	"80"	"37"	"5"	"2"	"7"	"1"	"0"	"2"	"3"	"2"	"2"	"1"	"6"	"4"	"366"
"14"	"12"	"179"	"27"	"246"	"46"	"2"	"0"	"3"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"2"	"4"	"515"
"15"	"13"	"50"	"29"	"120"	"111"	"4"	"1"	"5"	"1"	"2"	"1"	"6"	"2"	"2"	"4"	"4"	"4"	"346"
"16"	"14"	"81"	"59"	"96"	"5"	"1"	"1"	"8"	"0"	"2"	"0"	"6"	"1"	"2"	"4"	"0"	"5"	"271"
"17"	"15"	"69"	"12"	"104"	"63"	"2"	"2"	"3"	"2"	"2"	"1"	"5"	"4"	"1"	"1"	"3"	"2"	"276"
"18"	"16"	"111"	"34"	"127"	"20"	"1"	"0"	"2"	"0"	"1"	"1"	"4"	"3"	"5"	"3"	"5"	"10"	"327"
"19"	"17"	"83"	"29"	"43"	"50"	"1"	"2"	"4"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"2"	"6"	"226"
"20"	"18"	"147"	"46"	"27"	"25"	"4"	"3"	"2"	"3"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"265"
"21"	"Candidate Name
Booth No."	"No valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"24"	"19"	"131"	"8"	"65"	"7"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"2"	"3"	"7"	"228"
"25"	"20"	"116"	"40"	"173"	"29"	"3"	"2"	"6"	"1"	"3"	"3"	"10"	"4"	"3"	"10"	"4"	"24"	"431"
"26"	"21"	"91"	"1"	"15"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"3"	"120"
