state	region	District	VSno	Date	VSname	q1a	q1b	q1c	q1d	q1e	q1f	q1g	q1h	q1i	q1j	q1k	q2	q3	q4	q5a1	q5b1	q5c1	q5d1	q5e1	q5a2	q5b2	q5c2	q5d2	q5e2	c1	c2	c3	c4	c5	c6	c6b	c7	c8	c9	c10	c11a	c11b	c11c	c11d	c11e	c11f	c11g	c11h	c11i	c11j	c12	c13	c14	c15	c16	c17	c18
Bihar	MITHLANCHAL	PURNIA	57	10.4.2010  11:55:05 AM	Baisi 	1	1	1	1	1	1	1	1	1	1	1	1	11	4	10	10	10	10		0	0	0	0		1	40	1	9	1	3	Malah	1	1	1	1	6	8	5	3	9	8	10	3	10	9	1	1	2	3	4	2	3
Bihar	MAGADH	GAYA	231	10.4.2010  1:03:12 PM	Tikari 	1	1	1	1	1	1	1	1	1	1	1	1	11	5	10		10	10	10	0	5	10	8	5	1	40	6	8	7	4	Bhumihar	2	2	2	2	8	8	10	10	10	10	10	2	5	10	1	1	2	0	9	3	3
Bihar	BHOJPUR	Rohtas 	211	10.4.2010  12:23:16 PM	Nokha 	1	1	1	1	1	1	1	1	3	1	1	1	11	4	9	9	8	8	8	1	1	2	2	2	1	42	3	3	2	3	Kurmi 	2	6	1	1	5	5	8	5	4	9	9	1			1	1	2	1	1	2	3
Bihar	MITHLANCHAL	MUZAFFARPUR 	94	10.4.2010  11:56:48 AM	Muzaffarpur 	1	1	2	1	1	1	1		3	1	1	0	11	3	5	4	6	6	7		1	2	2	2	2	26	3	2	4	4	RAJPOOT	2		5		10	10	4	5	5	10	7	1	3	0	2	0	1	6	9	5	1
Bihar	MITHLANCHAL	MADHUBANI 	37	10.4.2010  10:25:47 AM	Rajnagar (SC) 	3	3	3	1	1	3	1	1	2	2	1	0	12	3	10	5	5	10	9	5	10	5	9	9	1	21	4	7	2	3	Yadav		2	4	2	8	8	3	5	4	5	6	0	3	0	1	1	2	5	14	4	1
Bihar	MAGADH	LAKHISARAI	167	10.4.2010  10:26:56 AM	Suryagarha 	1	1	3	1	1	1	1	1	1	1	1	1	11	4	9	8	9	7	8	1	10	4	6	6	1	19	4	1	4	3	teli		2		1	2	2	7	4	3	9	9	3	5	3	3	1	2	7	8	2	1
Bihar	BHOJPUR	PASCHIM CHAMPARAN 	8	10.4.2010  10:29:24 AM	Bettiah 	1	2	3	3	1	1	1	1	1	2	1	6	11	4	9	8	8	7	7	0	5	5	4	4	1	33	7	8	4	4	Brahmin	1	2	1	6	5	4	8	7	4	7	8	4	5	4	1	1	2	0	9	3	1
Bihar	MITHLANCHAL	DARBHANGA	85	10.4.2010  12:39:15 PM	Bahadurpur 	1		1	1	1	1	1	1	1	1	1	4	11	4	10	10	10	10	10	0	10	10	10	10	1	26	2	4	4	3	Malah	1	1	2	2	10	10	10	10	10	10	10	0	10	10	1	1	1	1	9	3	3
Bihar	MAGADH	GAYA	227	10.4.2010  10:34:17 AM	Imamganj (SC) 	3	3	3	3	3	3	1	2	3	3	3	1	12	1	8	0	6	10	6	10	10	10	10	10	1	22	4	8	4	3	Yadav	4	4	6	6	7	8	6	8		7	6	8	4	0	2	0	1	6	1	4	3
Bihar	BHOJPUR	ROHTAS 	213	10.4.2010  10:40:48 AM	Karakat 	1	2	2	2	1	3	2	2	1	3	2	1	11	4	6	5	9	4	4	4	5	6	5	6	1	34	5	7	7	4	RAJPOOT	2	2	2	2	7	5	8	8	8	8	8	4	0	7	1	1	2	1	1	7	3
Bihar	MITHLANCHAL	VAISHALI 	125	10.4.2010  10:41:54 AM	Vaishali 	1	3	1	3	1	1	3	3	3	3	1	2	19	5	5	5	0	0	0	4	5	0	0	10	1	45	5	8	2	5	Muslim	6	6	6	6	10	10	6	10	7	5	5	5	5	3	1	1	2	4	3	1	3
Bihar	MITHLANCHAL	MADHUBANI 	36	10.4.2010  10:43:22 AM	Madhubani 	1		1	1	1	1	1	3	1		1	4	11	4	6	0	10	10	10	4	10	0	0	0	1	31	3	6	2	4	RAJPOOT	1	1	1	1	5	5	8	5	8	10	8	3	8	8	1	1	2	1		2	1
Bihar	#N/A	Madhubani 		#N/A	Benipatti	1	1	1	1	1	1	3	3	1	1	1	2	11	5	7	5	8	5	4	0	10	5	5	4	1	30	5	6	1	3	Malik	2	2	2	2	7	5	5	8	9	9	2	4	0	0	1	1	2	0	3	6	3
Bihar	PATNA	NALANDA 	174	10.4.2010  10:48:37 AM	Islampur 	1	2	1	3	1	1	1	2	2	3	1	1	11	4	8	9	4	6	2	5	2	2	4	1	1	35	5	6	4	4	Bhumihar	2	2	2	2	6	8	6	9	8	8	8	5	3	2	1	1	4	1	14	1	2
Bihar	MITHLANCHAL	MUZAFFARPUR 	91	10.4.2010  10:50:23 AM	Bochaha (SC) 	2	3	3	2	3	1	3	2	3	3	3	0	19	3	2	0	2	1	2	10	8	8	9	6	1	30	4	1	2	3	Yadav	4	6	5	6	10	2		10	5	10	10	0	0	0	1	0	2	6	9	6	3
Bihar	BHOJPUR	SARAN	118	10.5.2010  9:24:58 AM	Chapra 	1	1	1	2	1	1	1	1	1	1	1	6	14	4	10	5	10	10	10	0	10	0	0	0	1	28	5	1	2	4	Brahmin	1	6	1	6	10	10	0	0	10	10	10	2	10	10	1	1	2	5	3	6	3
