"fuokZpuksa.dk.lapkyu.fu.e..1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"¼dkuwuh fu;e vkSj vkns’k½"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"iz:i  20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu;e 56x¼2½ ¼x½ nsf[k,]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vfUre ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"8"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"9"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"10"	"1"	"409"	"46"	"4"	"0"	"1"	"1"	"2"	"2"	"7"	"472"	""	""	""
"11"	"2"	"216"	"129"	"10"	"5"	"3"	"2"	"8"	"5"	"9"	"387"	""	""	""
"12"	"3"	"106"	"227"	"5"	"3"	"2"	"2"	"16"	"10"	"18"	"389"	""	""	""
"13"	"4"	"182"	"184"	"17"	"4"	"4"	"11"	"8"	"6"	"26"	"442"	""	""	""
"14"	"5"	"290"	"111"	"11"	"3"	"3"	"3"	"15"	"8"	"33"	"477"	""	""	""
"15"	"6"	"253"	"69"	"4"	"3"	"3"	"4"	"6"	"3"	"10"	"355"	""	""	""
"16"	"7"	"158"	"331"	"5"	"3"	"1"	"2"	"8"	"2"	"12"	"522"	""	""	""
"17"	"8"	"179"	"162"	"18"	"5"	"0"	"3"	"7"	"0"	"7"	"381"	""	""	""
"18"	"9"	"159"	"243"	"18"	"14"	"5"	"5"	"14"	"6"	"12"	"476"	""	""	""
"19"	"10"	"113"	"274"	"16"	"1"	"1"	"3"	"8"	"5"	"11"	"432"	""	""	""
"20"	"11"	"279"	"86"	"14"	"5"	"7"	"6"	"7"	"5"	"21"	"430"	""	""	""
"21"	"12"	"14"	"294"	"6"	"0"	"0"	"1"	"5"	"0"	"1"	"321"	""	""	""
"22"	"13"	"202"	"122"	"20"	"2"	"3"	"2"	"13"	"2"	"9"	"375"	""	""	""
"23"	"14"	"181"	"123"	"10"	"3"	"1"	"3"	"7"	"3"	"24"	"355"	""	""	""
"24"	";ksx %&"	"2741"	"2401"	"158"	"51"	"34"	"48"	"124"	"57"	"200"	"5814"	"0"	"0"	"0"
"25"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"27"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"28"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"29"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"30"	"iwoZ i`\"V dk
;ksx %&"	"2741"	"2401"	"158"	"51"	"34"	"48"	"124"	"57"	"200"	"5814"	""	""	""
"31"	"14A"	"136"	"174"	"40"	"4"	"1"	"9"	"21"	"9"	"12"	"406"	""	""	""
"32"	"15"	"101"	"138"	"28"	"6"	"3"	"5"	"20"	"7"	"17"	"325"	""	""	""
"33"	"16"	"84"	"267"	"13"	"3"	"2"	"0"	"6"	"4"	"11"	"390"	""	""	""
"34"	"17"	"33"	"295"	"12"	"4"	"1"	"1"	"17"	"5"	"5"	"373"	""	""	""
"35"	"18"	"74"	"72"	"107"	"5"	"5"	"9"	"8"	"7"	"20"	"307"	""	""	""
"36"	"19"	"79"	"248"	"15"	"8"	"1"	"7"	"19"	"6"	"10"	"393"	""	""	""
"37"	"20"	"381"	"94"	"19"	"12"	"6"	"7"	"19"	"9"	"35"	"582"	""	""	""
"38"	"21"	"176"	"111"	"23"	"4"	"3"	"1"	"8"	"4"	"27"	"357"	""	""	""
"39"	"21A"	"155"	"125"	"5"	"3"	"7"	"1"	"5"	"6"	"15"	"322"	""	""	""
