"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Name of the Assembly Constituency : - 92-Hayaghat"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Uma Kant Chaudhary"	"Jharee Lal Das"	"Dr.
Shahnawaz Ahmad Kaifi"	"Sabita Sahani"	"Hari Nandan Yadav"	"Bipin Kumar Roy"	"Umadhar Prasad Singh"	"Raj Kumar Ram"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"8"	"1"	"1"	"77"	"18"	"25"	"13"	"341"	"22"	"87"	"38"	"621"	"-"	"621"	""
"9"	"2"	"2"	"102"	"4"	"39"	"12"	"301"	"19"	"16"	"20"	"513"	"-"	"513"	""
"10"	"3"	"3"	"48"	"0"	"204"	"16"	"180"	"10"	"16"	"12"	"486"	"-"	"486"	""
"11"	"4"	"4"	"208"	"12"	"72"	"15"	"55"	"20"	"56"	"25"	"463"	"-"	"463"	""
"12"	"5"	"5"	"172"	"4"	"43"	"10"	"80"	"23"	"121"	"22"	"475"	"-"	"475"	""
"13"	"6"	"6"	"77"	"7"	"18"	"50"	"219"	"19"	"30"	"21"	"441"	"-"	"441"	""
"14"	"7"	"7"	"42"	"6"	"65"	"4"	"94"	"13"	"82"	"6"	"312"	"-"	"312"	""
"15"	"8"	"7A"	"11"	"1"	"11"	"4"	"94"	"7"	"75"	"4"	"207"	"-"	"207"	""
"16"	"9"	"8"	"14"	"8"	"127"	"5"	"187"	"11"	"69"	"12"	"433"	"-"	"433"	""
"17"	"10"	"8A"	"11"	"5"	"28"	"7"	"150"	"5"	"57"	"8"	"271"	"-"	"271"	""
"18"	"11"	"9"	"214"	"12"	"34"	"13"	"141"	"11"	"8"	"24"	"457"	"-"	"457"	""
"19"	"12"	"9A"	"38"	"9"	"78"	"8"	"94"	"7"	"10"	"20"	"264"	"-"	"264"	""
"20"	"13"	"10"	"95"	"6"	"11"	"12"	"282"	"17"	"2"	"6"	"431"	"-"	"431"	""
"21"	"14"	"10A"	"215"	"2"	"0"	"2"	"18"	"4"	"5"	"9"	"255"	"-"	"255"	""
"22"	"15"	"11"	"231"	"7"	"16"	"18"	"289"	"20"	"14"	"28"	"623"	"-"	"623"	""
