"Sl.No..of.Polling"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"3"	"1"	"izkFkfed fo|ky;] iqjudkek"	"18"	"6"	"218"	"23"	"201"	"23"	"489"	""	"489"	""
"4"	"2"	"izkFkfed fo|ky;] /keZiqj"	"22"	"12"	"358"	"17"	"37"	"11"	"457"	""	"457"	""
"5"	"3"	"izkFkfed fo|ky;] eUnuk"	"19"	"8"	"269"	"11"	"13"	"6"	"326"	""	"326"	""
"6"	"4"	"mPp fo|ky;] gfFk;k¡ok"	"6"	"5"	"567"	"10"	"2"	"3"	"593"	""	"593"	""
"7"	"5"	"e/; fo|ky;] gfFk;k¡ok"	"6"	"2"	"489"	"9"	"1"	"4"	"511"	""	"511"	""
"8"	"6"	"izkFkfed fo|ky; dkerk"	"1"	"3"	"498"	"10"	"1"	"2"	"515"	""	"515"	""
"9"	"7"	"izkFkfed fo|ky;] jlyiqj"	"11"	"3"	"340"	"9"	"3"	"3"	"369"	""	"369"	""
"10"	"8"	"iqLrdky; Hkou] fprkSjk"	"7"	"7"	"198"	"12"	"10"	"2"	"236"	""	"236"	""
"11"	"9"	"izkFkfed fo|ky;] eqckjdiqj"	"10"	"2"	"301"	"2"	"1"	"2"	"318"	""	"318"	""
"12"	"10"	"e/; fo|ky;] ,s>h"	"3"	"2"	"61"	"2"	"64"	"3"	"135"	""	"135"	""
"13"	"10d"	"e/; fo|ky;] ,s>h"	"18"	"7"	"82"	"9"	"115"	"7"	"238"	""	"238"	""
"14"	"11"	"e/; fo|ky;] eqjkjiqj"	"20"	"2"	"11"	"2"	"255"	"13"	"303"	""	"303"	""
