"NAME.OF.THE.ASSEMBLY.CONSTITUENCY.....78.Madhubani"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"2"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"4"	"Round - 1"	"1"	"11"	"43"	"92"	"134"	"7"	"7"	"11"	"4"	"36"	"345"	""	"345"	"0"
"5"	""	"2"	"2"	"19"	"88"	"185"	"6"	"4"	"7"	"6"	"6"	"323"	""	"323"	"0"
"6"	""	"3"	"6"	"273"	"17"	"11"	"3"	"2"	"3"	"10"	"5"	"330"	""	"330"	"0"
"7"	""	"4"	"19"	"120"	"80"	"89"	"18"	"9"	"8"	"14"	"17"	"374"	""	"374"	"0"
"8"	""	"5"	"1"	"102"	"24"	"55"	"2"	"3"	"4"	"12"	"2"	"205"	""	"205"	"0"
"9"	""	"5&d"	"12"	"95"	"130"	"75"	"15"	"13"	"20"	"13"	"21"	"394"	""	"394"	"0"
"10"	""	"6"	"4"	"25"	"116"	"203"	"4"	"3"	"3"	"6"	"5"	"369"	""	"369"	"0"
"11"	""	"7"	"10"	"97"	"48"	"216"	"5"	"10"	"9"	"16"	"15"	"426"	""	"426"	"0"
"12"	""	"8"	"5"	"23"	"117"	"153"	"11"	"4"	"8"	"5"	"9"	"335"	""	"335"	"0"
"13"	""	"9"	"7"	"37"	"77"	"179"	"8"	"2"	"10"	"10"	"22"	"352"	""	"352"	"0"
"14"	""	"10"	"5"	"24"	"38"	"316"	"17"	"3"	"7"	"7"	"21"	"438"	""	"438"	"0"
"15"	""	"11"	"15"	"121"	"129"	"284"	"21"	"11"	"12"	"18"	"49"	"660"	""	"660"	"0"
"16"	""	"12"	"9"	"15"	"46"	"222"	"6"	"1"	"2"	"2"	"11"	"314"	""	"314"	"0"
"17"	""	"13"	"15"	"22"	"161"	"87"	"5"	"2"	"14"	"7"	"25"	"338"	""	"338"	"0"
"18"	""	"Total"	"121"	"1016"	"1163"	"2209"	"128"	"74"	"118"	"130"	"244"	"5203"	"0"	"5203"	"0"
"19"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"21"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"23"	"Round - 2"	"14"	"13"	"65"	"86"	"140"	"6"	"4"	"9"	"9"	"16"	"348"	""	"348"	"0"
"24"	""	"14&d"	"5"	"50"	"95"	"94"	"2"	"2"	"1"	"13"	"5"	"267"	""	"267"	"0"
"25"	""	"15"	"23"	"50"	"88"	"199"	"13"	"9"	"8"	"5"	"16"	"411"	""	"411"	"0"
"26"	""	"16"	"17"	"287"	"41"	"53"	"7"	"3"	"3"	"4"	"8"	"423"	""	"423"	"0"
"27"	""	"16&d"	"11"	"152"	"24"	"79"	"6"	"0"	"3"	"1"	"5"	"281"	""	"281"	"0"
"28"	""	"17"	"27"	"411"	"33"	"13"	"16"	"2"	"3"	"1"	"5"	"511"	""	"511"	"0"
"29"	""	"18"	"22"	"73"	"156"	"304"	"12"	"15"	"6"	"6"	"15"	"609"	""	"609"	"0"
"30"	""	"19"	"10"	"54"	"71"	"172"	"13"	"7"	"3"	"1"	"14"	"345"	""	"345"	"0"
"31"	""	"19&d"	"7"	"106"	"67"	"146"	"10"	"3"	"0"	"2"	"13"	"354"	""	"354"	"0"
"32"	""	"20"	"8"	"18"	"35"	"146"	"8"	"7"	"4"	"3"	"6"	"235"	""	"235"	"0"
"33"	""	"21"	"25"	"192"	"106"	"123"	"10"	"12"	"14"	"22"	"24"	"528"	""	"528"	"0"
"34"	""	"22"	"15"	"175"	"86"	"62"	"7"	"21"	"17"	"18"	"45"	"446"	""	"446"	"0"
"35"	""	"22&d"	"5"	"191"	"68"	"23"	"4"	"3"	"7"	"11"	"16"	"328"	""	"328"	"0"
"36"	""	"23"	"12"	"97"	"62"	"228"	"6"	"12"	"5"	"1"	"11"	"434"	""	"434"	"0"
"37"	""	"Total"	"200"	"1921"	"1018"	"1782"	"120"	"100"	"83"	"97"	"199"	"5520"	"0"	"5520"	"0"
"38"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"40"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"42"	"Round - 3"	"24"	"10"	"86"	"120"	"47"	"2"	"5"	"12"	"10"	"17"	"309"	""	"309"	"0"
"43"	""	"25"	"10"	"28"	"132"	"385"	"18"	"9"	"7"	"9"	"16"	"614"	""	"614"	"0"
"44"	""	"26"	"10"	"119"	"75"	"176"	"13"	"16"	"5"	"8"	"14"	"436"	""	"436"	"0"
"45"	""	"27"	"21"	"105"	"123"	"187"	"11"	"9"	"7"	"9"	"17"	"489"	""	"489"	"0"
"46"	""	"28"	"8"	"19"	"93"	"319"	"25"	"5"	"9"	"5"	"12"	"495"	""	"495"	"0"
"47"	""	"29"	"6"	"216"	"11"	"18"	"0"	"2"	"1"	"8"	"10"	"272"	""	"272"	"0"
"48"	""	"30"	"24"	"310"	"80"	"116"	"8"	"16"	"10"	"9"	"19"	"592"	""	"592"	"0"
"49"	""	"31"	"12"	"277"	"64"	"99"	"6"	"4"	"6"	"12"	"17"	"497"	""	"497"	"0"
"50"	""	"32"	"16"	"186"	"24"	"135"	"9"	"8"	"8"	"6"	"17"	"409"	""	"409"	"0"
"51"	""	"32&d"	"15"	"118"	"48"	"147"	"10"	"1"	"12"	"2"	"15"	"368"	""	"368"	"0"
"52"	""	"33"	"8"	"16"	"80"	"357"	"18"	"9"	"15"	"14"	"30"	"547"	""	"547"	"0"
"53"	""	"34"	"9"	"32"	"47"	"122"	"7"	"0"	"4"	"5"	"9"	"235"	""	"235"	"0"
"54"	""	"35"	"12"	"221"	"87"	"92"	"7"	"1"	"10"	"12"	"12"	"454"	""	"454"	"0"
"55"	""	"36"	"31"	"101"	"99"	"223"	"17"	"9"	"15"	"14"	"19"	"528"	""	"528"	"0"
"56"	""	"Total"	"192"	"1834"	"1083"	"2423"	"151"	"94"	"121"	"123"	"224"	"6245"	""	"6245"	"0"
"57"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"59"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"60"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"61"	"Round - 4"	"37"	"21"	"155"	"145"	"156"	"15"	"13"	"21"	"26"	"15"	"567"	""	"567"	"0"
"62"	""	"38"	"7"	"8"	"173"	"315"	"21"	"9"	"13"	"9"	"23"	"578"	""	"578"	"0"
"63"	""	"39"	"12"	"64"	"38"	"170"	"9"	"11"	"11"	"8"	"11"	"334"	""	"334"	"0"
"64"	""	"40"	"5"	"60"	"43"	"115"	"4"	"8"	"4"	"5"	"7"	"251"	""	"251"	"0"
"65"	""	"41"	"7"	"39"	"68"	"217"	"15"	"3"	"9"	"9"	"23"	"390"	""	"390"	"0"
"66"	""	"42"	"22"	"132"	"39"	"54"	"9"	"5"	"7"	"5"	"11"	"284"	""	"284"	"0"
"67"	""	"42&d"	"10"	"102"	"8"	"24"	"3"	"5"	"1"	"3"	"6"	"162"	""	"162"	"0"
"68"	""	"43"	"14"	"239"	"61"	"2"	"2"	"5"	"6"	"10"	"4"	"343"	""	"343"	"0"
"69"	""	"44"	"23"	"195"	"68"	"111"	"11"	"15"	"15"	"10"	"14"	"462"	""	"462"	"0"
"70"	""	"45"	"17"	"256"	"48"	"13"	"3"	"9"	"10"	"18"	"26"	"400"	""	"400"	"0"
"71"	""	"46"	"9"	"49"	"108"	"137"	"11"	"13"	"10"	"8"	"9"	"354"	""	"354"	"0"
