"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"8"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"10"	"1"	"1"	"91"	"265"	"36"	"76"	"7"	"10"	"13"	"498"	"0"	"498"	"0"
"11"	"2"	"2"	"158"	"116"	"3"	"24"	"3"	"5"	"7"	"316"	"0"	"316"	"0"
"12"	"3"	"3"	"127"	"221"	"11"	"15"	"3"	"4"	"10"	"391"	"0"	"391"	"0"
"13"	"4"	"4"	"152"	"167"	"7"	"28"	"6"	"3"	"19"	"382"	"0"	"382"	"0"
"14"	"5"	"5"	"246"	"136"	"5"	"8"	"3"	"1"	"3"	"402"	"0"	"402"	"0"
"15"	"6"	"6"	"394"	"14"	"0"	"5"	"1"	"1"	"1"	"416"	"0"	"416"	"0"
"16"	"7"	"7"	"291"	"94"	"3"	"33"	"5"	"2"	"3"	"431"	"0"	"431"	"0"
"17"	"8"	"8"	"269"	"51"	"2"	"16"	"3"	"7"	"6"	"354"	"0"	"354"	"0"
"18"	"9"	"9"	"278"	"100"	"4"	"33"	"8"	"5"	"15"	"443"	"0"	"443"	"0"
"19"	"10"	"10"	"156"	"22"	"0"	"0"	"5"	"1"	"3"	"187"	"0"	"187"	"0"
"20"	"11"	"11"	"338"	"85"	"3"	"18"	"7"	"4"	"4"	"459"	"0"	"459"	"0"
"21"	"12"	"12"	"126"	"101"	"3"	"11"	"4"	"3"	"4"	"252"	"0"	"252"	"0"
"22"	"13"	"12A"	"94"	"170"	"4"	"9"	"3"	"5"	"5"	"290"	"0"	"290"	"0"
"23"	"14"	"13"	"202"	"56"	"3"	"24"	"2"	"1"	"4"	"292"	"0"	"292"	"0"
"24"	"Total Votes Polled"	""	"2922"	"1598"	"84"	"300"	"60"	"52"	"97"	"5113"	"0"	"5113"	"0"
"25"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"34"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"35"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"36"	"1"	"13A"	"137"	"60"	"5"	"36"	"6"	"2"	"5"	"251"	"0"	"251"	"0"
"37"	"2"	"14"	"180"	"111"	"9"	"13"	"2"	"4"	"6"	"325"	"0"	"325"	"0"
"38"	"3"	"15"	"290"	"90"	"9"	"39"	"4"	"2"	"3"	"437"	"0"	"437"	"0"
"39"	"4"	"16"	"205"	"152"	"11"	"44"	"10"	"3"	"10"	"435"	"0"	"435"	"0"
"40"	"5"	"17"	"168"	"211"	"13"	"45"	"12"	"5"	"16"	"470"	"0"	"470"	"0"
"41"	"6"	"18"	"262"	"73"	"3"	"10"	"1"	"0"	"1"	"350"	"0"	"350"	"0"
"42"	"7"	"19"	"286"	"112"	"9"	"23"	"8"	"4"	"21"	"463"	"0"	"463"	"0"
"43"	"8"	"20"	"249"	"208"	"17"	"15"	"6"	"10"	"23"	"528"	"0"	"528"	"0"
"44"	"9"	"21"	"76"	"115"	"2"	"5"	"1"	"0"	"2"	"201"	"0"	"201"	"0"
"45"	"10"	"22"	"136"	"59"	"6"	"12"	"1"	"1"	"8"	"223"	"0"	"223"	"0"
"46"	"11"	"23"	"185"	"106"	"9"	"28"	"7"	"3"	"10"	"348"	"0"	"348"	"0"
"47"	"12"	"24"	"303"	"123"	"14"	"44"	"11"	"15"	"16"	"526"	"0"	"526"	"0"
"48"	"13"	"25"	"236"	"77"	"8"	"15"	"7"	"10"	"19"	"372"	"0"	"372"	"0"
"49"	"14"	"26"	"227"	"97"	"12"	"43"	"7"	"6"	"9"	"401"	"0"	"401"	"0"
"50"	"Total Votes Polled"	""	"2940"	"1594"	"127"	"372"	"83"	"65"	"149"	"5330"	"0"	"5330"	"0"
"51"	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
