"Total.No..of.Electors.in.Assembly.Constituency...195687"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"7"	"1"	"270"	"95"	"153"	"12"	"3"	"3"	"5"	"30"	"11"	"39"	"621"	"0"	"621"	"0"	""
"8"	"2"	"36"	"99"	"129"	"47"	"5"	"2"	"6"	"18"	"7"	"29"	"378"	"0"	"378"	"0"	""
"9"	"2A"	"102"	"61"	"153"	"3"	"6"	"4"	"5"	"12"	"4"	"19"	"369"	"0"	"369"	"0"	""
"10"	"3"	"39"	"37"	"325"	"6"	"1"	"1"	"3"	"8"	"1"	"4"	"425"	"0"	"425"	"0"	""
"11"	"3A"	"124"	"111"	"134"	"8"	"4"	"5"	"5"	"13"	"4"	"7"	"415"	"0"	"415"	"0"	""
"12"	"4"	"156"	"38"	"298"	"57"	"2"	"8"	"10"	"36"	"11"	"13"	"629"	"0"	"629"	"0"	""
"13"	"5"	"75"	"5"	"231"	"8"	"1"	"0"	"2"	"3"	"0"	"0"	"325"	"0"	"325"	"0"	""
"14"	"5A"	"186"	"14"	"128"	"9"	"3"	"6"	"5"	"11"	"3"	"7"	"372"	"0"	"372"	"0"	""
"15"	"6"	"200"	"28"	"135"	"8"	"2"	"4"	"1"	"14"	"5"	"2"	"399"	"0"	"399"	"0"	""
"16"	"7"	"251"	"31"	"91"	"5"	"5"	"8"	"3"	"15"	"8"	"11"	"428"	"0"	"428"	"0"	""
"17"	"8"	"206"	"11"	"158"	"7"	"0"	"26"	"6"	"11"	"2"	"11"	"438"	"0"	"438"	"0"	""
"18"	"9"	"263"	"108"	"99"	"5"	"3"	"4"	"11"	"20"	"11"	"40"	"564"	"0"	"564"	"0"	""
"19"	"10"	"329"	"42"	"106"	"11"	"12"	"4"	"9"	"24"	"3"	"8"	"548"	"0"	"548"	"0"	""
"20"	"11"	"158"	"56"	"224"	"3"	"1"	"4"	"4"	"12"	"2"	"2"	"466"	"0"	"466"	"0"	""
"21"	"Total"	"2395"	"736"	"2364"	"189"	"48"	"79"	"75"	"227"	"72"	"192"	"6377"	"0"	"6377"	"0"	""
"22"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"29"	"12"	"120"	"52"	"100"	"5"	"3"	"27"	"9"	"22"	"3"	"16"	"357"	"0"	"357"	"0"	""
"30"	"13"	"59"	"20"	"188"	"11"	"1"	"23"	"15"	"50"	"12"	"24"	"403"	"0"	"403"	"0"	""
"31"	"14"	"143"	"14"	"199"	"15"	"4"	"95"	"2"	"20"	"7"	"6"	"505"	"0"	"505"	"0"	""
"32"	"15"	"97"	"41"	"224"	"9"	"3"	"25"	"17"	"23"	"7"	"2"	"448"	"0"	"448"	"0"	""
"33"	"16"	"125"	"26"	"194"	"10"	"0"	"7"	"1"	"4"	"0"	"2"	"369"	"0"	"369"	"0"	""
"34"	"17"	"182"	"47"	"114"	"2"	"2"	"8"	"1"	"11"	"4"	"16"	"387"	"0"	"387"	"0"	""
"35"	"18"	"142"	"7"	"154"	"3"	"6"	"2"	"6"	"10"	"1"	"0"	"331"	"0"	"331"	"0"	""
"36"	"18A"	"78"	"6"	"216"	"5"	"4"	"8"	"3"	"18"	"3"	"5"	"346"	"0"	"346"	"0"	""
"37"	"19"	"47"	"60"	"215"	"7"	"1"	"2"	"8"	"18"	"5"	"2"	"365"	"0"	"365"	"0"	""
"38"	"19A"	"25"	"161"	"217"	"6"	"2"	"0"	"5"	"12"	"1"	"8"	"437"	"0"	"437"	"0"	""
