"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"8"	"1"	"11"	"231"	"141"	"43"	"7"	"93"	"15"	"541"	""	"541"	""
"9"	"2"	"14"	"88"	"255"	"55"	"15"	"120"	"33"	"580"	""	"580"	""
"10"	"3"	"7"	"59"	"285"	"43"	"11"	"29"	"16"	"450"	""	"450"	""
"11"	"4"	"17"	"45"	"350"	"47"	"13"	"18"	"12"	"502"	""	"502"	""
"12"	"5"	"10"	"539"	"8"	"19"	"7"	"125"	"14"	"722"	""	"722"	""
"13"	"6"	"24"	"204"	"199"	"30"	"221"	"65"	"12"	"755"	""	"755"	""
"14"	"7"	"15"	"252"	"91"	"43"	"132"	"255"	"21"	"809"	""	"809"	""
"15"	"8"	"28"	"447"	"81"	"28"	"92"	"24"	"13"	"713"	""	"713"	""
"16"	"9"	"6"	"152"	"27"	"89"	"42"	"163"	"8"	"487"	""	"487"	""
"17"	"10"	"8"	"180"	"3"	"15"	"12"	"162"	"5"	"385"	""	"385"	""
"18"	"11"	"7"	"59"	"61"	"14"	"17"	"264"	"13"	"435"	""	"435"	""
"19"	"11A"	"3"	"28"	"17"	"3"	"13"	"256"	"20"	"340"	""	"340"	""
"20"	"12"	"19"	"93"	"116"	"24"	"14"	"517"	"12"	"795"	""	"795"	""
"21"	"13"	"12"	"29"	"155"	"19"	"9"	"131"	"5"	"360"	""	"360"	""
"22"	"Current Round Total"	"181"	"2406"	"1789"	"472"	"605"	"2222"	"199"	"7874"	"0"	"7874"	"0"
"23"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""
"24"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"25"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"26"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"27"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"28"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"29"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"31"	"13A"	"14"	"218"	"14"	"9"	"7"	"246"	"14"	"522"	""	"522"	""
"32"	"14"	"7"	"26"	"45"	"6"	"11"	"535"	"35"	"665"	""	"665"	""
"33"	"15"	"21"	"475"	"52"	"26"	"17"	"81"	"23"	"695"	""	"695"	""
"34"	"16"	"25"	"585"	"29"	"29"	"10"	"121"	"18"	"817"	""	"817"	""
"35"	"17"	"6"	"225"	"119"	"21"	"12"	"120"	"13"	"516"	""	"516"	""
"36"	"18"	"17"	"128"	"251"	"28"	"25"	"255"	"31"	"735"	""	"735"	""
"37"	"19"	"8"	"153"	"57"	"9"	"3"	"99"	"6"	"335"	""	"335"	""
"38"	"20"	"3"	"168"	"48"	"13"	"5"	"88"	"5"	"330"	""	"330"	""
"39"	"21"	"9"	"259"	"162"	"18"	"15"	"245"	"25"	"733"	""	"733"	""
"40"	"22"	"7"	"174"	"168"	"16"	"25"	"327"	"12"	"729"	""	"729"	""
"41"	"23"	"12"	"92"	"355"	"47"	"6"	"197"	"4"	"713"	""	"713"	""
"42"	"24"	"7"	"119"	"105"	"15"	"25"	"441"	"23"	"735"	""	"735"	""
"43"	"25"	"2"	"76"	"5"	"4"	"11"	"455"	"28"	"581"	""	"581"	""
"44"	"25A"	"4"	"126"	"5"	"6"	"3"	"192"	"9"	"345"	""	"345"	""
"45"	"Current Round Total"	"142"	"2824"	"1415"	"247"	"175"	"3402"	"246"	"8451"	"0"	"8451"	"0"
"46"	"Previous Round Total"	"181"	"2406"	"1789"	"472"	"605"	"2222"	"199"	"7874"	"0"	"7874"	"0"
"47"	"TOTAL"	"323"	"5230"	"3204"	"719"	"780"	"5624"	"445"	"16325"	"0"	"16325"	"0"
"48"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""
"49"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"50"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"51"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"52"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"53"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"54"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"55"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"56"	"26"	"13"	"283"	"10"	"9"	"8"	"246"	"13"	"582"	""	"582"	""
"57"	"27"	"12"	"488"	"17"	"9"	"5"	"208"	"14"	"753"	""	"753"	""
"58"	"28"	"15"	"344"	"98"	"16"	"21"	"235"	"21"	"750"	""	"750"	""
"59"	"29"	"6"	"200"	"7"	"11"	"9"	"329"	"8"	"570"	""	"570"	""
