"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"1"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"2"	"1"	"21"	"130"	"14"	"6"	"122"	"7"	"5"	"16"	"10"	"3"	"21"	"14"	"34"	"403"	"0"	"403"	""
"3"	"1A"	"43"	"23"	"5"	"4"	"106"	"2"	"4"	"4"	"3"	"1"	"25"	"3"	"13"	"236"	"0"	"236"	""
"4"	"2"	"36"	"181"	"16"	"5"	"102"	"12"	"25"	"5"	"6"	"4"	"16"	"3"	"13"	"424"	"0"	"424"	""
"5"	"3"	"22"	"77"	"1"	"17"	"186"	"11"	"9"	"13"	"8"	"1"	"40"	"8"	"20"	"413"	"0"	"413"	""
"6"	"4"	"89"	"32"	"12"	"5"	"96"	"13"	"8"	"12"	"13"	"15"	"39"	"16"	"23"	"373"	"0"	"373"	""
"7"	"5"	"153"	"18"	"4"	"0"	"63"	"5"	"2"	"2"	"4"	"2"	"17"	"1"	"15"	"286"	"0"	"286"	""
"8"	"6"	"55"	"350"	"20"	"7"	"50"	"8"	"6"	"0"	"4"	"3"	"8"	"2"	"7"	"520"	"0"	"520"	""
"9"	"7"	"79"	"54"	"13"	"13"	"192"	"14"	"31"	"17"	"8"	"15"	"51"	"7"	"26"	"520"	"0"	"520"	""
"10"	"8"	"30"	"105"	"6"	"2"	"198"	"3"	"9"	"3"	"1"	"4"	"26"	"10"	"12"	"409"	"0"	"409"	""
"11"	"9"	"41"	"444"	"28"	"7"	"20"	"11"	"5"	"3"	"4"	"0"	"2"	"5"	"18"	"588"	"0"	"588"	""
"12"	"10"	"41"	"95"	"5"	"6"	"177"	"6"	"8"	"8"	"9"	"6"	"33"	"6"	"18"	"418"	"0"	"418"	""
"13"	"11"	"19"	"194"	"4"	"4"	"43"	"4"	"7"	"2"	"1"	"4"	"5"	"1"	"10"	"298"	"0"	"298"	""
"14"	"12"	"20"	"106"	"8"	"5"	"170"	"9"	"9"	"4"	"6"	"11"	"25"	"6"	"14"	"393"	"0"	"393"	""
"15"	"13"	"132"	"223"	"20"	"4"	"83"	"5"	"17"	"17"	"6"	"9"	"21"	"6"	"40"	"583"	"0"	"583"	""
"16"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"17"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"18"	"14"	"35"	"130"	"9"	"6"	"263"	"18"	"20"	"6"	"7"	"6"	"33"	"10"	"20"	"563"	"0"	"563"	""
"19"	"15"	"11"	"265"	"23"	"5"	"197"	"7"	"1"	"2"	"4"	"4"	"29"	"6"	"33"	"587"	"0"	"587"	""
"20"	"16"	"37"	"172"	"14"	"7"	"149"	"9"	"18"	"5"	"6"	"7"	"41"	"3"	"19"	"487"	"0"	"487"	""
