"Total.No..of.electors.in.Assembly.constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Name of the Assembly Constituency : - 84 Manigachhi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Upendra Paswan"	"Prabhakar Chaudhary"	"Lalit Kumar Yadav"	"Shamshad Khan"	"Shivaji Nirala"	"Sree Mohan Chaudhary"	"Anil Kumar Chaudhary"	"Khushi Lal Choupal"	"Jitendra Mandal"	"Dewnarayan Singh"	"Nirmala Devi"	"Mohan Saday"	"Ravindra Mandal"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"8"	"1"	"1"	"15"	"278"	"240"	"61"	"3"	"0"	"4"	"3"	"4"	"5"	"0"	"5"	"8"	"626"	"-"	"626"	""
"9"	"2"	"2"	"15"	"340"	"213"	"18"	"3"	"1"	"4"	"4"	"2"	"5"	"7"	"5"	"14"	"631"	"-"	"631"	""
"10"	"3"	"3"	"12"	"116"	"149"	"9"	"1"	"1"	"2"	"1"	"2"	"2"	"4"	"6"	"4"	"309"	"-"	"309"	""
"11"	"4"	"3A"	"15"	"217"	"106"	"6"	"1"	"2"	"0"	"1"	"2"	"0"	"2"	"6"	"10"	"368"	"-"	"368"	""
"12"	"5"	"4"	"19"	"101"	"235"	"91"	"9"	"5"	"5"	"4"	"19"	"3"	"4"	"0"	"5"	"500"	"-"	"500"	""
"13"	"6"	"5"	"15"	"181"	"178"	"34"	"3"	"2"	"3"	"2"	"3"	"2"	"3"	"5"	"3"	"434"	"-"	"434"	""
"14"	"7"	"5A"	"9"	"167"	"210"	"14"	"2"	"2"	"2"	"1"	"1"	"2"	"0"	"2"	"2"	"414"	"-"	"414"	""
