"X."	"X..1"	"X..2"	"X..3"	"X018.KESARIYA"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"4"	"1"	""	"935"	"1"	"13"	"208"	"43"	"62"	"83"	"6"	"7"	"5"	"3"	"6"	"5"	"7"	"448"
"5"	"2"	""	"903"	"1"	"6"	"44"	"6"	"35"	"313"	"6"	"6"	"3"	"0"	"4"	"2"	"9"	"434"
"6"	"3"	""	"1272"	"1"	"22"	"110"	"24"	"31"	"323"	"12"	"11"	"6"	"4"	"15"	"1"	"4"	"563"
"7"	"4"	""	"1001"	"1"	"23"	"13"	"12"	"70"	"271"	"11"	"4"	"6"	"4"	"2"	"5"	"15"	"436"
"8"	"5"	""	"749"	"1"	"19"	"95"	"27"	"166"	"52"	"5"	"8"	"3"	"1"	"8"	"9"	"11"	"404"
"9"	"6"	""	"1299"	"1"	"22"	"29"	"26"	"209"	"191"	"8"	"4"	"4"	"3"	"1"	"14"	"7"	"518"
"10"	"7"	""	"1182"	"1"	"10"	"40"	"46"	"138"	"126"	"1"	"5"	"4"	"6"	"7"	"4"	"5"	"392"
"11"	"8"	""	"1152"	"1"	"11"	"97"	"141"	"67"	"51"	"1"	"5"	"2"	"6"	"9"	"10"	"9"	"409"
"12"	"9"	"A"	"528"	"1"	"10"	"78"	"28"	"97"	"63"	"6"	"3"	"3"	"1"	"3"	"5"	"4"	"301"
"13"	"9"	""	"916"	"1"	"17"	"32"	"12"	"176"	"76"	"7"	"6"	"2"	"2"	"3"	"3"	"4"	"340"
"14"	"10"	""	"696"	"2"	"7"	"69"	"3"	"166"	"75"	"3"	"4"	"1"	"3"	"2"	"6"	"4"	"343"
"15"	"11"	""	"936"	"2"	"7"	"51"	"93"	"80"	"25"	"3"	"8"	"3"	"6"	"15"	"15"	"20"	"326"
