"X."	"X..1"	"X..2"	"X019.HARSIDHI"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext."	"Voters"	"Round"	"AWADHESH PD. KUSHWAHA"	"KALIM AKHTER"	"MAHESHWAR SINGH"	"HARI SHANKAR PD. SINGH"	"AZAD LALAN PRASAD"	"WACHCHA SHAH"	"SHYAM KUMAR PRASAD"	"Total"
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"4"	"1"	""	"1335"	"1"	"566"	"17"	"162"	"26"	"12"	"24"	"28"	"835"
"5"	"2"	""	"1335"	"1"	"317"	"18"	"266"	"32"	"9"	"9"	"33"	"684"
"6"	"3"	"A"	"468"	"1"	"213"	"18"	"222"	"17"	"23"	"3"	"25"	"521"
"7"	"3"	""	"935"	"1"	"146"	"5"	"62"	"3"	"0"	"5"	"10"	"231"
"8"	"4"	""	"1201"	"1"	"478"	"9"	"177"	"14"	"4"	"6"	"12"	"700"
"9"	"5"	""	"995"	"1"	"203"	"6"	"75"	"49"	"4"	"6"	"11"	"354"
"10"	"5"	"A"	"570"	"1"	"111"	"8"	"144"	"13"	"3"	"4"	"4"	"287"
"11"	"6"	""	"1267"	"1"	"341"	"12"	"106"	"36"	"8"	"18"	"15"	"536"
"12"	"7"	"A"	"744"	"1"	"144"	"14"	"185"	"16"	"13"	"12"	"18"	"402"
"13"	"7"	""	"871"	"1"	"137"	"9"	"195"	"21"	"4"	"7"	"15"	"388"
"14"	"8"	"A"	"633"	"2"	"236"	"10"	"192"	"44"	"13"	"6"	"22"	"523"
"15"	"8"	""	"1013"	"2"	"120"	"19"	"148"	"23"	"24"	"3"	"23"	"360"
"16"	"9"	"A"	"705"	"2"	"267"	"10"	"235"	"10"	"11"	"15"	"49"	"597"
"17"	"9"	""	"811"	"2"	"286"	"2"	"89"	"4"	"0"	"2"	"1"	"384"
"18"	"10"	""	"1134"	"2"	"154"	"11"	"388"	"38"	"7"	"13"	"21"	"632"
"19"	"10"	"A"	"1125"	"2"	"78"	"4"	"190"	"42"	"7"	"9"	"30"	"360"
"20"	"11"	""	"886"	"2"	"259"	"8"	"53"	"66"	"6"	"10"	"20"	"422"
"21"	"11"	"A"	"523"	"2"	"120"	"6"	"41"	"37"	"3"	"7"	"11"	"225"
"22"	"12"	""	"968"	"2"	"80"	"11"	"154"	"187"	"18"	"10"	"22"	"482"
"23"	"12"	"A"	"585"	"2"	"84"	"8"	"22"	"88"	"6"	"3"	"12"	"223"
"24"	"13"	"A"	"463"	"3"	"47"	"15"	"146"	"301"	"23"	"11"	"27"	"570"
"25"	"13"	""	"978"	"3"	"111"	"2"	"27"	"58"	"5"	"4"	"9"	"216"
