"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 70-SONBARSA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 70-Sonbarsa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total Number of Electors in Assembly Constituency :-2,03,571"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"7"	""	"Amzad Hussain Anwar"	"Mahendra Singh Yadav"	"Dr. Ram Chandra Purvey"	"Ram Naresh Prasad Yadav"	"Moimuddin Ansari"	"Jagdish Mahto"	"Ram Jeewan Prasad"	"Vidhan Chand Rai"	"Sarfuddin Ahmad"	""	""	""	""
"8"	"1"	"165"	"66"	"112"	"54"	"12"	"3"	"36"	"11"	"22"	"481"	"-"	"481"	"-"
"9"	"2"	"86"	"70"	"110"	"70"	"16"	"5"	"46"	"2"	"5"	"410"	"-"	"410"	"-"
"10"	"3"	"64"	"95"	"264"	"82"	"20"	"4"	"20"	"4"	"11"	"564"	"-"	"564"	"-"
"11"	"4"	"134"	"48"	"243"	"24"	"8"	"1"	"5"	"6"	"5"	"474"	"-"	"474"	"-"
"12"	"5"	"116"	"37"	"302"	"105"	"8"	"6"	"36"	"5"	"8"	"623"	"-"	"623"	"-"
"13"	"6"	"27"	"85"	"113"	"18"	"7"	"2"	"37"	"11"	"7"	"307"	"-"	"307"	"-"
"14"	"7"	"83"	"13"	"173"	"23"	"3"	"2"	"28"	"5"	"7"	"337"	"-"	"337"	"-"
"15"	"7A"	"50"	"48"	"258"	"7"	"8"	"3"	"20"	"6"	"9"	"409"	"-"	"409"	"-"
"16"	"8"	"58"	"10"	"313"	"39"	"5"	"0"	"19"	"3"	"19"	"466"	"-"	"466"	"-"
"17"	"9"	"58"	"7"	"196"	"66"	"2"	"5"	"64"	"3"	"5"	"406"	"-"	"406"	"-"
"18"	"9A"	"24"	"14"	"172"	"28"	"8"	"3"	"83"	"14"	"19"	"365"	"-"	"365"	"-"
"19"	"10"	"183"	"76"	"313"	"29"	"5"	"0"	"4"	"2"	"2"	"614"	"-"	"614"	"-"
"20"	"11"	"128"	"126"	"114"	"42"	"9"	"3"	"31"	"8"	"11"	"472"	"-"	"472"	"-"
"21"	"11A"	"266"	"9"	"51"	"45"	"0"	"4"	"38"	"4"	"6"	"423"	"-"	"423"	"-"
"22"	"12"	"83"	"12"	"192"	"27"	"3"	"4"	"2"	"1"	"0"	"324"	"-"	"324"	"-"
"23"	"13"	"54"	"18"	"308"	"38"	"9"	"5"	"7"	"10"	"11"	"460"	"-"	"460"	"-"
"24"	"14"	"130"	"15"	"327"	"12"	"9"	"4"	"26"	"8"	"13"	"544"	"-"	"544"	"-"
"25"	"15"	"136"	"25"	"121"	"10"	"12"	"2"	"10"	"11"	"22"	"349"	"-"	"349"	"-"
"26"	"16"	"158"	"65"	"132"	"14"	"1"	"1"	"5"	"8"	"2"	"386"	"-"	"386"	"-"
"27"	"16A"	"30"	"28"	"207"	"22"	"1"	"2"	"6"	"2"	"12"	"310"	"-"	"310"	"-"
"28"	"17"	"82"	"96"	"162"	"82"	"5"	"1"	"5"	"3"	"11"	"447"	"-"	"447"	"-"
"29"	"17A"	"51"	"12"	"138"	"55"	"0"	"3"	"4"	"3"	"6"	"272"	"-"	"272"	"-"
"30"	"18"	"149"	"9"	"162"	"20"	"3"	"5"	"86"	"4"	"13"	"451"	"-"	"451"	"-"
"31"	"19"	"130"	"12"	"96"	"156"	"11"	"8"	"219"	"4"	"8"	"644"	"-"	"644"	"-"
"32"	"20"	"89"	"50"	"388"	"55"	"15"	"3"	"20"	"13"	"20"	"653"	"-"	"653"	"-"
"33"	"21"	"23"	"33"	"259"	"21"	"10"	"8"	"9"	"7"	"13"	"383"	"-"	"383"	"-"
"34"	"22"	"46"	"14"	"144"	"135"	"11"	"13"	"12"	"14"	"21"	"410"	"-"	"410"	"-"
"35"	"23"	"12"	"30"	"476"	"85"	"6"	"1"	"6"	"10"	"7"	"633"	"-"	"633"	"-"
"36"	"24"	"59"	"32"	"255"	"70"	"9"	"6"	"66"	"6"	"9"	"512"	"-"	"512"	"-"
"37"	"25"	"77"	"30"	"307"	"115"	"5"	"4"	"16"	"11"	"22"	"587"	"-"	"587"	"-"
"38"	"26"	"95"	"7"	"83"	"153"	"8"	"4"	"59"	"5"	"10"	"424"	"-"	"424"	"-"
"39"	"27"	"61"	"25"	"163"	"87"	"12"	"11"	"70"	"6"	"17"	"452"	"-"	"452"	"-"
"40"	"27A"	"94"	"8"	"214"	"59"	"3"	"5"	"81"	"5"	"16"	"485"	"-"	"485"	"-"
"41"	"28"	"155"	"11"	"102"	"62"	"4"	"6"	"81"	"7"	"12"	"440"	"-"	"440"	"-"
"42"	"29"	"131"	"58"	"204"	"113"	"20"	"9"	"87"	"11"	"12"	"645"	"-"	"645"	"-"
"43"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"44"	""	"Amzad Hussain Anwar"	"Mahendra Singh Yadav"	"Dr. Ram Chandra Purvey"	"Ram Naresh Prasad Yadav"	"Moimuddin Ansari"	"Jagdish Mahto"	"Ram Jeewan Prasad"	"Vidhan Chand Rai"	"Sarfuddin Ahmad"	""	""	""	""
"45"	"30"	"68"	"80"	"100"	"310"	"26"	"7"	"131"	"8"	"31"	"761"	"-"	"761"	"-"
"46"	"31"	"48"	"7"	"192"	"158"	"13"	"2"	"13"	"1"	"4"	"438"	"-"	"438"	"-"
"47"	"31A"	"70"	"14"	"88"	"176"	"8"	"7"	"14"	"6"	"17"	"400"	"-"	"400"	"-"
"48"	"32"	"144"	"21"	"129"	"86"	"11"	"4"	"47"	"7"	"7"	"456"	"-"	"456"	"-"
"49"	"32A"	"76"	"19"	"203"	"53"	"4"	"7"	"27"	"2"	"12"	"403"	"-"	"403"	"-"
"50"	"33"	"13"	"29"	"120"	"92"	"5"	"3"	"11"	"1"	"3"	"277"	"-"	"277"	"-"
"51"	"34"	"117"	"5"	"181"	"139"	"5"	"3"	"22"	"8"	"7"	"487"	"-"	"487"	"-"
"52"	"35"	"150"	"19"	"159"	"81"	"8"	"7"	"5"	"4"	"25"	"458"	"-"	"458"	"-"
"53"	"35A"	"43"	"74"	"189"	"65"	"25"	"1"	"4"	"14"	"10"	"425"	"-"	"425"	"-"
