"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                                                                           169-Surjagarha"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No"	"DURGA  ROY"	"PRAHALAD YADAV"	"PREM RAJAN PATEL"	"SATISH KUMAR"	"ABADH KISHOR PRASAD"	"PRAMOD KUMAR"	"MANOJ KUMAR SINGH"	"SUNIL KUMAR"	"NO OF REJECTED VOTES"	"TOTAL VALID VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"6"	"1"	"4"	"161"	"22"	"5"	"1"	"1"	"2"	"8"	""	"204"	"204"	"0"
"7"	"2"	"7"	"69"	"297"	"38"	"4"	"4"	"3"	"3"	""	"425"	"425"	"0"
"8"	"3"	"14"	"63"	"265"	"24"	"6"	"5"	"4"	"5"	""	"386"	"386"	"0"
"9"	"4"	"1"	"127"	"136"	"6"	"1"	"2"	"0"	"0"	""	"273"	"273"	"0"
"10"	"5"	"1"	"23"	"236"	"68"	"5"	"1"	"7"	"2"	""	"343"	"343"	"0"
"11"	"6"	"0"	"15"	"430"	"73"	"8"	"3"	"6"	"7"	""	"542"	"542"	"0"
"12"	"7"	"30"	"281"	"47"	"10"	"6"	"8"	"22"	"16"	""	"420"	"420"	"0"
"13"	"8"	"10"	"109"	"244"	"12"	"3"	"3"	"1"	"2"	""	"384"	"384"	"0"
"14"	"8A"	"5"	"69"	"141"	"6"	"1"	"7"	"2"	"2"	""	"233"	"233"	"0"
"15"	"9"	"7"	"12"	"568"	"18"	"2"	"11"	"8"	"21"	""	"647"	"647"	"0"
"16"	"10"	"0"	"21"	"274"	"10"	"0"	"1"	"3"	"4"	""	"313"	"313"	"0"
"17"	"11"	"7"	"5"	"523"	"42"	"9"	"7"	"4"	"11"	""	"608"	"608"	"0"
"18"	"12"	"3"	"35"	"498"	"11"	"4"	"5"	"2"	"11"	""	"569"	"569"	"0"
"19"	"13"	"8"	"6"	"549"	"17"	"7"	"7"	"2"	"6"	""	"602"	"602"	"0"
"20"	"14"	"6"	"22"	"319"	"18"	"5"	"9"	"3"	"9"	"0"	"391"	"391"	"0"
"21"	"15"	"3"	"44"	"143"	"7"	"3"	"3"	"3"	"3"	"0"	"209"	"209"	"0"
"22"	"16"	"4"	"24"	"383"	"60"	"10"	"4"	"8"	"4"	"0"	"497"	"497"	"0"
"23"	"17"	"12"	"36"	"151"	"88"	"7"	"11"	"7"	"8"	"0"	"320"	"320"	"0"
"24"	"17A"	"1"	"3"	"132"	"57"	"0"	"4"	"1"	"7"	"0"	"205"	"205"	"0"
"25"	"18"	"3"	"69"	"3"	"41"	"3"	"1"	"2"	"0"	"0"	"122"	"122"	"0"
"26"	"19"	"12"	"82"	"154"	"76"	"1"	"7"	"6"	"2"	"0"	"340"	"340"	"0"
"27"	"19A"	"4"	"26"	"87"	"120"	"4"	"2"	"4"	"5"	"0"	"252"	"252"	"0"
"28"	"20"	"17"	"401"	"69"	"19"	"1"	"5"	"9"	"12"	"0"	"533"	"533"	"0"
"29"	"21"	"18"	"214"	"28"	"16"	"2"	"3"	"12"	"7"	"0"	"300"	"300"	"0"
"30"	"21A"	"20"	"134"	"48"	"28"	"3"	"5"	"10"	"15"	"0"	"263"	"263"	"0"
"31"	"22"	"9"	"447"	"119"	"18"	"3"	"3"	"7"	"6"	"0"	"612"	"612"	"0"
"32"	"23"	"18"	"193"	"38"	"38"	"6"	"9"	"8"	"9"	"0"	"319"	"319"	"0"
"33"	"23A"	"9"	"241"	"14"	"35"	"5"	"0"	"8"	"5"	"0"	"317"	"317"	"0"
"34"	"24"	"8"	"184"	"36"	"13"	"3"	"6"	"10"	"7"	""	"267"	"267"	"0"
"35"	"25"	"23"	"267"	"88"	"25"	"9"	"14"	"21"	"39"	""	"486"	"486"	"0"
"36"	"26"	"6"	"29"	"287"	"13"	"2"	"4"	"4"	"5"	""	"350"	"350"	"0"
"37"	"26A"	"2"	"42"	"365"	"13"	"1"	"0"	"1"	"3"	""	"427"	"427"	"0"
"38"	"27"	"7"	"66"	"324"	"12"	"0"	"3"	"6"	"5"	""	"423"	"423"	"0"
"39"	"28"	"9"	"150"	"31"	"35"	"2"	"5"	"11"	"15"	""	"258"	"258"	"0"
"40"	"28A"	"14"	"263"	"12"	"19"	"5"	"2"	"15"	"12"	""	"342"	"342"	"0"
"41"	"29"	"9"	"44"	"342"	"25"	"7"	"8"	"2"	"5"	""	"442"	"442"	"0"
"42"	"30"	"9"	"222"	"181"	"97"	"10"	"16"	"8"	"9"	""	"552"	"552"	"0"
"43"	"31"	"21"	"187"	"214"	"75"	"7"	"5"	"10"	"5"	""	"524"	"524"	"0"
"44"	"32"	"6"	"195"	"10"	"355"	"9"	"2"	"9"	"1"	""	"587"	"587"	"0"
"45"	"33"	"6"	"73"	"142"	"90"	"10"	"3"	"14"	"5"	""	"343"	"343"	"0"
"46"	"33A"	"4"	"83"	"73"	"82"	"9"	"2"	"5"	"5"	""	"263"	"263"	"0"
"47"	"34"	"7"	"63"	"519"	"59"	"6"	"12"	"4"	"6"	""	"676"	"676"	"0"
"48"	"35"	"5"	"122"	"355"	"80"	"5"	"3"	"5"	"9"	""	"584"	"584"	"0"
"49"	"36"	"12"	"351"	"44"	"100"	"11"	"14"	"25"	"17"	""	"574"	"574"	"0"
"50"	"37"	"5"	"25"	"70"	"193"	"7"	"5"	"16"	"4"	""	"325"	"325"	"0"
"51"	"38"	"5"	"40"	"73"	"161"	"11"	"3"	"13"	"2"	""	"308"	"308"	"0"
"52"	"39"	"19"	"87"	"152"	"49"	"3"	"7"	"13"	"12"	""	"342"	"342"	"0"
"53"	"40"	"17"	"126"	"219"	"153"	"5"	"8"	"6"	"7"	""	"541"	"541"	"0"
"54"	"41"	"2"	"111"	"208"	"79"	"2"	"3"	"7"	"3"	""	"415"	"415"	"0"
"55"	"42"	"4"	"60"	"260"	"53"	"2"	"10"	"4"	"9"	""	"402"	"402"	"0"
