"ernku.dsUnz.dh.ÿe.la."	"vH.fFkZ.ksa.ds.uke..oa.muds.i.k.esa.fn.s.x.s.fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"dqy.fof.k..ekU..er"	"izfr.ksfir.erkas.dh.la..k"	"X.ksx"	"fufonr.erkas.dh.la..k"
"1"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"3"	"1"	"309"	"16"	"3"	"27"	"14"	"2"	"371"	"0"	"371"	"0"
"4"	"2"	"135"	"70"	"41"	"65"	"30"	"14"	"355"	"0"	"355"	"0"
"5"	"3"	"165"	"32"	"58"	"22"	"8"	"13"	"298"	"0"	"298"	"0"
"6"	"4"	"225"	"32"	"75"	"76"	"20"	"15"	"443"	"0"	"443"	"0"
"7"	"5"	"244"	"53"	"98"	"43"	"16"	"20"	"474"	"0"	"474"	"0"
"8"	"5d"	"83"	"11"	"7"	"4"	"3"	"5"	"113"	"0"	"113"	"0"
"9"	"6"	"135"	"37"	"7"	"21"	"116"	"13"	"329"	"0"	"329"	"0"
"10"	"7"	"144"	"48"	"18"	"244"	"8"	"11"	"473"	"0"	"473"	"0"
"11"	"8"	"267"	"32"	"8"	"82"	"15"	"8"	"412"	"0"	"412"	"0"
"12"	"9"	"44"	"12"	"52"	"229"	"5"	"3"	"345"	"0"	"345"	"0"
"13"	"10"	"79"	"52"	"21"	"39"	"8"	"4"	"203"	"0"	"203"	"0"
"14"	"11"	"198"	"27"	"5"	"38"	"7"	"23"	"298"	"0"	"298"	"0"
"15"	"12"	"146"	"42"	"50"	"27"	"9"	"13"	"287"	"0"	"287"	"0"
"16"	"13"	"248"	"18"	"46"	"9"	"6"	"17"	"344"	"0"	"344"	"0"
"17"	";ksx"	"2422"	"482"	"489"	"926"	"265"	"161"	"4745"	"0"	"4745"	"0"
"18"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"19"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"20"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"21"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"22"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"24"	"14"	"189"	"32"	"13"	"18"	"17"	"6"	"275"	"0"	"275"	"0"
"25"	"15"	"152"	"163"	"19"	"14"	"8"	"36"	"392"	"0"	"392"	"0"
"26"	"16"	"124"	"98"	"9"	"4"	"12"	"8"	"255"	"0"	"255"	"0"
"27"	"17"	"285"	"20"	"3"	"6"	"1"	"2"	"317"	"0"	"317"	"0"
"28"	"18"	"106"	"95"	"9"	"90"	"7"	"13"	"320"	"0"	"320"	"0"
"29"	"18d"	"170"	"33"	"3"	"39"	"5"	"0"	"250"	"0"	"250"	"0"
"30"	"19"	"38"	"84"	"21"	"16"	"10"	"8"	"177"	"0"	"177"	"0"
"31"	"20"	"201"	"109"	"11"	"40"	"11"	"15"	"387"	"0"	"387"	"0"
"32"	"21"	"134"	"88"	"17"	"65"	"5"	"12"	"321"	"0"	"321"	"0"
"33"	"22"	"163"	"42"	"4"	"1"	"5"	"9"	"224"	"0"	"224"	"0"
"34"	"22d"	"230"	"26"	"1"	"17"	"0"	"11"	"285"	"0"	"285"	"0"
"35"	"23"	"95"	"187"	"16"	"43"	"4"	"11"	"356"	"0"	"356"	"0"
"36"	"23d"	"126"	"110"	"1"	"14"	"1"	"2"	"254"	"0"	"254"	"0"
"37"	"24"	"214"	"74"	"8"	"44"	"8"	"22"	"370"	"0"	"370"	"0"
"38"	";ksx"	"2227"	"1161"	"135"	"411"	"94"	"155"	"4183"	"0"	"4183"	"0"
"39"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"40"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"41"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"42"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"43"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"45"	"25"	"327"	"33"	"4"	"11"	"2"	"10"	"387"	"0"	"387"	"0"
"46"	"26"	"409"	"19"	"12"	"7"	"3"	"3"	"453"	"0"	"453"	"0"
"47"	"27"	"294"	"123"	"26"	"22"	"18"	"29"	"512"	"0"	"512"	"0"
"48"	"27d"	"50"	"27"	"2"	"1"	"2"	"3"	"85"	"0"	"85"	"0"
"49"	"28"	"287"	"100"	"18"	"25"	"8"	"23"	"461"	"0"	"461"	"0"
"50"	"29"	"259"	"61"	"26"	"18"	"4"	"16"	"384"	"0"	"384"	"0"
"51"	"30"	"148"	"93"	"112"	"10"	"4"	"6"	"373"	"0"	"373"	"0"
"52"	"30d"	"52"	"43"	"11"	"1"	"1"	"3"	"111"	"0"	"111"	"0"
"53"	"31"	"445"	"47"	"8"	"4"	"4"	"11"	"519"	"0"	"519"	"0"
"54"	"32"	"309"	"145"	"24"	"27"	"8"	"7"	"520"	"0"	"520"	"0"
