"No..and.Name.of.Assembly.Constituency...........52..Vaishali"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No.  :-    1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"4"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"5"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"6"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"7"	"1"	"379"	"54"	"15"	"179"	"88"	"13"	"8"	"11"	"11"	"379"	"0"	"379"	"0"
"8"	"2"	"288"	"39"	"11"	"120"	"69"	"5"	"11"	"17"	"16"	"288"	"0"	"288"	"0"
"9"	"3"	"243"	"4"	"2"	"190"	"38"	"4"	"1"	"0"	"4"	"243"	"0"	"243"	"0"
"10"	"4"	"542"	"42"	"10"	"80"	"289"	"31"	"11"	"30"	"49"	"542"	"0"	"542"	"0"
"11"	"5"	"340"	"22"	"14"	"194"	"65"	"17"	"4"	"9"	"15"	"340"	"0"	"340"	"0"
"12"	"6"	"263"	"45"	"8"	"83"	"92"	"0"	"3"	"17"	"15"	"263"	"0"	"263"	"0"
"13"	"7"	"350"	"23"	"9"	"88"	"133"	"26"	"14"	"30"	"27"	"350"	"0"	"350"	"0"
"14"	"8"	"485"	"59"	"14"	"112"	"223"	"27"	"7"	"24"	"19"	"485"	"0"	"485"	"0"
"15"	"9"	"520"	"69"	"23"	"162"	"155"	"14"	"12"	"52"	"33"	"520"	"0"	"520"	"0"
"16"	"10"	"522"	"51"	"36"	"143"	"207"	"34"	"14"	"22"	"15"	"522"	"0"	"522"	"0"
"17"	"11"	"366"	"59"	"21"	"80"	"144"	"14"	"10"	"14"	"24"	"366"	"0"	"366"	"0"
"18"	"12"	"305"	"13"	"12"	"136"	"115"	"5"	"6"	"10"	"8"	"305"	"0"	"305"	"0"
"19"	"13"	"429"	"102"	"32"	"146"	"94"	"20"	"9"	"11"	"15"	"429"	"0"	"429"	"0"
"20"	"14"	"305"	"25"	"10"	"175"	"65"	"5"	"4"	"9"	"12"	"305"	"0"	"305"	"0"
"21"	"Grand Total"	"5337"	"607"	"217"	"1888"	"1777"	"215"	"114"	"256"	"263"	"5337"	"0"	"5337"	"0"
"22"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"23"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"24"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Round No.  :-    2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"29"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"30"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"31"	"15"	"298"	"24"	"7"	"176"	"39"	"5"	"7"	"17"	"23"	"298"	"0"	"298"	"0"
"32"	"15K"	"349"	"18"	"6"	"138"	"137"	"7"	"4"	"16"	"23"	"349"	"0"	"349"	"0"
"33"	"16"	"271"	"58"	"17"	"65"	"88"	"8"	"3"	"10"	"22"	"271"	"0"	"271"	"0"
"34"	"17"	"401"	"160"	"22"	"76"	"83"	"9"	"5"	"12"	"34"	"401"	"0"	"401"	"0"
"35"	"18"	"304"	"77"	"5"	"135"	"53"	"6"	"5"	"11"	"12"	"304"	"0"	"304"	"0"
"36"	"19"	"279"	"50"	"0"	"35"	"174"	"3"	"3"	"7"	"7"	"279"	"0"	"279"	"0"
"37"	"20"	"429"	"26"	"64"	"213"	"65"	"10"	"12"	"19"	"20"	"429"	"0"	"429"	"0"
"38"	"21"	"405"	"45"	"4"	"179"	"122"	"7"	"9"	"13"	"26"	"405"	"0"	"405"	"0"
"39"	"22"	"373"	"63"	"19"	"136"	"82"	"8"	"10"	"27"	"28"	"373"	"0"	"373"	"0"
"40"	"23"	"330"	"52"	"37"	"101"	"91"	"7"	"7"	"9"	"26"	"330"	"0"	"330"	"0"
"41"	"24"	"500"	"90"	"36"	"199"	"126"	"4"	"9"	"13"	"23"	"500"	"0"	"500"	"0"
"42"	"25"	"354"	"24"	"15"	"163"	"108"	"4"	"7"	"12"	"21"	"354"	"0"	"354"	"0"
"43"	"26"	"327"	"15"	"8"	"130"	"126"	"9"	"10"	"22"	"7"	"327"	"0"	"327"	"0"
"44"	"26K"	"284"	"12"	"8"	"103"	"130"	"2"	"2"	"21"	"6"	"284"	"0"	"284"	"0"
"45"	"Grand Total"	"4904"	"714"	"248"	"1849"	"1424"	"89"	"93"	"209"	"278"	"4904"	"0"	"4904"	"0"
"46"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"47"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"48"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Round No.  :-    3"	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"52"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"53"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"54"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"55"	"27"	"400"	"44"	"16"	"197"	"124"	"6"	"1"	"6"	"6"	"400"	"0"	"400"	"0"
"56"	"28"	"336"	"30"	"12"	"225"	"49"	"4"	"4"	"4"	"8"	"336"	"0"	"336"	"0"
"57"	"29"	"405"	"87"	"6"	"148"	"108"	"5"	"7"	"15"	"29"	"405"	"0"	"405"	"0"
"58"	"30"	"289"	"9"	"8"	"135"	"100"	"7"	"7"	"16"	"7"	"289"	"0"	"289"	"0"
"59"	"31"	"443"	"26"	"11"	"178"	"166"	"14"	"11"	"22"	"15"	"443"	"0"	"443"	"0"
"60"	"32"	"535"	"167"	"27"	"134"	"107"	"11"	"15"	"18"	"56"	"535"	"0"	"535"	"0"
"61"	"33"	"582"	"132"	"26"	"256"	"88"	"10"	"14"	"14"	"42"	"582"	"0"	"582"	"0"
"62"	"34"	"498"	"83"	"9"	"201"	"163"	"12"	"10"	"11"	"9"	"498"	"0"	"498"	"0"
"63"	"35"	"458"	"89"	"11"	"202"	"92"	"9"	"9"	"9"	"37"	"458"	"0"	"458"	"0"
"64"	"36"	"473"	"49"	"2"	"200"	"162"	"22"	"6"	"16"	"16"	"473"	"0"	"473"	"0"
"65"	"37"	"443"	"45"	"5"	"73"	"258"	"14"	"11"	"19"	"18"	"443"	"0"	"443"	"0"
"66"	"38"	"470"	"85"	"8"	"131"	"196"	"6"	"4"	"17"	"23"	"470"	"0"	"470"	"0"
"67"	"39"	"434"	"62"	"37"	"130"	"142"	"7"	"11"	"23"	"22"	"434"	"0"	"434"	"0"
"68"	"40"	"404"	"67"	"12"	"235"	"57"	"9"	"1"	"7"	"16"	"404"	"0"	"404"	"0"
"69"	"Grand Total"	"6170"	"975"	"190"	"2445"	"1812"	"136"	"111"	"197"	"304"	"6170"	"0"	"6170"	"0"
"70"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"71"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"72"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Round No.  :-    4"	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"76"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"77"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"78"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
