"X138...KASBA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"POLLING STATIONWISE / CANDIDATEWISE VOTES POLLED"	""	""	""	""	""	""	""	""	""	""	""
"2"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"3"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"4"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"6"	"1"	"31"	"15"	"248"	"146"	"14"	"12"	"14"	"18"	"17"	"25"	"540"
"7"	"2"	"71"	"2"	"189"	"86"	"8"	"8"	"26"	"13"	"20"	"43"	"466"
"8"	"3"	"26"	"5"	"343"	"138"	"1"	"4"	"8"	"16"	"13"	"19"	"573"
"9"	"4"	"19"	"12"	"319"	"56"	"3"	"7"	"10"	"21"	"14"	"36"	"497"
"10"	"5"	"26"	"15"	"368"	"56"	"6"	"16"	"19"	"28"	"15"	"54"	"603"
"11"	"6"	"153"	"3"	"107"	"54"	"3"	"6"	"6"	"5"	"3"	"9"	"349"
"12"	"6A"	"67"	"4"	"205"	"34"	"6"	"4"	"7"	"5"	"8"	"15"	"355"
"13"	"7"	"207"	"11"	"105"	"50"	"4"	"6"	"5"	"4"	"2"	"3"	"397"
"14"	"8"	"95"	"7"	"82"	"130"	"14"	"9"	"13"	"4"	"2"	"3"	"359"
"15"	"8A"	"8"	"2"	"169"	"103"	"6"	"1"	"5"	"2"	"4"	"8"	"308"
"16"	"9"	"30"	"9"	"413"	"144"	"5"	"4"	"11"	"8"	"6"	"12"	"642"
"17"	"10"	"223"	"7"	"219"	"57"	"8"	"9"	"12"	"5"	"7"	"20"	"567"
"18"	"11"	"61"	"9"	"404"	"61"	"6"	"9"	"9"	"20"	"11"	"23"	"613"
"19"	"12"	"289"	"10"	"63"	"55"	"5"	"8"	"9"	"4"	"4"	"7"	"454"
"20"	"13"	"539"	"16"	"50"	"20"	"3"	"2"	"3"	"1"	"1"	"3"	"638"
"21"	"14"	"208"	"6"	"145"	"95"	"5"	"7"	"5"	"3"	"2"	"6"	"482"
"22"	"15"	"132"	"8"	"254"	"109"	"4"	"4"	"9"	"7"	"3"	"13"	"543"
"23"	"16"	"155"	"7"	"224"	"46"	"4"	"6"	"2"	"4"	"1"	"3"	"452"
"24"	"17"	"308"	"7"	"88"	"79"	"3"	"4"	"10"	"8"	"2"	"12"	"521"
"25"	"18"	"160"	"6"	"105"	"147"	"10"	"10"	"15"	"4"	"3"	"11"	"471"
"26"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"27"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"28"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"29"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"30"	"18A"	"174"	"4"	"35"	"80"	"5"	"2"	"6"	"7"	"2"	"7"	"322"
"31"	"19"	"22"	"4"	"78"	"252"	"6"	"6"	"8"	"3"	"3"	"8"	"390"
"32"	"20"	"63"	"8"	"195"	"328"	"15"	"23"	"36"	"12"	"9"	"16"	"705"
"33"	"21"	"82"	"9"	"139"	"259"	"10"	"17"	"25"	"19"	"8"	"27"	"595"
"34"	"22"	"176"	"11"	"78"	"93"	"4"	"1"	"1"	"2"	"2"	"3"	"371"
"35"	"22A"	"38"	"1"	"270"	"73"	"6"	"3"	"5"	"6"	"3"	"8"	"413"
"36"	"23"	"3"	"3"	"8"	"326"	"7"	"2"	"12"	"4"	"5"	"7"	"377"
"37"	"24"	"27"	"12"	"55"	"468"	"14"	"7"	"32"	"9"	"8"	"17"	"649"
"38"	"25"	"13"	"3"	"68"	"590"	"16"	"9"	"18"	"3"	"5"	"12"	"737"
"39"	"26"	"54"	"3"	"205"	"279"	"16"	"1"	"16"	"6"	"8"	"40"	"628"
"40"	"27"	"146"	"22"	"208"	"284"	"12"	"11"	"21"	"11"	"7"	"7"	"729"
"41"	"28"	"152"	"10"	"373"	"121"	"9"	"7"	"4"	"7"	"8"	"34"	"725"
