"Sl..No..of.Polling.Station"	"No..of.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.No..of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"2"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"3"	"1"	"45"	"13"	"50"	"181"	"10"	"16"	"12"	"327"	"0"	"327"	"0"
"4"	"2"	"173"	"35"	"56"	"139"	"9"	"8"	"23"	"443"	"0"	"443"	"0"
"5"	"3"	"78"	"5"	"102"	"112"	"12"	"7"	"28"	"344"	"0"	"344"	"0"
"6"	"4"	"15"	"11"	"275"	"197"	"12"	"7"	"10"	"527"	"0"	"527"	"0"
"7"	"5"	"29"	"11"	"197"	"197"	"14"	"15"	"5"	"468"	"0"	"468"	"0"
"8"	"6"	"13"	"4"	"141"	"127"	"5"	"8"	"7"	"305"	"0"	"305"	"0"
"9"	"7"	"47"	"22"	"131"	"237"	"7"	"13"	"18"	"475"	"0"	"475"	"0"
"10"	"8"	"108"	"28"	"105"	"291"	"20"	"7"	"12"	"571"	"0"	"571"	"0"
"11"	"9"	"162"	"12"	"176"	"209"	"12"	"28"	"28"	"627"	"0"	"627"	"0"
"12"	"10"	"100"	"5"	"309"	"134"	"4"	"6"	"5"	"563"	"0"	"563"	"0"
"13"	"11"	"51"	"0"	"248"	"119"	"3"	"9"	"5"	"435"	"0"	"435"	"0"
"14"	"12"	"34"	"3"	"76"	"64"	"3"	"5"	"6"	"191"	"0"	"191"	"0"
"15"	"13"	"49"	"1"	"96"	"77"	"6"	"15"	"7"	"251"	"0"	"251"	"0"
"16"	"14"	"57"	"32"	"139"	"89"	"10"	"11"	"17"	"355"	"0"	"355"	"0"
"17"	"Total :"	"961"	"182"	"2101"	"2173"	"127"	"155"	"183"	"5882"	"0"	"5882"	"0"
"18"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"20"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"21"	"14A"	"30"	"23"	"130"	"109"	"16"	"14"	"14"	"336"	"0"	"336"	"0"
"22"	"15"	"65"	"21"	"146"	"116"	"12"	"9"	"12"	"381"	"0"	"381"	"0"
"23"	"16"	"106"	"34"	"112"	"126"	"10"	"11"	"8"	"407"	"0"	"407"	"0"
"24"	"17"	"46"	"33"	"119"	"164"	"3"	"9"	"6"	"380"	"0"	"380"	"0"
"25"	"17A"	"67"	"7"	"59"	"61"	"2"	"2"	"4"	"202"	"0"	"202"	"0"
"26"	"18"	"12"	"27"	"106"	"192"	"8"	"5"	"16"	"366"	"0"	"366"	"0"
"27"	"19"	"81"	"16"	"65"	"270"	"59"	"13"	"18"	"522"	"0"	"522"	"0"
"28"	"20"	"35"	"49"	"101"	"132"	"11"	"4"	"18"	"350"	"0"	"350"	"0"
"29"	"21"	"20"	"51"	"72"	"113"	"8"	"3"	"6"	"273"	"0"	"273"	"0"
"30"	"22"	"25"	"18"	"186"	"43"	"1"	"3"	"3"	"279"	"0"	"279"	"0"
"31"	"23"	"12"	"3"	"64"	"91"	"9"	"6"	"4"	"189"	"0"	"189"	"0"
"32"	"24"	"17"	"13"	"129"	"177"	"16"	"11"	"19"	"382"	"0"	"382"	"0"
"33"	"25"	"10"	"13"	"69"	"239"	"9"	"5"	"3"	"348"	"0"	"348"	"0"
"34"	"26"	"19"	"65"	"67"	"162"	"14"	"8"	"7"	"342"	"0"	"342"	"0"
"35"	"Total :"	"545"	"373"	"1425"	"1995"	"178"	"103"	"138"	"4757"	"0"	"4757"	"0"
"36"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"38"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"39"	"27"	"45"	"35"	"271"	"52"	"9"	"4"	"6"	"422"	"0"	"422"	"0"
"40"	"28"	"29"	"87"	"43"	"79"	"1"	"3"	"1"	"243"	"0"	"243"	"0"
"41"	"29"	"27"	"24"	"79"	"136"	"12"	"6"	"14"	"298"	"0"	"298"	"0"
"42"	"30"	"11"	"4"	"155"	"112"	"6"	"5"	"4"	"297"	"0"	"297"	"0"
"43"	"31"	"36"	"30"	"48"	"317"	"10"	"2"	"3"	"446"	"0"	"446"	"0"
"44"	"32"	"57"	"6"	"366"	"103"	"11"	"8"	"4"	"555"	"0"	"555"	"0"
"45"	"33"	"39"	"66"	"162"	"137"	"6"	"1"	"5"	"416"	"0"	"416"	"0"
"46"	"34"	"24"	"34"	"163"	"142"	"5"	"13"	"9"	"390"	"0"	"390"	"0"
"47"	"35"	"51"	"59"	"72"	"211"	"7"	"7"	"13"	"420"	"0"	"420"	"0"
"48"	"36"	"121"	"13"	"80"	"136"	"5"	"7"	"5"	"367"	"0"	"367"	"0"
"49"	"37"	"95"	"10"	"111"	"115"	"3"	"3"	"7"	"344"	"0"	"344"	"0"
"50"	"38"	"8"	"48"	"108"	"74"	"4"	"10"	"10"	"262"	"0"	"262"	"0"
"51"	"39"	"68"	"74"	"71"	"102"	"4"	"3"	"2"	"324"	"0"	"324"	"0"
"52"	"40"	"68"	"23"	"136"	"173"	"17"	"14"	"10"	"441"	"0"	"441"	"0"
"53"	"Total :"	"679"	"513"	"1865"	"1889"	"100"	"86"	"93"	"5225"	"0"	"5225"	"0"
"54"	"Sl. No. of Polling Station"	"No. of VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"KUSUM DEVI"	"RAM
PRAWESH BHUIYAN"	"RENU DEVI"	"SURESH PASWAN"	"BINOD PASWAN"	"SHANKAR RAM"	"DHANANJAY PASWAN"	""	""	""	""
"56"	"-1"	"-2"	"-3"	"-4"	"-5"	"-6"	"-7"	"-8"	"-9"	"-10"	"-11"	"-12"
"57"	"41"	"27"	"33"	"138"	"175"	"18"	"11"	"19"	"421"	"0"	"421"	"0"
"58"	"42"	"119"	"7"	"199"	"121"	"5"	"7"	"12"	"470"	"0"	"470"	"0"
"59"	"42A"	"79"	"12"	"175"	"56"	"6"	"5"	"2"	"335"	"0"	"335"	"0"
"60"	"43"	"54"	"55"	"141"	"79"	"7"	"14"	"10"	"360"	"0"	"360"	"0"
"61"	"44"	"80"	"6"	"85"	"135"	"7"	"6"	"13"	"332"	"0"	"332"	"0"
"62"	"45"	"42"	"73"	"103"	"88"	"6"	"8"	"11"	"331"	"0"	"331"	"0"
"63"	"46"	"98"	"18"	"149"	"235"	"11"	"23"	"21"	"555"	"0"	"555"	"0"
"64"	"47"	"119"	"16"	"187"	"239"	"14"	"9"	"9"	"593"	"0"	"593"	"0"
"65"	"48"	"54"	"102"	"162"	"168"	"8"	"5"	"12"	"511"	"0"	"511"	"0"
"66"	"49"	"66"	"110"	"213"	"124"	"13"	"23"	"13"	"562"	"0"	"562"	"0"
