"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"12"	"1"	"1"	"123"	"56"	"92"	"5"	"6"	"5"	"14"	"5"	"3"	"12"	"321"	"0"	"321"	"0"
"13"	"2"	"1A"	"0"	"0"	"120"	"8"	"0"	"0"	"4"	"9"	"0"	"0"	"141"	"0"	"141"	"0"
"14"	"3"	"2"	"102"	"21"	"204"	"8"	"10"	"12"	"0"	"4"	"3"	"6"	"370"	"0"	"370"	"0"
"15"	"4"	"3"	"95"	"25"	"116"	"13"	"2"	"5"	"3"	"3"	"7"	"12"	"281"	"0"	"281"	"0"
"16"	"5"	"4"	"56"	"11"	"144"	"3"	"0"	"2"	"2"	"6"	"3"	"13"	"240"	"0"	"240"	"0"
"17"	"6"	"5"	"80"	"11"	"245"	"10"	"3"	"1"	"5"	"10"	"4"	"14"	"383"	"0"	"383"	"0"
"18"	"7"	"6"	"114"	"32"	"146"	"3"	"5"	"2"	"3"	"3"	"2"	"5"	"315"	"0"	"315"	"0"
"19"	"8"	"6A"	"170"	"9"	"40"	"1"	"1"	"1"	"1"	"1"	"5"	"11"	"240"	"0"	"240"	"0"
"20"	"9"	"7"	"67"	"9"	"299"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"377"	"0"	"377"	"0"
"21"	"10"	"8"	"41"	"10"	"278"	"10"	"2"	"1"	"0"	"4"	"1"	"7"	"354"	"0"	"354"	"0"
"22"	"11"	"9"	"108"	"47"	"256"	"18"	"6"	"4"	"9"	"8"	"12"	"19"	"487"	"0"	"487"	"0"
"23"	"12"	"10"	"182"	"36"	"227"	"13"	"6"	"5"	"4"	"8"	"7"	"11"	"499"	"0"	"499"	"0"
"24"	"13"	"11"	"53"	"28"	"199"	"7"	"4"	"1"	"3"	"2"	"4"	"6"	"307"	"0"	"307"	"0"
"25"	"14"	"12"	"200"	"39"	"220"	"14"	"8"	"6"	"9"	"6"	"3"	"13"	"518"	"0"	"518"	"0"
"26"	"Total Votes Polled"	""	"1391"	"334"	"2586"	"115"	"53"	"45"	"57"	"69"	"54"	"129"	"4833"	"0"	"4833"	"0"
"27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
