"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"11"	"1"	"1"	"8"	"1"	"147"	"11"	"7"	"95"	"6"	"1"	"6"	"282"	"0"	"282"	"0"
"12"	"2"	"2"	"26"	"2"	"29"	"5"	"4"	"357"	"4"	"2"	"2"	"431"	"0"	"431"	"0"
"13"	"3"	"3"	"14"	"2"	"41"	"3"	"3"	"88"	"8"	"1"	"12"	"172"	"0"	"172"	"0"
"14"	"4"	"4"	"140"	"0"	"39"	"1"	"3"	"27"	"0"	"3"	"4"	"217"	"0"	"217"	"0"
"15"	"5"	"4A"	"26"	"1"	"27"	"0"	"3"	"130"	"4"	"2"	"4"	"197"	"0"	"197"	"0"
"16"	"6"	"5"	"56"	"9"	"120"	"12"	"12"	"68"	"4"	"4"	"9"	"294"	"0"	"294"	"0"
"17"	"7"	"6"	"37"	"4"	"139"	"13"	"10"	"147"	"15"	"6"	"21"	"392"	"0"	"392"	"0"
"18"	"8"	"7"	"13"	"8"	"313"	"25"	"22"	"246"	"18"	"12"	"18"	"675"	"0"	"675"	"0"
"19"	"9"	"8"	"166"	"27"	"47"	"6"	"7"	"165"	"2"	"5"	"6"	"431"	"0"	"431"	"0"
"20"	"10"	"9"	"23"	"5"	"77"	"16"	"6"	"208"	"1"	"0"	"4"	"340"	"0"	"340"	"0"
"21"	"11"	"10"	"127"	"16"	"148"	"23"	"11"	"131"	"11"	"6"	"22"	"495"	"0"	"495"	"0"
"22"	"12"	"11"	"195"	"8"	"21"	"6"	"5"	"56"	"1"	"3"	"16"	"311"	"0"	"311"	"0"
"23"	"13"	"12"	"93"	"7"	"80"	"9"	"16"	"93"	"10"	"7"	"24"	"339"	"0"	"339"	"0"
"24"	"14"	"13"	"67"	"2"	"87"	"7"	"3"	"228"	"3"	"4"	"5"	"406"	"0"	"406"	"0"
"25"	"Total Votes Polled"	""	"991"	"92"	"1315"	"137"	"112"	"2039"	"87"	"56"	"153"	"4982"	"0"	"4982"	"0"
"26"	"241-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
