"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 235-Bodh Gaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	""	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"6"	""	""	""	""	""	""	"NAWAL KUMAR"	""	""	"PHOOL CHAND MANJHI"	""	"SHARMILA BHARTI"	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWAR
RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	""	"2"	""	""	""	"3"	""	""	"4"	""	"5"	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	""
"8"	"1"	""	"1"	""	""	""	"53"	""	""	"91"	""	"7"	""	""	""	"46"	""	""	""	"8"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"4"	""	""	""	"8"	""	""	""	"229"	""	""	""	"0"	""	""	""	"229"	""	""	""	""	""	""	""	""	""	""	""
"9"	"2"	""	"2"	""	""	""	"54"	""	""	"130"	""	"6"	""	""	""	"48"	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"0"	""	""	""	"4"	""	""	""	"257"	""	""	""	"0"	""	""	""	"257"	""	""	""	""	""	""	""	""	""	""	""
"10"	"3"	""	"2A"	""	""	""	"101"	""	""	"30"	""	"8"	""	""	""	"54"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"12"	""	""	""	"4"	""	""	""	"18"	""	""	""	"237"	""	""	""	"0"	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""
"11"	"4"	""	"3"	""	""	""	"121"	""	""	"31"	""	"46"	""	""	""	"207"	""	""	""	"10"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"3"	""	""	""	"8"	""	""	""	"433"	""	""	""	"0"	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"4"	""	""	""	"24"	""	""	"115"	""	"6"	""	""	""	"331"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"6"	""	""	""	"3"	""	""	""	"494"	""	""	""	"0"	""	""	""	"494"	""	""	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"5"	""	""	""	"31"	""	""	"14"	""	"9"	""	""	""	"231"	""	""	""	"12"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	""	"14"	""	""	""	"321"	""	""	""	"0"	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""	""
"14"	"7"	""	"5A"	""	""	""	"16"	""	""	"21"	""	"4"	""	""	""	"203"	""	""	""	"12"	""	""	""	""	"9"	""	""	""	"8"	""	""	""	"4"	""	""	""	"17"	""	""	""	"294"	""	""	""	"0"	""	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""
"15"	"8"	""	"6"	""	""	""	"94"	""	""	"28"	""	"7"	""	""	""	"365"	""	""	""	"11"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"10"	""	""	""	"23"	""	""	""	"551"	""	""	""	"0"	""	""	""	"551"	""	""	""	""	""	""	""	""	""	""	""
"16"	"9"	""	"7"	""	""	""	"11"	""	""	"126"	""	"5"	""	""	""	"22"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"169"	""	""	""	"0"	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""
"17"	"10"	""	"7A"	""	""	""	"70"	""	""	"101"	""	"5"	""	""	""	"65"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"4"	""	""	""	"5"	""	""	""	"259"	""	""	""	"0"	""	""	""	"259"	""	""	""	""	""	""	""	""	""	""	""
"18"	"11"	""	"8"	""	""	""	"145"	""	""	"169"	""	"34"	""	""	""	"169"	""	""	""	"10"	""	""	""	""	"17"	""	""	""	"22"	""	""	""	"7"	""	""	""	"22"	""	""	""	"595"	""	""	""	"0"	""	""	""	"595"	""	""	""	""	""	""	""	""	""	""	""
"19"	"12"	""	"9"	""	""	""	"58"	""	""	"40"	""	"11"	""	""	""	"241"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"6"	""	""	""	"5"	""	""	""	"8"	""	""	""	"384"	""	""	""	"0"	""	""	""	"384"	""	""	""	""	""	""	""	""	""	""	""
"20"	"13"	""	"9A"	""	""	""	"100"	""	""	"114"	""	"6"	""	""	""	"36"	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"11"	""	""	""	"1"	""	""	""	"1"	""	""	""	"277"	""	""	""	"0"	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""
"21"	"14"	""	"10"	""	""	""	"55"	""	""	"253"	""	"14"	""	""	""	"41"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"7"	""	""	""	"8"	""	""	""	"393"	""	""	""	"0"	""	""	""	"393"	""	""	""	""	""	""	""	""	""	""	""
"22"	"Total"	""	""	""	""	""	"933"	""	""	"1263"	""	"168"	""	""	""	"2059"	""	""	""	"91"	""	""	""	""	"78"	""	""	""	"102"	""	""	""	"57"	""	""	""	"142"	""	""	""	"4893"	""	""	""	"0"	""	""	""	"4893"	""	""	""	""	""	""	""	""	""	""	""
"23"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Date     22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Election to the Bihar Legislative Assembly from the 235-Bodh Gaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Round No. ……            2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Table No"	"Sl. No. of Polling Station"	""	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"32"	""	""	""	""	""	""	"NAWAL KUMAR"	""	""	"PHOOL CHAND MANJHI"	""	""	""	"SHARMILA BHARTI"	""	""	""	"HARI MANJHI"	""	""	""	""	"MANOJ KUMAR"	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWA R RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"1"	"2"	""	""	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""
"34"	"1"	"11"	""	""	""	""	"64"	""	""	"80"	""	""	""	"34"	""	""	""	"304"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	"8"	""	""	""	"5"	""	""	""	"3"	""	""	""	"514"	""	""	""	"0"	""	""	""	""	"514"	""	""	""	""	""	""	""	""
"35"	"2"	"12"	""	""	""	""	"74"	""	""	"98"	""	""	""	"9"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"4"	""	""	""	"5"	""	""	""	"7"	""	""	""	"208"	""	""	""	"0"	""	""	""	""	"208"	""	""	""	""	""	""	""	""
"36"	"3"	"12A"	""	""	""	""	"44"	""	""	"82"	""	""	""	"9"	""	""	""	"42"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"12"	""	""	""	"4"	""	""	""	"25"	""	""	""	"227"	""	""	""	"0"	""	""	""	""	"227"	""	""	""	""	""	""	""	""
"37"	"4"	"13"	""	""	""	""	"155"	""	""	"54"	""	""	""	"7"	""	""	""	"101"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"6"	""	""	""	"6"	""	""	""	"20"	""	""	""	"356"	""	""	""	"0"	""	""	""	""	"356"	""	""	""	""	""	""	""	""
"38"	"5"	"14"	""	""	""	""	"96"	""	""	"68"	""	""	""	"34"	""	""	""	"183"	""	""	""	""	"11"	""	""	""	"10"	""	""	""	"10"	""	""	""	"5"	""	""	""	"11"	""	""	""	"428"	""	""	""	"0"	""	""	""	""	"428"	""	""	""	""	""	""	""	""
"39"	"6"	"15"	""	""	""	""	"13"	""	""	"215"	""	""	""	"3"	""	""	""	"44"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"280"	""	""	""	"0"	""	""	""	""	"280"	""	""	""	""	""	""	""	""
"40"	"7"	"16"	""	""	""	""	"106"	""	""	"116"	""	""	""	"15"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"8"	""	""	""	"6"	""	""	""	"3"	""	""	""	"4"	""	""	""	"266"	""	""	""	"0"	""	""	""	""	"266"	""	""	""	""	""	""	""	""
"41"	"8"	"17"	""	""	""	""	"104"	""	""	"97"	""	""	""	"63"	""	""	""	"47"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	"12"	""	""	""	"1"	""	""	""	"4"	""	""	""	"340"	""	""	""	"0"	""	""	""	""	"340"	""	""	""	""	""	""	""	""
"42"	"9"	"18"	""	""	""	""	"159"	""	""	"64"	""	""	""	"7"	""	""	""	"15"	""	""	""	""	"4"	""	""	""	"9"	""	""	""	"7"	""	""	""	"5"	""	""	""	"20"	""	""	""	"290"	""	""	""	"0"	""	""	""	""	"290"	""	""	""	""	""	""	""	""
"43"	"10"	"19"	""	""	""	""	"30"	""	""	"95"	""	""	""	"6"	""	""	""	"38"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"8"	""	""	""	"3"	""	""	""	"5"	""	""	""	"191"	""	""	""	"0"	""	""	""	""	"191"	""	""	""	""	""	""	""	""
"44"	"11"	"20"	""	""	""	""	"40"	""	""	"168"	""	""	""	"8"	""	""	""	"37"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"14"	""	""	""	"5"	""	""	""	"10"	""	""	""	"290"	""	""	""	"0"	""	""	""	""	"290"	""	""	""	""	""	""	""	""
"45"	"12"	"21"	""	""	""	""	"68"	""	""	"174"	""	""	""	"23"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"10"	""	""	""	"7"	""	""	""	"14"	""	""	""	"314"	""	""	""	"0"	""	""	""	""	"314"	""	""	""	""	""	""	""	""
"46"	"13"	"22"	""	""	""	""	"63"	""	""	"215"	""	""	""	"10"	""	""	""	"28"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"7"	""	""	""	"2"	""	""	""	"8"	""	""	""	"336"	""	""	""	"0"	""	""	""	""	"336"	""	""	""	""	""	""	""	""
"47"	"14"	"23"	""	""	""	""	"149"	""	""	"120"	""	""	""	"8"	""	""	""	"28"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"9"	""	""	""	"4"	""	""	""	"18"	""	""	""	"348"	""	""	""	"0"	""	""	""	""	"348"	""	""	""	""	""	""	""	""
"48"	""	"Total"	""	""	""	""	"1165"	""	""	"1646"	""	""	""	"236"	""	""	""	"884"	""	""	""	""	"61"	""	""	""	"75"	""	""	""	"115"	""	""	""	"56"	""	""	""	"150"	""	""	""	"4388"	""	""	""	"0"	""	""	""	""	"4388"	""	""	""	""	""	""	""	""
"49"	"Place   Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Date    22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Table No"	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"53"	""	""	""	""	""	"NAWAL KUMAR"	""	""	""	"PHOOL CHAND MANJHI"	""	""	"SHARMILA BHARTI"	""	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWA R RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""
"55"	"1"	"24"	""	""	""	"170"	""	""	""	"174"	""	""	"4"	""	""	""	""	"19"	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"11"	""	""	""	"3"	""	""	""	"4"	""	""	""	"393"	""	""	""	"0"	""	""	""	""	"393"	""	""	""	""	""	""	""	""
"56"	"2"	"25"	""	""	""	"96"	""	""	""	"70"	""	""	"11"	""	""	""	""	"39"	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"1"	""	""	""	"26"	""	""	""	"256"	""	""	""	"0"	""	""	""	""	"256"	""	""	""	""	""	""	""	""
"57"	"3"	"26"	""	""	""	"25"	""	""	""	"178"	""	""	"8"	""	""	""	""	"10"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	""	"235"	""	""	""	"0"	""	""	""	""	"235"	""	""	""	""	""	""	""	""
"58"	"4"	"27"	""	""	""	"42"	""	""	""	"107"	""	""	"9"	""	""	""	""	"22"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	""	"196"	""	""	""	"0"	""	""	""	""	"196"	""	""	""	""	""	""	""	""
"59"	"5"	"28"	""	""	""	"52"	""	""	""	"163"	""	""	"15"	""	""	""	""	"111"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"13"	""	""	""	"15"	""	""	""	"30"	""	""	""	"418"	""	""	""	"0"	""	""	""	""	"418"	""	""	""	""	""	""	""	""
"60"	"6"	"29"	""	""	""	"157"	""	""	""	"37"	""	""	"3"	""	""	""	""	"22"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"9"	""	""	""	"3"	""	""	""	"6"	""	""	""	"241"	""	""	""	"0"	""	""	""	""	"241"	""	""	""	""	""	""	""	""
