"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"[ SEE RULE 56 C (2) ]"	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO BIHAR ASSEMBLY ELECTION FROM THE 175-ASTHAWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""
"3"	"[To be used for Assembly Election] Total no. of Elector in Assembly Constituency/Segment :- 1,96,339"	""	""	""	""	""	""	""	""	""
"4"	"Name of Assembly Segment :- 175- Asthawan"	""	""	""	""	""	""	""	""	""
"5"	"(in the case of election from an Assembly Constituency)"	""	""	""	""	""	""	""	""	""
"6"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"7"	""	"Jitendra Kumar"	"Dhayan Prakash alias Om Prakash"	"Jitendra Prasad"	"Dr. Kumar Pushpanjay"	"Ramanugrah Singh"	""	""	""	""
"8"	"1"	"41"	"5"	"3"	"121"	"10"	"180"	"x"	"180"	""
"9"	"2"	"129"	"11"	"17"	"108"	"21"	"286"	"x"	"286"	""
"10"	"3"	"270"	"0"	"2"	"6"	"4"	"282"	"x"	"282"	""
"11"	"4"	"238"	"3"	"6"	"1"	"3"	"251"	"x"	"251"	""
"12"	"5"	"216"	"12"	"13"	"19"	"9"	"269"	"x"	"269"	""
"13"	"6"	"234"	"3"	"4"	"50"	"12"	"303"	"x"	"303"	""
"14"	"7"	"424"	"3"	"2"	"6"	"1"	"436"	"x"	"436"	""
"15"	"8"	"177"	"2"	"3"	"79"	"3"	"264"	"x"	"264"	""
"16"	"9"	"239"	"16"	"1"	"58"	"8"	"322"	"x"	"322"	""
"17"	"10"	"186"	"7"	"3"	"66"	"7"	"269"	"x"	"269"	""
"18"	"11"	"132"	"6"	"1"	"35"	"3"	"177"	"x"	"177"	""
"19"	"12"	"22"	"2"	"1"	"94"	"2"	"121"	"x"	"121"	""
"20"	"13"	"164"	"4"	"3"	"52"	"8"	"231"	"x"	"231"	""
"21"	"14"	"113"	"3"	"2"	"32"	"1"	"151"	"x"	"151"	""
"22"	"15"	"81"	"6"	"2"	"35"	"8"	"132"	"x"	"132"	""
"23"	"16"	"262"	"16"	"15"	"125"	"21"	"439"	"x"	"439"	""
"24"	"Total"	"2928"	"99"	"78"	"887"	"121"	"4113"	"x"	"4113"	""
"25"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"26"	""	"Jitendra Kumar"	"Dhayan Prakash alias Om Prakash"	"Jitendra Prasad"	"Dr. Kumar Pushpanjay"	"Ramanugrah Singh"	""	""	""	""
"27"	"17"	"310"	"7"	"10"	"27"	"9"	"363"	"x"	"363"	""
"28"	"18"	"78"	"6"	"4"	"84"	"11"	"183"	"x"	"183"	""
"29"	"19"	"263"	"12"	"9"	"95"	"19"	"398"	"x"	"398"	""
"30"	"20"	"251"	"8"	"7"	"48"	"17"	"331"	"x"	"331"	""
"31"	"21"	"317"	"2"	"1"	"23"	"6"	"349"	"x"	"349"	""
"32"	"22"	"291"	"3"	"21"	"89"	"12"	"416"	"x"	"416"	""
"33"	"23"	"259"	"9"	"17"	"46"	"35"	"366"	"x"	"366"	""
"34"	"24"	"75"	"14"	"10"	"151"	"40"	"290"	"x"	"290"	""
"35"	"25"	"78"	"14"	"7"	"231"	"19"	"349"	"x"	"349"	""
"36"	"26"	"278"	"11"	"21"	"94"	"25"	"429"	"x"	"429"	""
"37"	"27"	"271"	"1"	"3"	"7"	"3"	"285"	"x"	"285"	""
"38"	"28"	"142"	"11"	"5"	"33"	"9"	"200"	"x"	"200"	""
"39"	"29"	"347"	"9"	"5"	"20"	"10"	"391"	"x"	"391"	""
"40"	"30"	"403"	"3"	"5"	"45"	"9"	"465"	"x"	"465"	""
"41"	"31"	"219"	"3"	"2"	"27"	"6"	"257"	"x"	"257"	""
"42"	"32"	"380"	"6"	"3"	"18"	"16"	"423"	"x"	"423"	""
"43"	"33"	"375"	"9"	"4"	"52"	"21"	"461"	"x"	"461"	""
"44"	"34"	"112"	"6"	"13"	"131"	"21"	"283"	"x"	"283"	""
"45"	"35"	"357"	"2"	"3"	"12"	"4"	"378"	"x"	"378"	""
"46"	"36"	"123"	"2"	"0"	"1"	"4"	"130"	"x"	"130"	""
"47"	"37"	"100"	"6"	"5"	"57"	"13"	"181"	"x"	"181"	""
"48"	"38"	"321"	"1"	"3"	"3"	"2"	"330"	"x"	"330"	""
"49"	"Total"	"5350"	"145"	"158"	"1294"	"311"	"7258"	"x"	"7258"	""
"50"	"Serial no. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	"Total of Valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"51"	""	"Jitendra Kumar"	"Dhayan Prakash alias Om Prakash"	"Jitendra Prasad"	"Dr. Kumar Pushpanjay"	"Ramanugrah Singh"	""	""	""	""
"52"	"38A"	"180"	"7"	"15"	"88"	"22"	"312"	"x"	"312"	""
"53"	"39"	"319"	"0"	"2"	"10"	"11"	"342"	"x"	"342"	""
"54"	"39A"	"336"	"26"	"4"	"7"	"7"	"380"	"x"	"380"	""
"55"	"40"	"366"	"2"	"8"	"44"	"7"	"427"	"x"	"427"	""
"56"	"41"	"189"	"5"	"2"	"31"	"3"	"230"	"x"	"230"	""
"57"	"42"	"267"	"3"	"2"	"12"	"5"	"289"	"x"	"289"	""
"58"	"43"	"62"	"12"	"16"	"250"	"32"	"372"	"x"	"372"	""
"59"	"44"	"345"	"1"	"9"	"10"	"8"	"373"	"x"	"373"	""
"60"	"45"	"155"	"11"	"4"	"117"	"12"	"299"	"x"	"299"	""
"61"	"46"	"171"	"4"	"4"	"122"	"12"	"313"	"x"	"313"	""
"62"	"47"	"196"	"10"	"2"	"10"	"12"	"230"	"x"	"230"	""
"63"	"48"	"489"	"10"	"8"	"16"	"8"	"531"	"x"	"531"	""
"64"	"49"	"207"	"1"	"11"	"30"	"7"	"256"	"x"	"256"	""
