"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"1"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"2"	"1"	"20"	"237"	"20"	"220"	"16"	"1"	"8"	"6"	"9"	"537"	"0"	"537"	""
"3"	"2"	"27"	"333"	"13"	"235"	"19"	"5"	"10"	"13"	"24"	"679"	""	"679"	""
"4"	"3"	"3"	"194"	"33"	"119"	"9"	"4"	"10"	"4"	"2"	"378"	""	"378"	""
"5"	"4"	"17"	"54"	"19"	"225"	"17"	"9"	"5"	"8"	"19"	"373"	""	"373"	""
"6"	"5"	"12"	"182"	"36"	"115"	"11"	"5"	"11"	"1"	"3"	"376"	""	"376"	""
"7"	"6"	"34"	"277"	"22"	"242"	"18"	"9"	"6"	"12"	"10"	"630"	""	"630"	""
"8"	"7"	"18"	"117"	"19"	"387"	"9"	"7"	"5"	"10"	"6"	"578"	""	"578"	""
"9"	"8"	"22"	"168"	"9"	"207"	"7"	"6"	"3"	"1"	"7"	"430"	""	"430"	""
"10"	"9"	"17"	"65"	"39"	"322"	"24"	"9"	"12"	"19"	"37"	"544"	""	"544"	""
"11"	"10"	"21"	"294"	"20"	"306"	"22"	"4"	"2"	"8"	"7"	"684"	""	"684"	""
"12"	"11"	"37"	"184"	"19"	"322"	"24"	"20"	"10"	"16"	"37"	"669"	""	"669"	""
"13"	"12"	"44"	"288"	"30"	"316"	"16"	"11"	"11"	"8"	"8"	"732"	""	"732"	""
"14"	"13"	"9"	"423"	"23"	"274"	"13"	"10"	"1"	"4"	"3"	"760"	""	"760"	""
"15"	"14"	"26"	"409"	"26"	"134"	"17"	"3"	"3"	"7"	"12"	"637"	""	"637"	""
"16"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"17"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"18"	"15"	"17"	"6"	"9"	"388"	"23"	"11"	"2"	"6"	"7"	"469"	""	"469"	""
"19"	"16"	"8"	"142"	"64"	"221"	"28"	"6"	"17"	"8"	"14"	"508"	""	"508"	""
"20"	"17"	"12"	"74"	"7"	"251"	"16"	"7"	"1"	"0"	"3"	"371"	""	"371"	""
"21"	"17A"	"12"	"115"	"3"	"121"	"11"	"5"	"4"	"7"	"12"	"290"	""	"290"	""
"22"	"18"	"18"	"96"	"18"	"242"	"97"	"17"	"7"	"2"	"12"	"509"	""	"509"	""
"23"	"19"	"10"	"233"	"15"	"165"	"28"	"8"	"3"	"11"	"15"	"488"	""	"488"	""
"24"	"20"	"14"	"31"	"5"	"535"	"15"	"7"	"10"	"2"	"3"	"622"	""	"622"	""
"25"	"21"	"15"	"67"	"13"	"385"	"7"	"5"	"2"	"5"	"14"	"513"	""	"513"	""
"26"	"22"	"36"	"258"	"12"	"159"	"10"	"31"	"2"	"11"	"6"	"525"	""	"525"	""
"27"	"23"	"31"	"324"	"16"	"194"	"11"	"9"	"7"	"9"	"18"	"619"	""	"619"	""
"28"	"24"	"10"	"13"	"40"	"436"	"18"	"8"	"5"	"11"	"23"	"564"	""	"564"	""
"29"	"25"	"3"	"60"	"4"	"93"	"6"	"1"	"1"	"5"	"2"	"175"	""	"175"	""
"30"	"26"	"26"	"151"	"14"	"343"	"9"	"34"	"5"	"5"	"12"	"599"	""	"599"	""
"31"	"27"	"33"	"476"	"66"	"45"	"17"	"9"	"13"	"5"	"12"	"676"	""	"676"	""
"32"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"33"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"34"	"28"	"6"	"118"	"144"	"172"	"4"	"2"	"8"	"9"	"13"	"476"	""	"476"	""
"35"	"29"	"30"	"288"	"29"	"264"	"9"	"11"	"12"	"31"	"0"	"674"	""	"674"	""
"36"	"30"	"28"	"352"	"17"	"172"	"9"	"5"	"4"	"9"	"13"	"609"	""	"609"	""
"37"	"31"	"13"	"77"	"72"	"219"	"11"	"4"	"20"	"1"	"5"	"422"	""	"422"	""
"38"	"32"	"20"	"210"	"18"	"192"	"9"	"5"	"0"	"3"	"4"	"461"	""	"461"	""
"39"	"33"	"7"	"33"	"97"	"397"	"23"	"12"	"15"	"15"	"29"	"628"	""	"628"	""
"40"	"34"	"7"	"106"	"33"	"352"	"21"	"9"	"8"	"0"	"13"	"549"	""	"549"	""
"41"	"35"	"14"	"209"	"58"	"268"	"17"	"9"	"5"	"5"	"11"	"596"	""	"596"	""
"42"	"36"	"22"	"153"	"31"	"222"	"22"	"10"	"16"	"14"	"34"	"524"	""	"524"	""
"43"	"36A"	"37"	"49"	"61"	"142"	"19"	"6"	"15"	"1"	"9"	"339"	""	"339"	""
"44"	"37"	"25"	"107"	"22"	"490"	"14"	"9"	"4"	"1"	"11"	"683"	""	"683"	""
"45"	"38"	"17"	"296"	"14"	"177"	"10"	"7"	"2"	"8"	"5"	"536"	""	"536"	""
"46"	"39"	"14"	"507"	"20"	"87"	"9"	"6"	"2"	"7"	"5"	"657"	""	"657"	""
"47"	"39A"	"9"	"142"	"6"	"154"	"2"	"0"	"1"	"3"	"3"	"320"	""	"320"	""
"48"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"49"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"50"	"40"	"38"	"393"	"31"	"93"	"14"	"8"	"4"	"7"	"12"	"600"	""	"600"	""
"51"	"41"	"8"	"115"	"47"	"105"	"6"	"3"	"2"	"4"	"8"	"298"	""	"298"	""
"52"	"42"	"31"	"292"	"44"	"259"	"21"	"7"	"7"	"8"	"15"	"684"	""	"684"	""
"53"	"43"	"28"	"300"	"19"	"338"	"21"	"11"	"7"	"10"	"12"	"746"	""	"746"	""
