"Booth.No."	"Awadh.Bihari.Singh"	"Jawahar.Hembram"	"Dr..Md..Jawaid"	"Naushad.Alam"	"Gopal.Kumar.Agarwal"	"Bhawendra.Nath.Singh"	"Md..Manjar.Alam"	"Syed.Ataur.Rahman"	"Chitranjan.Singh"	"Raj.Kumar.Gupta"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"2"	1	125	10	30	184	97	9	10	10	33	26	534	NA	534	NA
"3"	2	23	6	24	219	63	6	17	9	30	13	410	NA	410	NA
"4"	3	290	18	52	66	81	5	10	11	7	15	555	NA	555	NA
"5"	4	20	8	40	213	122	4	13	2	18	12	452	NA	452	NA
"6"	5	8	2	65	147	9	4	7	2	19	9	272	NA	272	NA
"7"	6	30	1	22	209	35	6	17	12	31	21	384	NA	384	NA
"8"	7	17	13	72	253	25	11	19	10	34	33	487	NA	487	NA
"9"	8	16	7	16	166	36	9	9	2	21	4	286	NA	286	NA
"10"	9	85	8	60	223	208	6	22	7	28	15	662	NA	662	NA
"11"	10	70	9	26	231	126	11	14	6	11	12	516	NA	516	NA
"12"	11	37	3	9	101	223	8	7	6	6	5	405	NA	405	NA
"13"	12	94	21	73	197	164	8	11	4	24	18	614	NA	614	NA
"14"	13	75	6	12	211	217	10	28	7	25	17	608	NA	608	NA
"15"	14	21	7	26	334	108	7	27	4	30	21	585	NA	585	NA
"16"	NA	911	119	527	2754	1514	104	211	92	317	221	6770	0	6770	0
"17"	15	20	5	81	299	66	13	24	7	29	11	555	NA	555	NA
"18"	16	14	2	7	206	88	4	3	4	5	11	344	NA	344	NA
"19"	17	178	5	15	149	160	5	6	6	9	6	539	NA	539	NA
"20"	18	14	4	10	197	24	4	23	8	13	25	322	NA	322	NA
"21"	19	49	5	23	251	61	3	13	4	18	25	452	NA	452	NA
"22"	20	49	8	47	231	151	6	22	3	21	6	544	NA	544	NA
"23"	21	16	5	110	342	22	6	17	14	16	26	574	NA	574	NA
"24"	22	71	7	46	211	67	2	11	2	20	11	448	NA	448	NA
"25"	23	163	13	126	225	67	4	11	6	18	16	649	NA	649	NA
"26"	24	61	26	23	208	341	25	10	8	32	23	757	NA	757	NA
"27"	25	106	16	74	75	325	9	12	7	18	7	649	NA	649	NA
"28"	26	245	20	204	100	132	14	12	8	10	5	750	NA	750	NA
"29"	27	48	8	58	359	137	9	17	4	20	9	669	NA	669	NA
"30"	28	37	7	39	301	175	9	16	8	19	11	622	NA	622	NA
"31"	NA	1071	131	863	3154	1816	113	197	89	248	192	7874	0	7874	0
"32"	NA	1982	250	1390	5908	3330	217	408	181	565	413	14644	0	14644	0
"33"	29	31	4	50	291	48	3	10	4	14	8	463	NA	463	NA
"34"	30	17	7	78	290	11	9	15	6	22	13	468	NA	468	NA
"35"	31	16	10	48	304	61	11	23	6	22	20	521	NA	521	NA
"36"	32	17	8	134	66	185	5	9	3	9	4	440	NA	440	NA
"37"	NA	8	1	68	121	77	5	13	7	12	9	321	NA	321	NA
"38"	33	22	7	50	158	211	7	16	6	14	6	497	NA	497	NA
"39"	NA	5	2	3	60	59	2	3	2	3	3	142	NA	142	NA
"40"	34	8	6	181	156	226	8	15	9	25	23	657	NA	657	NA
"41"	35	25	9	58	222	288	11	19	8	21	13	674	NA	674	NA
"42"	36	9	0	1	18	194	2	2	2	5	3	236	NA	236	NA
"43"	37	12	7	149	311	56	6	25	10	35	11	622	NA	622	NA
"44"	38	7	4	70	212	44	5	21	5	50	21	439	NA	439	NA
"45"	NA	8	2	22	161	86	4	4	1	13	2	303	NA	303	NA
"46"	39	47	4	1	14	216	3	2	3	2	6	298	NA	298	NA
"47"	NA	232	71	913	2384	1762	81	177	72	247	142	6081	0	6081	0
"48"	NA	2214	321	2303	8292	5092	298	585	253	812	555	20725	0	20725	0
"49"	40	31	7	7	298	64	7	15	9	43	9	490	NA	490	NA
"50"	41	18	5	26	321	96	13	22	13	48	32	594	NA	594	NA
"51"	42	25	16	24	279	292	14	20	13	43	12	738	NA	738	NA
"52"	43	16	13	20	417	38	6	31	19	46	27	633	NA	633	NA
"53"	44	87	12	25	398	143	16	26	15	53	27	802	NA	802	NA
"54"	45	19	5	52	277	24	8	9	7	23	11	435	NA	435	NA
"55"	46	24	23	42	306	72	6	7	6	32	9	527	NA	527	NA
"56"	NA	6	8	10	160	91	5	12	3	16	6	317	NA	317	NA
"57"	47	45	1	8	123	192	9	11	6	7	3	405	NA	405	NA
"58"	48	11	8	19	174	90	10	16	10	25	15	378	NA	378	NA
"59"	49	18	5	12	233	33	11	23	4	23	19	381	NA	381	NA
"60"	50	10	5	19	265	93	7	26	6	20	10	461	NA	461	NA
"61"	51	45	8	12	150	196	29	13	9	31	16	509	NA	509	NA
"62"	52	27	11	16	348	97	7	27	8	36	6	583	NA	583	NA
"63"	NA	382	127	292	3749	1521	148	258	128	446	202	7253	0	7253	0
"64"	NA	2596	448	2595	12041	6613	446	843	381	1258	757	27978	0	27978	0
"65"	NA	12	9	9	168	47	4	10	2	17	3	281	NA	281	NA
"66"	53	26	8	25	339	49	10	20	8	21	24	530	NA	530	NA
"67"	NA	2	4	4	226	16	44	14	5	20	16	351	NA	351	NA
"68"	54	60	14	129	259	190	28	25	18	46	19	788	NA	788	NA
"69"	55	82	7	25	258	164	12	10	7	19	23	607	NA	607	NA
"70"	NA	17	5	16	141	41	7	6	3	8	3	247	NA	247	NA
"71"	56	20	3	101	277	119	10	22	9	48	28	637	NA	637	NA
"72"	57	25	19	49	450	84	7	29	9	46	22	740	NA	740	NA
"73"	58	11	10	25	185	97	6	20	2	19	10	385	NA	385	NA
