"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.107.BACHHWARA.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"4"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"6"	"1"	"37"	"75"	"10"	"375"	"13"	"96"	"606"	"0"	"606"	"0"
"7"	"2"	"13"	"107"	"14"	"333"	"8"	"26"	"501"	"0"	"501"	"0"
"8"	"3"	"12"	"65"	"2"	"133"	"2"	"89"	"303"	"0"	"303"	"0"
"9"	"4"	"34"	"149"	"13"	"150"	"16"	"35"	"397"	"0"	"397"	"0"
"10"	"4A"	"29"	"90"	"7"	"202"	"12"	"42"	"382"	"0"	"382"	"0"
"11"	"5"	"26"	"105"	"11"	"288"	"15"	"76"	"521"	"0"	"521"	"0"
"12"	"6"	"19"	"355"	"16"	"170"	"14"	"29"	"603"	"0"	"603"	"0"
"13"	"7"	"21"	"312"	"11"	"103"	"8"	"115"	"570"	"0"	"570"	"0"
"14"	"8"	"15"	"263"	"10"	"89"	"9"	"118"	"504"	"0"	"504"	"0"
"15"	"9"	"58"	"220"	"6"	"82"	"9"	"120"	"495"	"0"	"495"	"0"
"16"	"9A"	"73"	"217"	"6"	"70"	"1"	"59"	"426"	"0"	"426"	"0"
"17"	"10"	"7"	"59"	"7"	"147"	"13"	"226"	"459"	"0"	"459"	"0"
"18"	"11"	"44"	"84"	"15"	"260"	"12"	"102"	"517"	"0"	"517"	"0"
"19"	"12"	"32"	"199"	"14"	"195"	"2"	"40"	"482"	"0"	"482"	"0"
"20"	"13"	"52"	"130"	"7"	"257"	"12"	"75"	"533"	"0"	"533"	"0"
"21"	"14"	"51"	"111"	"15"	"291"	"16"	"63"	"547"	"0"	"547"	"0"
"22"	"15"	"222"	"73"	"4"	"90"	"6"	"46"	"441"	"0"	"441"	"0"
"23"	"16"	"243"	"109"	"11"	"163"	"14"	"46"	"586"	"0"	"586"	"0"
"24"	"17"	"53"	"155"	"11"	"276"	"10"	"26"	"531"	"0"	"531"	"0"
"25"	"18"	"78"	"230"	"16"	"181"	"17"	"93"	"615"	"0"	"615"	"0"
"26"	"19"	"15"	"188"	"14"	"97"	"10"	"7"	"331"	"0"	"331"	"0"
"27"	"20"	"17"	"210"	"14"	"315"	"20"	"64"	"640"	"0"	"640"	"0"
"28"	"21"	"61"	"308"	"22"	"168"	"25"	"96"	"680"	"0"	"680"	"0"
"29"	"22"	"17"	"334"	"8"	"268"	"10"	"53"	"690"	"0"	"690"	"0"
"30"	"23"	"97"	"169"	"12"	"245"	"15"	"102"	"640"	"0"	"640"	"0"
"31"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"32"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"33"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"34"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"35"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"37"	"24"	"245"	"65"	"5"	"101"	"13"	"53"	"482"	"0"	"482"	"0"
"38"	"25"	"96"	"151"	"12"	"189"	"8"	"200"	"656"	"0"	"656"	"0"
"39"	"26"	"134"	"20"	"16"	"166"	"10"	"20"	"366"	"0"	"366"	"0"
"40"	"27"	"117"	"322"	"15"	"175"	"15"	"47"	"691"	"0"	"691"	"0"
"41"	"28"	"61"	"77"	"8"	"269"	"17"	"61"	"493"	"0"	"493"	"0"
"42"	"29"	"116"	"158"	"7"	"160"	"13"	"48"	"502"	"0"	"502"	"0"
"43"	"30"	"75"	"182"	"23"	"145"	"23"	"146"	"594"	"0"	"594"	"0"
"44"	"31"	"141"	"87"	"9"	"194"	"13"	"81"	"525"	"0"	"525"	"0"
"45"	"32"	"16"	"269"	"14"	"147"	"11"	"47"	"504"	"0"	"504"	"0"
"46"	"33"	"14"	"307"	"15"	"123"	"8"	"27"	"494"	"0"	"494"	"0"
"47"	"34"	"30"	"274"	"9"	"257"	"7"	"36"	"613"	"0"	"613"	"0"
"48"	"35"	"27"	"97"	"5"	"132"	"6"	"74"	"341"	"0"	"341"	"0"
"49"	"35A"	"10"	"170"	"7"	"142"	"2"	"27"	"358"	"0"	"358"	"0"
