"X."	"X..1"	"X011.SUGAULI"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"Booth"	""	""	""	""	"Form-"	20	""	""	""	""	""
"2"	""	""	""	"MAHESH RAM"	"RAM CHANDRA SAHNI"	"RAMASHRAY SINGH"	NA	"SUBHASH SINGH"	"MD. JAWED AZIZ"	"RAM AYODHYA SAHANI"	"SHIV JEE PASWAN"	"Total"
"3"	"No"	"Ext"	"Voters"	"1"	"2"	"3"	4	"5"	"6"	"7"	"8"	"9"
"4"	"1"	""	"802"	"13"	"180"	"209"	37	"15"	"10"	"0"	"7"	"471"
"5"	"2"	""	"953"	"23"	"56"	"229"	223	"19"	"11"	"9"	"14"	"584"
"6"	"3"	""	"1188"	"19"	"236"	"68"	109	"39"	"31"	"12"	"17"	"531"
"7"	"4"	""	"1092"	"15"	"244"	"77"	143	"18"	"49"	"2"	"4"	"552"
"8"	"5"	""	"412"	"4"	"49"	"10"	99	"75"	"3"	"9"	"11"	"260"
"9"	"6"	""	"722"	"13"	"69"	"131"	210	"43"	"15"	"6"	"10"	"497"
"10"	"7"	""	"1250"	"11"	"172"	"247"	169	"96"	"10"	"7"	"15"	"727"
"11"	"8"	""	"992"	"12"	"210"	"65"	152	"43"	"13"	"8"	"13"	"516"
"12"	"9"	""	"441"	"5"	"36"	"64"	156	"11"	"2"	"4"	"6"	"284"
"13"	"10"	""	"779"	"5"	"322"	"78"	111	"6"	"1"	"1"	"6"	"530"
"14"	"11"	""	"543"	"5"	"15"	"87"	231	"25"	"4"	"2"	"8"	"377"
"15"	"12"	""	"997"	"10"	"173"	"48"	174	"116"	"17"	"12"	"14"	"564"
"16"	"13"	""	"886"	"16"	"112"	"131"	175	"20"	"5"	"2"	"6"	"467"
"17"	"14"	""	"990"	"12"	"191"	"171"	120	"21"	"3"	"6"	"10"	"534"
"18"	"15"	""	"464"	"5"	"66"	"144"	99	"28"	"3"	"6"	"2"	"353"
"19"	"16"	""	"951"	"10"	"210"	"55"	113	"10"	"9"	"3"	"7"	"417"
"20"	"17"	""	"1207"	"10"	"70"	"50"	222	"60"	"80"	"10"	"7"	"509"
"21"	"18"	""	"1080"	"5"	"96"	"252"	184	"87"	"6"	"8"	"3"	"641"
"22"	"19"	""	"992"	"3"	"137"	"174"	107	"5"	"9"	"4"	"16"	"455"
"23"	"20"	""	"1237"	"7"	"15"	"172"	309	"11"	"39"	"9"	"7"	"569"
"24"	"21"	""	"1018"	"13"	"192"	"135"	134	"22"	"11"	"8"	"8"	"523"
"25"	"22"	""	"1085"	"18"	"61"	"329"	181	"13"	"21"	"8"	"10"	"641"
"26"	"23"	""	"792"	"5"	"40"	"117"	108	"16"	"12"	"4"	"6"	"308"
"27"	"24"	""	"822"	"6"	"30"	"52"	136	"24"	"26"	"5"	"6"	"285"
"28"	"25"	""	"1058"	"8"	"8"	"222"	142	"16"	"35"	"6"	"16"	"453"
"29"	"26"	""	"689"	"9"	"57"	"128"	62	"6"	"88"	"4"	"4"	"358"
"30"	"27"	""	"950"	"16"	"265"	"73"	194	"5"	"20"	"3"	"2"	"578"
"31"	"27"	"A"	"821"	"9"	"19"	"131"	103	"9"	"11"	"5"	"10"	"297"
"32"	"28"	""	"382"	"5"	"220"	"18"	29	"4"	"1"	"3"	"1"	"281"
"33"	"29"	""	"465"	"12"	"12"	"101"	101	"8"	"19"	"2"	"5"	"260"
"34"	"30"	""	"932"	"4"	"264"	"55"	144	"17"	"21"	"5"	"3"	"513"
"35"	"31"	""	"1264"	"24"	"249"	"200"	268	"21"	"12"	"9"	"13"	"796"
"36"	"32"	""	"730"	"9"	"211"	"146"	139	"7"	"0"	"2"	"7"	"521"
"37"	"33"	""	"1391"	"34"	"393"	"107"	185	"14"	"8"	"1"	"7"	"749"
"38"	"34"	""	"675"	"12"	"358"	"57"	17	"30"	"7"	"6"	"4"	"491"
"39"	"35"	""	"1218"	"7"	"497"	"68"	132	"13"	"5"	"6"	"4"	"732"
