"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"1"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"2"	"1"	"8"	"79"	"180"	"30"	"4"	"8"	"3"	"1"	"5"	"7"	"13"	"338"	"0"	"338"	""
"3"	"1A"	"9"	"96"	"163"	"16"	"6"	"4"	"1"	"0"	"0"	"4"	"21"	"320"	"0"	"320"	""
"4"	"2"	"6"	"65"	"240"	"33"	"5"	"4"	"1"	"1"	"5"	"1"	"8"	"369"	"0"	"369"	""
"5"	"2A"	"6"	"35"	"123"	"48"	"8"	"1"	"5"	"7"	"6"	"6"	"23"	"268"	"0"	"268"	""
"6"	"3"	"13"	"157"	"87"	"88"	"8"	"4"	"4"	"5"	"0"	"2"	"5"	"373"	"0"	"373"	""
"7"	"3A"	"14"	"12"	"141"	"77"	"2"	"2"	"8"	"5"	"6"	"13"	"30"	"310"	"0"	"310"	""
"8"	"4"	"5"	"75"	"45"	"27"	"0"	"1"	"2"	"0"	"3"	"0"	"2"	"160"	"0"	"160"	""
"9"	"5"	"3"	"248"	"42"	"9"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"306"	"0"	"306"	""
"10"	"6"	"4"	"42"	"158"	"97"	"6"	"6"	"8"	"1"	"2"	"2"	"22"	"348"	"0"	"348"	""
"11"	"6A"	"10"	"16"	"127"	"257"	"10"	"8"	"15"	"3"	"6"	"4"	"17"	"473"	"0"	"473"	""
"12"	"7"	"28"	"45"	"140"	"234"	"16"	"13"	"11"	"5"	"9"	"3"	"7"	"511"	"0"	"511"	""
"13"	"8"	"29"	"40"	"174"	"201"	"18"	"17"	"15"	"4"	"16"	"11"	"17"	"542"	"0"	"542"	""
"14"	"9"	"3"	"2"	"82"	"24"	"2"	"2"	"3"	"0"	"1"	"1"	"23"	"143"	"0"	"143"	""
"15"	"10"	"22"	"113"	"225"	"170"	"13"	"12"	"10"	"6"	"12"	"7"	"36"	"626"	"0"	"626"	""
"16"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"17"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"18"	"11"	"0"	"13"	"83"	"9"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"110"	"0"	"110"	""
"19"	"12"	"6"	"126"	"398"	"15"	"3"	"0"	"4"	"1"	"6"	"4"	"13"	"576"	"0"	"576"	""
"20"	"13"	"9"	"54"	"161"	"115"	"8"	"4"	"5"	"3"	"7"	"6"	"13"	"385"	"0"	"385"	""
"21"	"13A"	"3"	"102"	"194"	"35"	"2"	"0"	"0"	"4"	"3"	"3"	"12"	"358"	"0"	"358"	""
"22"	"14"	"9"	"56"	"104"	"131"	"58"	"4"	"6"	"8"	"3"	"2"	"14"	"395"	"0"	"395"	""
"23"	"15"	"3"	"33"	"85"	"305"	"14"	"6"	"7"	"3"	"8"	"6"	"10"	"480"	"0"	"480"	""
"24"	"16"	"5"	"91"	"27"	"226"	"4"	"5"	"6"	"1"	"8"	"4"	"8"	"385"	"0"	"385"	""
"25"	"16A"	"12"	"68"	"93"	"222"	"3"	"8"	"9"	"5"	"7"	"3"	"8"	"438"	"0"	"438"	""
"26"	"17"	"4"	"39"	"277"	"40"	"3"	"2"	"1"	"0"	"1"	"4"	"7"	"378"	"0"	"378"	""
"27"	"18"	"14"	"135"	"249"	"251"	"9"	"8"	"3"	"5"	"13"	"12"	"27"	"726"	"0"	"726"	""
"28"	"19"	"6"	"64"	"220"	"94"	"8"	"2"	"2"	"5"	"3"	"3"	"15"	"422"	"0"	"422"	""
"29"	"20"	"22"	"222"	"247"	"77"	"3"	"2"	"4"	"4"	"2"	"7"	"11"	"601"	"0"	"601"	""
"30"	"21"	"9"	"19"	"389"	"61"	"6"	"0"	"6"	"3"	"8"	"4"	"24"	"529"	"0"	"529"	""
"31"	"22"	"5"	"46"	"306"	"75"	"6"	"1"	"4"	"5"	"5"	"13"	"15"	"481"	"0"	"481"	""
"32"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"33"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"34"	"23"	"12"	"65"	"174"	"119"	"2"	"3"	"5"	"4"	"3"	"5"	"4"	"396"	"0"	"396"	""
"35"	"23A"	"6"	"190"	"53"	"136"	"3"	"3"	"4"	"4"	"5"	"28"	"12"	"444"	"0"	"444"	""
"36"	"24"	"15"	"132"	"239"	"185"	"9"	"5"	"25"	"8"	"9"	"72"	"36"	"735"	"0"	"735"	""
"37"	"25"	"14"	"81"	"231"	"121"	"3"	"4"	"5"	"4"	"8"	"2"	"2"	"475"	"0"	"475"	""
"38"	"25A"	"5"	"29"	"204"	"31"	"3"	"4"	"1"	"1"	"4"	"2"	"5"	"289"	"0"	"289"	""
"39"	"26"	"36"	"299"	"30"	"108"	"12"	"15"	"9"	"4"	"11"	"24"	"27"	"575"	"0"	"575"	""
"40"	"27"	"24"	"303"	"68"	"71"	"5"	"8"	"4"	"5"	"12"	"13"	"37"	"550"	"0"	"550"	""
"41"	"28"	"15"	"78"	"499"	"54"	"3"	"2"	"1"	"4"	"17"	"10"	"25"	"708"	"0"	"708"	""
"42"	"28A"	"4"	"11"	"121"	"4"	"0"	"0"	"2"	"1"	"1"	"0"	"3"	"147"	"0"	"147"	""
"43"	"29"	"17"	"144"	"72"	"111"	"8"	"9"	"5"	"7"	"10"	"13"	"21"	"417"	"0"	"417"	""
"44"	"29A"	"18"	"112"	"42"	"99"	"3"	"10"	"12"	"3"	"6"	"8"	"13"	"326"	"0"	"326"	""
"45"	"30"	"9"	"177"	"38"	"19"	"1"	"3"	"3"	"5"	"5"	"8"	"8"	"276"	"0"	"276"	""
"46"	"30A"	"5"	"12"	"67"	"31"	"4"	"1"	"2"	"1"	"0"	"4"	"3"	"130"	"0"	"130"	""
"47"	"31"	"5"	"222"	"29"	"5"	"2"	"2"	"4"	"4"	"4"	"3"	"9"	"289"	"0"	"289"	""
"48"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"49"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"50"	"32"	"26"	"382"	"53"	"7"	"5"	"0"	"2"	"3"	"6"	"11"	"26"	"521"	"0"	"521"	""
"51"	"33"	"27"	"348"	"33"	"15"	"8"	"1"	"5"	"8"	"3"	"18"	"21"	"487"	"0"	"487"	""
"52"	"34"	"90"	"70"	"174"	"272"	"49"	"15"	"21"	"19"	"24"	"14"	"28"	"776"	"0"	"776"	""
"53"	"35"	"32"	"148"	"296"	"93"	"12"	"9"	"19"	"30"	"14"	"18"	"44"	"715"	"0"	"715"	""
"54"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"55"	"37"	"24"	"68"	"141"	"193"	"23"	"8"	"13"	"2"	"16"	"6"	"10"	"504"	"0"	"504"	""
"56"	"38"	"11"	"77"	"356"	"84"	"12"	"4"	"5"	"11"	"16"	"13"	"19"	"608"	"0"	"608"	""
"57"	"39"	"36"	"154"	"167"	"349"	"26"	"15"	"20"	"16"	"22"	"19"	"50"	"874"	"0"	"874"	""
"58"	"40"	"0"	"45"	"283"	"83"	"5"	"5"	"4"	"15"	"3"	"3"	"12"	"458"	"0"	"458"	""
"59"	"41"	"15"	"264"	"132"	"127"	"13"	"7"	"7"	"8"	"9"	"7"	"21"	"610"	"0"	"610"	""
"60"	"42"	"19"	"277"	"46"	"111"	"5"	"8"	"4"	"2"	"7"	"3"	"9"	"491"	"0"	"491"	""
"61"	"43"	"22"	"261"	"115"	"35"	"7"	"4"	"5"	"2"	"4"	"4"	"9"	"468"	"0"	"468"	""
"62"	"44"	"10"	"57"	"245"	"50"	"6"	"2"	"6"	"3"	"6"	"5"	"13"	"403"	"0"	"403"	""
