"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 61-GAIGHATTI  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 61-GAIGHATTI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT……………………………………………………….."	""	""	""	""	""	""	""	""	""	""
"5"	"211675"	""	""	""	""	""	""	""	""	""	""
"6"	"PS NO."	"ASHOK KUMAR SINGH"	"JITENDRA YADAV"	"MAHESHWA R PASAD YADAV"	"VAKIL SAHNI"	"SHIV SHANKAR RAI"	"SONELAL RAM"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"
"7"	"1"	"217"	"11"	"265"	"66"	"9"	"9"	"577"	""	"577"	""
"8"	"2"	"170"	"10"	"212"	"20"	"14"	"18"	"444"	""	"444"	""
"9"	"3"	"46"	"7"	"89"	"14"	"7"	"4"	"167"	""	"167"	""
"10"	"4"	"221"	"13"	"306"	"91"	"10"	"11"	"652"	""	"652"	""
"11"	"5"	"84"	"4"	"116"	"91"	"9"	"14"	"318"	""	"318"	""
"12"	"6"	"61"	"13"	"234"	"116"	"10"	"16"	"450"	""	"450"	""
"13"	"7"	"87"	"16"	"145"	"114"	"13"	"23"	"398"	""	"398"	""
"14"	"8"	"41"	"14"	"268"	"183"	"13"	"37"	"556"	""	"556"	""
"15"	"9"	"145"	"18"	"169"	"43"	"11"	"19"	"405"	""	"405"	""
"16"	"10"	"137"	"7"	"117"	"12"	"2"	"7"	"282"	""	"282"	""
"17"	"11"	"153"	"9"	"111"	"107"	"19"	"22"	"421"	""	"421"	""
"18"	"12"	"201"	"15"	"173"	"56"	"5"	"13"	"463"	""	"463"	""
"19"	"13"	"195"	"9"	"59"	"13"	"0"	"5"	"281"	""	"281"	""
"20"	"14"	"327"	"12"	"231"	"36"	"7"	"28"	"641"	""	"641"	""
"21"	"15"	"234"	"19"	"278"	"164"	"14"	"25"	"734"	""	"734"	""
"22"	"16"	"231"	"10"	"78"	"101"	"6"	"12"	"438"	""	"438"	""
"23"	"17"	"241"	"8"	"111"	"36"	"8"	"23"	"427"	""	"427"	""
"24"	"18"	"180"	"11"	"122"	"21"	"8"	"20"	"362"	""	"362"	""
"25"	"18A"	"196"	"6"	"103"	"11"	"2"	"16"	"334"	""	"334"	""
"26"	"19"	"203"	"6"	"181"	"10"	"2"	"5"	"407"	""	"407"	""
"27"	"20"	"173"	"4"	"169"	"38"	"6"	"6"	"396"	""	"396"	""
"28"	"21"	"67"	"33"	"384"	"115"	"18"	"39"	"656"	""	"656"	""
"29"	"22"	"80"	"13"	"252"	"67"	"13"	"26"	"451"	""	"451"	""
"30"	"22A"	"43"	"14"	"61"	"102"	"12"	"13"	"245"	""	"245"	""
"31"	"23"	"266"	"6"	"25"	"46"	"3"	"6"	"352"	""	"352"	""
"32"	"24"	"106"	"8"	"116"	"173"	"14"	"21"	"438"	""	"438"	""
"33"	"24A"	"56"	"13"	"151"	"54"	"4"	"20"	"298"	""	"298"	""
"34"	"25"	"296"	"8"	"75"	"12"	"12"	"22"	"425"	""	"425"	""
"35"	"26"	"101"	"16"	"160"	"30"	"6"	"21"	"334"	""	"334"	""
"36"	"27"	"170"	"12"	"138"	"116"	"18"	"25"	"479"	""	"479"	""
"37"	"27A"	"52"	"14"	"38"	"78"	"10"	"18"	"210"	""	"210"	""
"38"	"28"	"249"	"10"	"152"	"75"	"7"	"20"	"513"	""	"513"	""
"39"	"28A"	"59"	"2"	"52"	"28"	"5"	"16"	"162"	""	"162"	""
"40"	"29"	"253"	"14"	"136"	"72"	"13"	"9"	"497"	""	"497"	""
"41"	"30"	"88"	"10"	"326"	"58"	"5"	"7"	"494"	""	"494"	""
"42"	"30A"	"76"	"2"	"122"	"46"	"5"	"6"	"257"	""	"257"	""
"43"	"31"	"57"	"9"	"192"	"229"	"6"	"19"	"512"	""	"512"	""
"44"	"31A"	"50"	"6"	"66"	"169"	"14"	"20"	"325"	""	"325"	""
"45"	"32"	"299"	"4"	"71"	"83"	"4"	"12"	"473"	""	"473"	""
"46"	"32A"	"45"	"6"	"121"	"112"	"12"	"12"	"308"	""	"308"	""
