"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 55-BARURAJ  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 55-BARURAJ  ASSEMBLY CONSTITUENCY                                                 201034"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT 55-BARURAJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PS.NO"	"BALDEO MAHATO"	"BRIJ KISHOR SINGH"	"SHASHI KUMAR RAY"	"SITA RAM SAHNI"	"RAM SAKAL RAY"	"AJAY KUMAR PASWAN"	"CHHABINDAR PASWAN"	"MAHENDRA MANJHI"	"MOHAMAD OMAIR"	"RAJ MANGAL RAM"	"RAMBHAROS PATEL"	"SHAMBHU RAM"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"6"	"1"	"34"	"317"	"170"	"11"	"2"	"6"	"3"	"3"	"8"	"14"	"9"	"27"	"604"	""	"604"	""	""
"7"	"2"	"20"	"154"	"276"	"11"	"5"	"1"	"2"	"3"	"5"	"9"	"7"	"16"	"509"	""	"509"	""	""
"8"	"3"	"66"	"76"	"131"	"6"	"2"	"3"	"0"	"0"	"6"	"6"	"4"	"11"	"311"	""	"311"	""	""
"9"	"4"	"12"	"113"	"151"	"5"	"7"	"3"	"1"	"2"	"1"	"4"	"2"	"4"	"305"	""	"305"	""	""
"10"	"5"	"46"	"193"	"278"	"3"	"0"	"1"	"0"	"2"	"3"	"2"	"1"	"8"	"537"	""	"537"	""	""
"11"	"6"	"72"	"163"	"150"	"3"	"18"	"7"	"4"	"3"	"5"	"3"	"11"	"26"	"465"	""	"465"	""	""
"12"	"7"	"39"	"147"	"157"	"7"	"3"	"0"	"2"	"1"	"4"	"2"	"4"	"5"	"371"	""	"371"	""	""
"13"	"8"	"42"	"94"	"122"	"5"	"20"	"5"	"4"	"4"	"2"	"5"	"2"	"11"	"316"	""	"316"	""	""
"14"	"9"	"49"	"76"	"87"	"3"	"8"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"230"	""	"230"	""	""
"15"	"10"	"29"	"184"	"113"	"11"	"5"	"4"	"2"	"1"	"4"	"4"	"4"	"16"	"377"	""	"377"	""	""
"16"	"11"	"38"	"212"	"102"	"4"	"6"	"4"	"4"	"2"	"4"	"13"	"9"	"18"	"416"	""	"416"	""	""
"17"	"12"	"42"	"308"	"148"	"7"	"11"	"2"	"0"	"2"	"2"	"11"	"6"	"13"	"552"	""	"552"	""	""
"18"	"13"	"16"	"71"	"107"	"2"	"6"	"0"	"1"	"2"	"1"	"1"	"1"	"2"	"210"	""	"210"	""	""
"19"	"14"	"81"	"223"	"221"	"5"	"4"	"2"	"0"	"0"	"0"	"7"	"6"	"12"	"561"	""	"561"	""	""
"20"	"15"	"75"	"171"	"249"	"5"	"9"	"3"	"1"	"2"	"3"	"5"	"4"	"15"	"542"	""	"542"	""	""
"21"	"16"	"49"	"119"	"23"	"1"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"199"	""	"199"	""	""
"22"	"17"	"13"	"121"	"58"	"12"	"12"	"1"	"0"	"0"	"2"	"4"	"1"	"3"	"227"	""	"227"	""	""
"23"	"18"	"292"	"237"	"78"	"1"	"11"	"1"	"1"	"3"	"3"	"6"	"7"	"12"	"652"	""	"652"	""	""
"24"	"19"	"280"	"172"	"35"	"4"	"2"	"2"	"5"	"2"	"2"	"6"	"10"	"14"	"534"	""	"534"	""	""
"25"	"20"	"8"	"46"	"135"	"7"	"19"	"2"	"1"	"1"	"1"	"8"	"3"	"15"	"246"	""	"246"	""	""
