"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.vH.fFkZ.ks.ds.Ik.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"fufonr..erkssss.dh..laa.aa..k"	"izzfzzfr.kssfssfir.eri.kssaassaa.dh..laa.aa."	"dqqyqqy..fof.kekU....oaaaa.izzfzzfr.kssfssfir.erkssss.dh..laa.aa..k"
"1"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"2"	"ROUND- I"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"8"	"6"	"303"	"18"	"22"	"134"	"8"	"6"	"505"	""	""	"505"
"4"	"2"	"7"	"3"	"213"	"12"	"3"	"57"	"6"	"4"	"305"	""	""	"305"
"5"	"3"	"7"	"2"	"320"	"14"	"7"	"135"	"11"	"11"	"507"	""	""	"507"
"6"	"4"	"6"	"0"	"436"	"15"	"16"	"73"	"3"	"6"	"555"	""	""	"555"
"7"	"5"	"11"	"12"	"327"	"57"	"12"	"149"	"5"	"4"	"577"	""	""	"577"
"8"	"6"	"16"	"4"	"252"	"12"	"18"	"236"	"7"	"6"	"551"	""	""	"551"
"9"	"7"	"3"	"11"	"437"	"14"	"7"	"36"	"9"	"7"	"524"	""	""	"524"
"10"	"8"	"10"	"7"	"126"	"19"	"19"	"312"	"6"	"11"	"510"	""	""	"510"
"11"	"9"	"18"	"11"	"241"	"34"	"28"	"281"	"10"	"10"	"633"	""	""	"633"
"12"	"10"	"8"	"2"	"52"	"8"	"22"	"204"	"6"	"9"	"311"	""	""	"311"
"13"	"10A"	"11"	"3"	"119"	"9"	"18"	"172"	"5"	"9"	"346"	""	""	"346"
"14"	"11"	"5"	"5"	"30"	"16"	"15"	"164"	"7"	"5"	"247"	""	""	"247"
"15"	"11A"	"22"	"5"	"91"	"18"	"19"	"116"	"2"	"2"	"275"	""	""	"275"
"16"	"12"	"12"	"3"	"164"	"14"	"13"	"231"	"3"	"3"	"443"	""	""	"443"
"17"	"Round Total"	"144"	"74"	"3111"	"260"	"219"	"2300"	"88"	"93"	"6289"	"0"	"0"	"6289"
