"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 168 JAMALPUR ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"168-JAMALPUR (VOTERS)                                                       GENERAL VOTERS                                     SERVICE VOTERS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	"MEN"	""	"WOMEN"	""	"TOTAL"	""	"MEN"	""	"WOMEN"	""	"TOTAL"	""	"G. TOTAL"	""	""	""	""
"7"	""	""	""	""	"115315"	""	"93422"	""	"208737"	""	"266"	""	"142"	""	"408"	""	"209145"	""	""	""	""
"8"	"Name of Assembly Segment:- 168-Jamalpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"SL NO OF POLLIN G ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"11"	""	"UPENDRA PRASAD VERMA"	""	"RAM LAKHAN MANDAL"	"SHAILESH KUMAR"	"SADHNA DEVI"	""	"UPENDRA PRASAD YADAV"	""	"SHIVDANI SINGH"	""	"NAVEEN KUMAR"	""	"MANOJ PASWAN"	""	"BINDESHWARI RAJAK"	""	""	""	""	""
"12"	"1"	"2"	""	"3"	"4"	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	"12"	"13"	"14"
"13"	"1"	"42"	""	"4"	"203"	"30"	""	"3"	""	"5"	""	"2"	""	"2"	""	"3"	""	"294"	""	"294"	"0"
"14"	"2"	"21"	""	"4"	"237"	"33"	""	"2"	""	"6"	""	"0"	""	"0"	""	"10"	""	"313"	""	"313"	"0"
"15"	"3"	"31"	""	"2"	"296"	"16"	""	"3"	""	"12"	""	"4"	""	"2"	""	"3"	""	"369"	""	"369"	"0"
"16"	"3A"	"33"	""	"0"	"252"	"3"	""	"0"	""	"5"	""	"3"	""	"0"	""	"2"	""	"298"	""	"298"	"0"
"17"	"4"	"91"	""	"1"	"273"	"65"	""	"4"	""	"7"	""	"3"	""	"3"	""	"5"	""	"452"	""	"452"	"0"
"18"	"5"	"32"	""	"4"	"228"	"17"	""	"2"	""	"0"	""	"3"	""	"1"	""	"2"	""	"289"	""	"289"	"0"
"19"	"5A"	"11"	""	"3"	"205"	"20"	""	"2"	""	"6"	""	"3"	""	"3"	""	"6"	""	"259"	""	"259"	""
"20"	"6"	"57"	""	"5"	"471"	"36"	""	"3"	""	"14"	""	"4"	""	"0"	""	"9"	""	"599"	""	"599"	"0"
"21"	"7"	"27"	""	"2"	"300"	"3"	""	"3"	""	"14"	""	"1"	""	"2"	""	"1"	""	"353"	""	"353"	"0"
"22"	"7A"	"25"	""	"2"	"288"	"3"	""	"3"	""	"6"	""	"3"	""	"2"	""	"5"	""	"337"	""	"337"	""
"23"	"8"	"73"	""	"6"	"232"	"38"	""	"4"	""	"9"	""	"2"	""	"2"	""	"3"	""	"369"	""	"369"	"0"
"24"	"9"	"36"	""	"3"	"425"	"9"	""	"2"	""	"16"	""	"2"	""	"5"	""	"11"	""	"509"	""	"509"	"0"
"25"	"10"	"45"	""	"2"	"371"	"12"	""	"3"	""	"8"	""	"2"	""	"0"	""	"6"	""	"449"	""	"449"	""
"26"	"11"	"59"	""	"4"	"327"	"66"	""	"4"	""	"9"	""	"2"	""	"1"	""	"2"	""	"474"	""	"474"	"0"
"27"	"TOTAL"	"583"	""	"42"	"4108"	"351"	""	"38"	""	"117"	""	"34"	""	"23"	""	"68"	""	"5364"	""	"5364"	"0"
"28"	"ROUND:-1                                                                                                                                                                                                                                                            SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"SL NO OF POLLIN G ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"30"	""	"UPENDRA PRASAD VERMA"	""	"RAM LAKHAN MANDAL"	"SHAILESH KUMAR"	"SADHNA DEVI"	""	"UPENDRA PRASAD YADAV"	""	"SHIVDANI SINGH"	""	"NAVEEN KUMAR"	""	"MANOJ PASWAN"	""	"BINDESHWARI RAJAK"	""	""	""	""	""
"31"	"1"	"2"	""	"3"	"4"	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	"12"	"13"	"14"
"32"	"B/F"	"583"	""	"42"	"4108"	"351"	""	"38"	""	"117"	""	"34"	""	"23"	""	"68"	""	"5364"	""	"5364"	"0"
"33"	"12"	"36"	""	"3"	"384"	"43"	""	"5"	""	"9"	""	"2"	""	"5"	""	"3"	""	"490"	""	"490"	"0"
"34"	"13"	"15"	""	"0"	"251"	"18"	""	"0"	""	"4"	""	"1"	""	"0"	""	"1"	""	"290"	""	"290"	"0"
"35"	"14"	"25"	""	"4"	"313"	"27"	""	"1"	""	"7"	""	"2"	""	"4"	""	"8"	""	"391"	""	"391"	"0"
"36"	"15"	"70"	""	"4"	"326"	"17"	""	"6"	""	"8"	""	"6"	""	"5"	""	"5"	""	"447"	""	"447"	"0"
"37"	"16"	"31"	""	"6"	"364"	"19"	""	"0"	""	"6"	""	"6"	""	"3"	""	"3"	""	"438"	""	"438"	"0"
"38"	"17"	"30"	""	"2"	"265"	"20"	""	"2"	""	"6"	""	"2"	""	"0"	""	"1"	""	"328"	""	"328"	"0"
"39"	"18"	"53"	""	"3"	"310"	"11"	""	"3"	""	"18"	""	"6"	""	"0"	""	"10"	""	"414"	""	"414"	"0"
"40"	"19"	"71"	""	"8"	"400"	"9"	""	"5"	""	"11"	""	"8"	""	"0"	""	"12"	""	"524"	""	"524"	"0"
"41"	"20"	"44"	""	"3"	"303"	"12"	""	"4"	""	"7"	""	"1"	""	"0"	""	"9"	""	"383"	""	"383"	"0"
"42"	"21"	"42"	""	"3"	"299"	"12"	""	"1"	""	"8"	""	"0"	""	"1"	""	"3"	""	"369"	""	"369"	"0"
"43"	"22"	"53"	""	"3"	"287"	"14"	""	"2"	""	"9"	""	"1"	""	"5"	""	"1"	""	"375"	""	"375"	"0"
"44"	"23"	"54"	""	"1"	"337"	"16"	""	"2"	""	"14"	""	"1"	""	"3"	""	"4"	""	"432"	""	"432"	"0"
"45"	"24"	"46"	""	"2"	"190"	"22"	""	"1"	""	"9"	""	"3"	""	"1"	""	"1"	""	"275"	""	"275"	"0"
