"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 57-KURHANI  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 57-KURHANI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT……………………………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"211675"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"PS NO"	"AJAY NISHAD"	"MANOJ KUMAR SINGH"	"SHAH ALAM SABBOO"	"MAHESH MAHTO"	"DILIP KUMAR"	"PREM KUMAR SINGH"	"MAHADEO DAS"	"LAKHINDRA PASWAN"	"SANTOSH KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"7"	"1"	"267"	"237"	"25"	"6"	"8"	"17"	"2"	"2"	"9"	"-573"	"0"	"-573"	""	""
"8"	"2"	"21"	"262"	"36"	"2"	"5"	"8"	"1"	"1"	"5"	"-341"	""	"-341"	""	""
"9"	"3"	"160"	"90"	"28"	"15"	"5"	"3"	"7"	"1"	"7"	"-316"	""	"-316"	""	""
"10"	"4"	"146"	"95"	"27"	"5"	"8"	"3"	"5"	"8"	"8"	"-305"	""	"-305"	""	""
"11"	"5"	"136"	"140"	"30"	"8"	"7"	"11"	"6"	"11"	"20"	"-369"	""	"-369"	""	""
"12"	"6"	"150"	"369"	"26"	"5"	"10"	"7"	"3"	"6"	"18"	"-594"	""	"-594"	""	""
"13"	"7"	"180"	"50"	"67"	"14"	"6"	"9"	"18"	"11"	"14"	"-369"	""	"-369"	""	""
"14"	"8"	"173"	"223"	"39"	"3"	"11"	"7"	"11"	"11"	"26"	"-504"	""	"-504"	""	""
"15"	"8A"	"127"	"53"	"24"	"4"	"1"	"4"	"2"	"2"	"3"	"-220"	""	"-220"	""	""
"16"	"9"	"210"	"247"	"29"	"9"	"8"	"12"	"4"	"16"	"26"	"-561"	""	"-561"	""	""
"17"	"10"	"91"	"25"	"169"	"10"	"1"	"2"	"12"	"5"	"13"	"-328"	""	"-328"	""	""
"18"	"11"	"185"	"160"	"151"	"3"	"12"	"3"	"7"	"11"	"20"	"-552"	""	"-552"	""	""
"19"	"12"	"83"	"171"	"99"	"6"	"3"	"6"	"7"	"4"	"1"	"-380"	""	"-380"	""	""
"20"	"13"	"124"	"128"	"186"	"12"	"8"	"6"	"22"	"6"	"16"	"-508"	""	"-508"	""	""
"21"	"14"	"232"	"43"	"117"	"7"	"1"	"2"	"6"	"2"	"6"	"-416"	""	"-416"	""	""
"22"	"15"	"84"	"143"	"143"	"6"	"5"	"11"	"14"	"12"	"13"	"-431"	""	"-431"	""	""
"23"	"16"	"232"	"183"	"36"	"8"	"14"	"8"	"7"	"14"	"11"	"-513"	""	"-513"	""	""
"24"	"17"	"50"	"132"	"241"	"6"	"4"	"4"	"26"	"6"	"22"	"-491"	""	"-491"	""	""
"25"	"18"	"117"	"278"	"129"	"8"	"11"	"4"	"10"	"11"	"15"	"-583"	""	"-583"	""	""
"26"	"19"	"436"	"28"	"4"	"1"	""	""	"3"	"1"	"5"	"-478"	""	"-478"	""	""
