"NAME.OF.THE.ASSEMBLY.CONSTITUENCY.....76..Khajauli"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"4"	"Round 1"	"1"	"7"	"20"	"6"	"186"	"258"	"16"	"7"	"6"	"18"	"524"	""	"524"	""
"5"	""	"2"	"18"	"99"	"21"	"123"	"289"	"13"	"18"	"9"	"33"	"623"	""	"623"	""
"6"	""	"3"	"18"	"48"	"14"	"115"	"271"	"32"	"23"	"11"	"39"	"571"	""	"571"	""
"7"	""	"4"	"21"	"131"	"15"	"126"	"66"	"11"	"14"	"8"	"19"	"411"	""	"411"	""
"8"	""	"5"	"17"	"34"	"8"	"163"	"168"	"15"	"7"	"4"	"5"	"421"	""	"421"	""
"9"	""	"5&d"	"10"	"22"	"5"	"64"	"175"	"11"	"9"	"5"	"8"	"309"	""	"309"	""
"10"	""	"6"	"14"	"81"	"20"	"130"	"164"	"8"	"15"	"10"	"16"	"458"	""	"458"	""
"11"	""	"6&d"	"7"	"45"	"11"	"81"	"40"	"1"	"11"	"5"	"7"	"208"	""	"208"	""
"12"	""	"7"	"3"	"53"	"12"	"197"	"80"	"17"	"20"	"6"	"9"	"397"	""	"397"	""
"13"	""	"7&d"	"16"	"103"	"8"	"54"	"29"	"5"	"16"	"4"	"3"	"238"	""	"238"	""
"14"	""	"8"	"20"	"73"	"8"	"148"	"115"	"4"	"4"	"4"	"6"	"382"	""	"382"	""
"15"	""	"8&d"	"14"	"42"	"9"	"49"	"120"	"10"	"6"	"7"	"16"	"273"	""	"273"	""
"16"	""	"9"	"7"	"39"	"12"	"63"	"269"	"13"	"6"	"1"	"4"	"414"	""	"414"	""
"17"	""	"10"	"7"	"8"	"5"	"227"	"115"	"13"	"10"	"2"	"10"	"397"	""	"397"	""
"18"	""	"Total"	"179"	"798"	"154"	"1726"	"2159"	"169"	"166"	"82"	"193"	"5626"	""	"5626"	""
"19"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"23"	"Round 2"	"11"	"7"	"58"	"13"	"327"	"24"	"12"	"8"	"2"	"3"	"454"	""	"454"	""
"24"	""	"11&d"	"4"	"3"	"4"	"154"	"60"	"9"	"3"	"5"	"18"	"260"	""	"260"	""
"25"	""	"12"	"8"	"7"	"2"	"290"	"68"	"9"	"6"	"12"	"43"	"445"	""	"445"	""
