"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 164-CHAUTHAM ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 203898                                                                                         Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 164-CHAUTHAM ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"8"	""	"PANNALAL SINGH \"PATEL\" (JD(U))"	"PAWAN KUMAR    (BSP)"	"YUVRAJ JAY KRITI SINGH (INC)"	"SUNITA SHARMA (LJP)"	"DHIRENDRA KUMAR SINGH (SP)"	"BHARAT KUMAR YADAV (KVSP)"	"ANOOP LAL GUPTA      (IND)"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"10"	"1"	"21"	"3"	"4"	"4"	"4"	"403"	"2"	"441"	""	"441"	""
"11"	"1A"	"49"	"5"	"6"	"9"	"6"	"320"	"16"	"411"	""	"411"	""
"12"	"2"	"4"	"6"	"1"	"9"	"3"	"320"	"4"	"347"	""	"347"	""
"13"	"2A"	"15"	"4"	"22"	"103"	"9"	"207"	"10"	"370"	""	"370"	""
"14"	"3"	"11"	"3"	"9"	"8"	"6"	"574"	"12"	"623"	""	"623"	""
"15"	"4"	"28"	"10"	"11"	"285"	"20"	"344"	"18"	"716"	""	"716"	""
"16"	"5"	"18"	"13"	"10"	"140"	"13"	"95"	"20"	"309"	""	"309"	""
"17"	"6"	"59"	"6"	"14"	"319"	"8"	"196"	"15"	"617"	""	"617"	""
"18"	"7"	"3"	"1"	"3"	"1"	"4"	"437"	"1"	"450"	""	"450"	""
"19"	"8"	"96"	"15"	"34"	"134"	"29"	"242"	"26"	"576"	""	"576"	""
"20"	"9"	"188"	"8"	"13"	"102"	"13"	"76"	"16"	"416"	""	"416"	""
"21"	"10"	"39"	"6"	"19"	"255"	"17"	"204"	"31"	"571"	""	"571"	""
