"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"3"	"Round - 1"	"1"	"48"	"246"	"115"	"18"	"13"	"440"	""	"440"	""
"4"	""	"2"	"231"	"227"	"50"	"14"	"25"	"547"	""	"547"	""
"5"	""	"3"	"29"	"177"	"164"	"16"	"7"	"393"	""	"393"	""
"6"	""	"4"	"366"	"83"	"169"	"13"	"16"	"647"	""	"647"	""
"7"	""	"5"	"268"	"78"	"168"	"17"	"21"	"552"	""	"552"	""
"8"	""	"6"	"58"	"249"	"123"	"18"	"7"	"455"	""	"455"	""
"9"	""	"6A"	"65"	"196"	"106"	"8"	"11"	"386"	""	"386"	""
"10"	""	"7"	"192"	"268"	"87"	"11"	"13"	"571"	""	"571"	""
"11"	""	"8"	"74"	"208"	"263"	"19"	"21"	"585"	""	"585"	""
"12"	""	"9"	"135"	"203"	"156"	"15"	"14"	"523"	""	"523"	""
"13"	""	"10"	"117"	"42"	"63"	"6"	"5"	"233"	""	"233"	""
"14"	""	"11"	"103"	"57"	"60"	"13"	"19"	"252"	""	"252"	""
"15"	""	"11A"	"158"	"60"	"164"	"4"	"15"	"401"	""	"401"	""
"16"	""	"12"	"234"	"101"	"138"	"16"	"9"	"498"	""	"498"	""
"17"	""	"Total"	"2078"	"2195"	"1826"	"188"	"196"	"6483"	""	"6483"	"0"
"18"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"20"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"21"	"Round - 2"	"13"	"88"	"215"	"304"	"20"	"24"	"651"	""	"651"	""
"22"	""	"14"	"113"	"85"	"82"	"12"	"12"	"304"	""	"304"	""
"23"	""	"14A"	"174"	"89"	"147"	"11"	"13"	"434"	""	"434"	""
"24"	""	"15"	"123"	"51"	"197"	"25"	"21"	"417"	""	"417"	""
"25"	""	"16"	"31"	"141"	"265"	"19"	"19"	"475"	""	"475"	""
"26"	""	"17"	"136"	"305"	"58"	"6"	"13"	"518"	""	"518"	""
"27"	""	"18"	"27"	"144"	"262"	"15"	"32"	"480"	""	"480"	""
"28"	""	"19"	"101"	"261"	"189"	"21"	"21"	"593"	""	"593"	""
"29"	""	"20"	"127"	"176"	"74"	"11"	"20"	"408"	""	"408"	""
"30"	""	"21"	"160"	"184"	"33"	"4"	"6"	"387"	""	"387"	""
"31"	""	"22"	"162"	"231"	"85"	"22"	"13"	"513"	""	"513"	""
"32"	""	"23"	"177"	"97"	"165"	"19"	"33"	"491"	""	"491"	""
"33"	""	"24"	"121"	"25"	"171"	"10"	"9"	"336"	""	"336"	""
"34"	""	"25"	"78"	"99"	"274"	"17"	"11"	"479"	""	"479"	""
"35"	""	"Total"	"1618"	"2103"	"2306"	"212"	"247"	"6486"	""	"6486"	"0"
"36"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"38"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"39"	"Round - 3"	"26"	"129"	"171"	"186"	"10"	"17"	"513"	""	"513"	""
"40"	""	"27"	"176"	"238"	"220"	"24"	"21"	"679"	""	"679"	""
"41"	""	"28"	"222"	"205"	"168"	"19"	"34"	"648"	""	"648"	""
"42"	""	"29"	"131"	"90"	"261"	"11"	"18"	"511"	""	"511"	""
"43"	""	"29A"	"128"	"58"	"163"	"8"	"6"	"363"	""	"363"	""
"44"	""	"30"	"55"	"132"	"81"	"6"	"7"	"281"	""	"281"	""
"45"	""	"31"	"26"	"292"	"215"	"8"	"10"	"551"	""	"551"	""
"46"	""	"32"	"107"	"230"	"81"	"7"	"12"	"437"	""	"437"	""
"47"	""	"33"	"43"	"358"	"205"	"27"	"25"	"658"	""	"658"	""
"48"	""	"34"	"136"	"108"	"128"	"16"	"12"	"400"	""	"400"	""
"49"	""	"34A"	"58"	"110"	"171"	"9"	"5"	"353"	""	"353"	""
"50"	""	"35"	"160"	"221"	"229"	"22"	"29"	"661"	""	"661"	""
"51"	""	"36"	"43"	"271"	"231"	"19"	"22"	"586"	""	"586"	""
"52"	""	"37"	"152"	"120"	"149"	"12"	"14"	"447"	""	"447"	""
"53"	""	"Total"	"1566"	"2604"	"2488"	"198"	"232"	"7088"	""	"7088"	"0"
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"Arun Shankar Prasad,
BJP"	"Ram Naresh Pandey,
CPI"	"Sita Ram Yadav, RJD"	"Umesh Chaudhary, SP"	"Vishwanath Yadav, Independent"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"57"	"Round - 4"	"38"	"174"	"200"	"90"	"16"	"15"	"495"	""	"495"	""
"58"	""	"39"	"115"	"207"	"313"	"19"	"10"	"664"	""	"664"	""
"59"	""	"40"	"106"	"134"	"37"	"13"	"15"	"305"	""	"305"	""
