"X116.....flags.oj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ernku dsUnz la[;k"	"vjfoUn dqekj"	"eks0 ijost vkye"	"czãnos   eaMy"	"jkes'oj izlkn
;kno"	"vjfoUn ljnkj"	"fueZy dqekj
;kno"	"eks0 blyke"	"ukjk;.kh ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"3"	"1"	"370"	"55"	"11"	"93"	"11"	"56"	"12"	"18"	"626"	"0"	"626"	"0"
"4"	"2"	"46"	"15"	"3"	"225"	"8"	"45"	"7"	"8"	"357"	"0"	"357"	"0"
"5"	"2 A"	"114"	"7"	"2"	"114"	"3"	"16"	"5"	"6"	"267"	"0"	"267"	"0"
"6"	"3"	"50"	"33"	"7"	"273"	"3"	"40"	"3"	"4"	"413"	"0"	"413"	"0"
"7"	"4"	"125"	"36"	"6"	"269"	"9"	"63"	"9"	"13"	"530"	"0"	"530"	"0"
"8"	"5"	"327"	"27"	"6"	"69"	"8"	"24"	"3"	"16"	"480"	"0"	"480"	"0"
"9"	"6"	"333"	"86"	"11"	"199"	"4"	"25"	"3"	"7"	"668"	"0"	"668"	"0"
"10"	"7"	"180"	"43"	"9"	"113"	"6"	"5"	"2"	"8"	"366"	"0"	"366"	"0"
"11"	"7 A"	"226"	"16"	"7"	"42"	"2"	"3"	"1"	"8"	"305"	"0"	"305"	"0"
"12"	"8"	"126"	"28"	"3"	"242"	"3"	"31"	"11"	"6"	"450"	"0"	"450"	"0"
"13"	"9"	"88"	"11"	"4"	"431"	"7"	"41"	"12"	"19"	"613"	"0"	"613"	"0"
"14"	"10"	"89"	"63"	"3"	"197"	"3"	"27"	"9"	"10"	"401"	"0"	"401"	"0"
"15"	"10 A"	"84"	"8"	"0"	"187"	"6"	"22"	"3"	"3"	"313"	"0"	"313"	"0"
"16"	"11"	"50"	"23"	"5"	"254"	"3"	"29"	"7"	"3"	"374"	"0"	"374"	"0"
"17"	"ROUND 1"	"2208"	"451"	"77"	"2708"	"76"	"427"	"87"	"129"	"6163"	"0"	"6163"	"0"
"18"	"12"	"161"	"11"	"5"	"182"	"6"	"48"	"14"	"19"	"446"	"0"	"446"	"0"
"19"	"13"	"156"	"127"	"10"	"84"	"12"	"44"	"8"	"17"	"458"	"0"	"458"	"0"
"20"	"14"	"193"	"81"	"10"	"256"	"4"	"37"	"4"	"11"	"596"	"0"	"596"	"0"
"21"	"15"	"148"	"74"	"10"	"87"	"4"	"29"	"11"	"14"	"377"	"0"	"377"	"0"
"22"	"15 A"	"120"	"8"	"2"	"125"	"2"	"18"	"5"	"4"	"284"	"0"	"284"	"0"
"23"	"16"	"324"	"42"	"4"	"96"	"4"	"24"	"6"	"10"	"510"	"0"	"510"	"0"
"24"	"17"	"247"	"10"	"5"	"124"	"4"	"32"	"9"	"13"	"444"	"0"	"444"	"0"
"25"	"18"	"396"	"49"	"6"	"64"	"4"	"26"	"4"	"15"	"564"	"0"	"564"	"0"
"26"	"19"	"22"	"9"	"5"	"287"	"2"	"35"	"3"	"6"	"369"	"0"	"369"	"0"
"27"	"20"	"42"	"13"	"20"	"309"	"4"	"39"	"8"	"5"	"440"	"0"	"440"	"0"
"28"	"21"	"299"	"18"	"8"	"236"	"1"	"47"	"4"	"20"	"633"	"0"	"633"	"0"
"29"	"22"	"140"	"12"	"8"	"76"	"5"	"33"	"8"	"43"	"325"	"0"	"325"	"0"
"30"	"22 A"	"94"	"4"	"5"	"66"	"3"	"16"	"5"	"11"	"204"	"0"	"204"	"0"
"31"	"23"	"100"	"9"	"0"	"40"	"2"	"12"	"3"	"46"	"212"	"0"	"212"	"0"
"32"	"ROUND 2"	"2442"	"467"	"98"	"2032"	"57"	"440"	"92"	"234"	"5862"	"0"	"5862"	"0"
"33"	"23 A"	"203"	"9"	"0"	"26"	"0"	"9"	"5"	"126"	"378"	"0"	"378"	"0"
"34"	"24"	"295"	"20"	"10"	"98"	"4"	"26"	"6"	"79"	"538"	"0"	"538"	"0"
"35"	"25"	"117"	"62"	"8"	"209"	"9"	"53"	"19"	"22"	"499"	"0"	"499"	"0"
"36"	"26"	"379"	"26"	"3"	"65"	"4"	"16"	"5"	"25"	"523"	"0"	"523"	"0"
"37"	"27"	"148"	"6"	"6"	"98"	"5"	"22"	"6"	"19"	"310"	"0"	"310"	"0"
"38"	"28"	"216"	"19"	"7"	"239"	"10"	"55"	"13"	"37"	"596"	"0"	"596"	"0"
"39"	"29"	"194"	"24"	"9"	"162"	"4"	"30"	"4"	"6"	"433"	"0"	"433"	"0"
"40"	"30"	"457"	"14"	"6"	"79"	"7"	"19"	"8"	"19"	"609"	"0"	"609"	"0"
"41"	"31"	"415"	"39"	"6"	"72"	"5"	"19"	"5"	"3"	"564"	"0"	"564"	"0"
"42"	"32"	"221"	"29"	"2"	"114"	"5"	"48"	"6"	"10"	"435"	"0"	"435"	"0"
"43"	"33"	"234"	"67"	"5"	"67"	"4"	"15"	"9"	"16"	"417"	"0"	"417"	"0"
"44"	"34"	"251"	"18"	"6"	"234"	"6"	"36"	"7"	"13"	"571"	"0"	"571"	"0"
"45"	"35"	"97"	"60"	"6"	"192"	"7"	"64"	"4"	"11"	"441"	"0"	"441"	"0"
"46"	"36"	"207"	"13"	"6"	"201"	"11"	"47"	"9"	"10"	"504"	"0"	"504"	"0"
"47"	"ROUND 3"	"3434"	"406"	"80"	"1856"	"81"	"459"	"106"	"396"	"6818"	"0"	"6818"	"0"
"48"	"37"	"144"	"31"	"4"	"116"	"7"	"24"	"6"	"8"	"340"	"0"	"340"	"0"
"49"	"38"	"171"	"21"	"9"	"190"	"8"	"46"	"19"	"18"	"482"	"0"	"482"	"0"
"50"	"38 A"	"20"	"1"	"2"	"112"	"3"	"13"	"3"	"3"	"157"	"0"	"157"	"0"
"51"	"39"	"130"	"116"	"7"	"181"	"5"	"46"	"10"	"18"	"513"	"0"	"513"	"0"
"52"	"40"	"137"	"218"	"8"	"53"	"6"	"30"	"11"	"27"	"490"	"0"	"490"	"0"
"53"	"41"	"322"	"15"	"3"	"55"	"3"	"14"	"3"	"9"	"424"	"0"	"424"	"0"
"54"	"42"	"282"	"39"	"6"	"60"	"3"	"23"	"1"	"11"	"425"	"0"	"425"	"0"
"55"	"116  &  flags'oj"	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"ernku dsUnz la[;k"	"vjfoUn dqekj"	"eks0 ijost vkye"	"czãnos   eaMy"	"jkes'oj izlkn
;kno"	"vjfoUn ljnkj"	"fueZy dqekj
;kno"	"eks0 blyke"	"ukjk;.kh ;kno"	"dqy fof/kekU; er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"57"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"58"	"43"	"326"	"23"	"2"	"76"	"5"	"19"	"4"	"8"	"463"	"0"	"463"	"0"
"59"	"44"	"168"	"8"	"0"	"53"	"2"	"14"	"4"	"4"	"253"	"0"	"253"	"0"
"60"	"45"	"224"	"37"	"7"	"175"	"6"	"56"	"10"	"19"	"534"	"0"	"534"	"0"
"61"	"46"	"61"	"6"	"2"	"165"	"5"	"24"	"4"	"7"	"274"	"0"	"274"	"0"
"62"	"47"	"50"	"8"	"4"	"202"	"7"	"56"	"17"	"13"	"357"	"0"	"357"	"0"
"63"	"48"	"56"	"9"	"0"	"141"	"4"	"26"	"6"	"7"	"249"	"0"	"249"	"0"
"64"	"49"	"123"	"20"	"3"	"134"	"1"	"54"	"7"	"4"	"346"	"0"	"346"	"0"
"65"	"ROUND 4"	"2214"	"552"	"57"	"1713"	"65"	"445"	"105"	"156"	"5307"	"0"	"5307"	"0"
"66"	"50"	"69"	"26"	"5"	"120"	"3"	"41"	"11"	"15"	"290"	"0"	"290"	"0"
"67"	"50 A"	"40"	"8"	"4"	"61"	"1"	"39"	"3"	"5"	"161"	"0"	"161"	"0"
"68"	"51"	"10"	"95"	"13"	"126"	"5"	"45"	"11"	"3"	"308"	"0"	"308"	"0"
"69"	"51 A"	"30"	"7"	"7"	"102"	"1"	"33"	"2"	"2"	"184"	"0"	"184"	"0"
"70"	"52"	"43"	"31"	"3"	"206"	"2"	"46"	"3"	"5"	"339"	"0"	"339"	"0"
"71"	"52 A"	"25"	"8"	"4"	"254"	"4"	"22"	"7"	"5"	"329"	"0"	"329"	"0"
"72"	"53"	"20"	"20"	"2"	"177"	"8"	"24"	"5"	"4"	"260"	"0"	"260"	"0"
