"Serial.No.of.Polling.Station."	"Upendar.Prasad.Singh"	"Nand.Kumar.Choudhary"	"Ram.Lakhan.Mahto"	"Sheel.Kumar.Ray"	"Pramchand.Kumar"	"Hari.Narayan.Paswan"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"1"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"2"	"1"	"60"	"13"	"264"	"168"	"13"	"13"	"531"	""	"531"	""
"3"	"2"	"48"	"19"	"175"	"263"	"14"	"14"	"533"	""	"533"	""
"4"	"3"	"104"	"4"	"116"	"89"	"13"	"13"	"339"	""	"339"	""
"5"	"3A"	"175"	"6"	"34"	"106"	"14"	"5"	"340"	""	"340"	""
"6"	"4"	"64"	"7"	"168"	"50"	"13"	"17"	"319"	""	"319"	""
"7"	"4A"	"165"	"10"	"169"	"47"	"3"	"17"	"411"	""	"411"	""
"8"	"5"	"132"	"11"	"105"	"131"	"18"	"21"	"418"	""	"418"	""
"9"	"6"	"230"	"8"	"121"	"109"	"13"	"19"	"500"	""	"500"	""
"10"	"7"	"60"	"6"	"58"	"145"	"15"	"17"	"301"	""	"301"	""
"11"	"8"	"107"	"9"	"130"	"86"	"3"	"16"	"351"	""	"351"	""
"12"	"9"	"21"	"7"	"139"	"231"	"14"	"19"	"431"	""	"431"	""
"13"	"10"	"55"	"12"	"82"	"149"	"11"	"9"	"318"	""	"318"	""
"14"	"10A"	"149"	"4"	"31"	"94"	"3"	"9"	"290"	""	"290"	""
"15"	"11"	"89"	"15"	"65"	"150"	"31"	"22"	"372"	""	"372"	""
"16"	"Page Total"	"1459"	"131"	"1657"	"1818"	"178"	"211"	"5454"	"0"	"5454"	"0"
"17"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"18"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"19"	"B.F."	"1459"	"131"	"1657"	"1818"	"178"	"211"	"5454"	"0"	"5454"	"0"
"20"	"12"	"107"	"13"	"200"	"157"	"13"	"19"	"509"	""	"509"	""
"21"	"13"	"41"	"7"	"112"	"234"	"28"	"24"	"446"	""	"446"	""
"22"	"14"	"198"	"2"	"16"	"217"	"11"	"13"	"457"	""	"457"	""
"23"	"15"	"175"	"4"	"89"	"51"	"9"	"17"	"345"	""	"345"	""
