"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Name of the Assembly Constituency : - 89 Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Ehsanul Haque"	"Dr. Madan Mohan Jha"	"Shamim Ahmad"	"Shivan Yadav"	"Sanjay Saraogi"	"Abdul Allam"	"Khalikujjama"	"Navin Khatik"	"Raj Kumar Kanth"	"Shrawan Chaudhary"	"Bharat Yadav"	"Md.
Mainuddin Ansari"	"Manoj Kumar Jha"	"Rajesh Kumar Singh"	"Ram Khelawan Mahto"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"8"	"1"	"1"	"56"	"224"	"10"	"1"	"11"	"2"	"0"	"2"	"1"	"3"	"2"	"0"	"3"	"12"	"11"	"338"	"-"	"338"	""
"9"	"2"	"2"	"63"	"122"	"14"	"16"	"264"	"16"	"6"	"4"	"4"	"4"	"2"	"3"	"4"	"5"	"54"	"581"	"-"	"581"	""
"10"	"3"	"2A"	"26"	"56"	"5"	"1"	"25"	"1"	"1"	"2"	"1"	"1"	"0"	"2"	"1"	"1"	"74"	"197"	"-"	"197"	""
"11"	"4"	"3"	"45"	"177"	"6"	"8"	"278"	"8"	"4"	"2"	"1"	"6"	"10"	"6"	"5"	"9"	"21"	"586"	"-"	"586"	""
"12"	"5"	"4"	"55"	"48"	"8"	"8"	"215"	"11"	"2"	"3"	"1"	"4"	"3"	"2"	"3"	"6"	"104"	"473"	"-"	"473"	""
"13"	"6"	"4A"	"34"	"64"	"6"	"3"	"130"	"6"	"1"	"1"	"1"	"1"	"2"	"3"	"2"	"2"	"16"	"272"	"-"	"272"	""
"14"	"7"	"5"	"59"	"111"	"9"	"5"	"78"	"6"	"2"	"3"	"4"	"5"	"4"	"2"	"3"	"7"	"35"	"333"	"-"	"333"	""
"15"	"8"	"6"	"7"	"152"	"10"	"5"	"191"	"8"	"0"	"0"	"6"	"2"	"6"	"4"	"4"	"10"	"18"	"423"	"-"	"423"	""
