"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.vH.fFkZ.ks.ds.Ik.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"1"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"2"	"ROUND- I"	""	""	""	""	""	""	""	""
"3"	"1"	"63"	"112"	"56"	"31"	"262"	""	""	"262"
"4"	"2"	"41"	"270"	"166"	"35"	"512"	""	""	"512"
"5"	"3"	"6"	"163"	"32"	"14"	"215"	""	""	"215"
"6"	"4"	"6"	"73"	"78"	"6"	"163"	""	""	"163"
"7"	"5"	"41"	"149"	"215"	"51"	"456"	""	""	"456"
"8"	"6"	"6"	"146"	"161"	"22"	"335"	""	""	"335"
"9"	"6A"	"14"	"119"	"137"	"11"	"281"	""	""	"281"
"10"	"7"	"24"	"33"	"212"	"35"	"304"	""	""	"304"
"11"	"8"	"34"	"57"	"439"	"39"	"569"	""	""	"569"
"12"	"9"	"32"	"277"	"78"	"24"	"411"	""	""	"411"
"13"	"10"	"19"	"85"	"136"	"29"	"269"	""	""	"269"
"14"	"11"	"20"	"65"	"221"	"27"	"333"	""	""	"333"
"15"	"12"	"15"	"78"	"214"	"35"	"342"	""	""	"342"
"16"	"13"	"10"	"17"	"232"	"16"	"275"	""	""	"275"
"17"	"Round Total"	"331"	"1644"	"2377"	"375"	"4727"	"0"	"0"	"4727"
"18"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"19"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"20"	"ROUND -II"	""	""	""	""	""	""	""	""
"21"	"B.F.->"	"331"	"1644"	"2377"	"375"	"4727"	"0"	"0"	"4727"
"22"	"14"	"16"	"146"	"50"	"7"	"219"	""	""	"219"
"23"	"15"	"29"	"131"	"206"	"34"	"400"	""	""	"400"
"24"	"16"	"12"	"87"	"129"	"8"	"236"	""	""	"236"
"25"	"16A"	"18"	"116"	"138"	"23"	"295"	""	""	"295"
"26"	"17"	"7"	"306"	"165"	"31"	"509"	""	""	"509"
"27"	"18"	"29"	"128"	"202"	"24"	"383"	""	""	"383"
"28"	"19"	"47"	"100"	"403"	"65"	"615"	""	""	"615"
"29"	"20"	"24"	"140"	"116"	"21"	"301"	""	""	"301"
"30"	"21"	"39"	"267"	"143"	"42"	"491"	""	""	"491"
"31"	"22"	"13"	"381"	"45"	"20"	"459"	""	""	"459"
"32"	"23"	"7"	"249"	"65"	"14"	"335"	""	""	"335"
"33"	"24"	"33"	"185"	"230"	"40"	"488"	""	""	"488"
"34"	"25"	"11"	"7"	"211"	"15"	"244"	""	""	"244"
"35"	"26"	"30"	"144"	"170"	"32"	"376"	""	""	"376"
"36"	"Round Total"	"315"	"2387"	"2273"	"376"	"5351"	"0"	"0"	"5351"
"37"	"C.F.->"	"646"	"4031"	"4650"	"751"	"10078"	"0"	"0"	"10078"
"38"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"39"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"40"	"ROUND- III"	""	""	""	""	""	""	""	""
"41"	"B.F.->"	"646"	"4031"	"4650"	"751"	"10078"	"0"	"0"	"10078"
"42"	"27"	"26"	"147"	"135"	"35"	"343"	""	""	"343"
"43"	"28"	"31"	"340"	"60"	"19"	"450"	""	""	"450"
"44"	"29"	"15"	"136"	"14"	"3"	"168"	""	""	"168"
"45"	"30"	"12"	"256"	"86"	"19"	"373"	""	""	"373"
"46"	"31"	"17"	"120"	"195"	"37"	"369"	""	""	"369"
"47"	"32"	"64"	"164"	"332"	"28"	"588"	""	""	"588"
"48"	"33"	"28"	"77"	"216"	"22"	"343"	""	""	"343"
"49"	"34"	"46"	"84"	"251"	"46"	"427"	""	""	"427"
"50"	"35"	"19"	"109"	"224"	"41"	"393"	""	""	"393"
"51"	"36"	"14"	"30"	"166"	"16"	"226"	""	""	"226"
"52"	"37"	"18"	"38"	"191"	"18"	"265"	""	""	"265"
"53"	"38"	"9"	"57"	"152"	"18"	"236"	""	""	"236"
"54"	"38A"	"17"	"87"	"121"	"15"	"240"	""	""	"240"
"55"	"39"	"6"	"234"	"97"	"14"	"351"	""	""	"351"
"56"	"Round Total"	"322"	"1879"	"2240"	"331"	"4772"	"0"	"0"	"4772"
"57"	"C.F.->"	"968"	"5910"	"6890"	"1082"	"14850"	"0"	"0"	"14850"
"58"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"59"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"60"	"ROUND -IV"	""	""	""	""	""	""	""	""
"61"	"B.F.->"	"968"	"5910"	"6890"	"1082"	"14850"	"0"	"0"	"14850"
"62"	"40"	"22"	"132"	"176"	"4"	"334"	""	""	"334"
"63"	"41"	"11"	"108"	"100"	"12"	"231"	""	""	"231"
"64"	"41A"	"9"	"174"	"80"	"13"	"276"	""	""	"276"
"65"	"42"	"7"	"123"	"53"	"15"	"198"	""	""	"198"
"66"	"42A"	"7"	"110"	"36"	"3"	"156"	""	""	"156"
"67"	"43"	"28"	"88"	"179"	"23"	"318"	""	""	"318"
"68"	"44"	"9"	"102"	"41"	"5"	"157"	""	""	"157"
"69"	"45"	"8"	"115"	"52"	"3"	"178"	""	""	"178"
"70"	"46"	"22"	"92"	"54"	"5"	"173"	""	""	"173"
"71"	"47"	"15"	"72"	"238"	"16"	"341"	""	""	"341"
