"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"3"	"Round - 1"	"1"	"278"	"320"	"87"	"28"	"21"	"734"	"0"	"734"	"0"
"4"	""	"2"	"292"	"215"	"46"	"29"	"29"	"611"	"0"	"611"	"0"
"5"	""	"3"	"213"	"275"	"40"	"20"	"28"	"576"	"0"	"576"	"0"
"6"	""	"4"	"212"	"254"	"28"	"11"	"4"	"509"	"0"	"509"	"0"
"7"	""	"5"	"35"	"352"	"16"	"7"	"11"	"421"	"0"	"421"	"0"
"8"	""	"6"	"160"	"186"	"52"	"21"	"25"	"444"	"0"	"444"	"0"
"9"	""	"6-A"	"110"	"170"	"13"	"4"	"5"	"302"	"0"	"302"	"0"
"10"	""	"7"	"161"	"124"	"36"	"9"	"12"	"342"	"0"	"342"	"0"
"11"	""	"7-A"	"230"	"132"	"30"	"16"	"44"	"452"	"0"	"452"	"0"
"12"	""	"8"	"130"	"201"	"30"	"17"	"23"	"401"	"0"	"401"	"0"
"13"	""	"9"	"135"	"258"	"63"	"20"	"25"	"501"	"0"	"501"	"0"
"14"	""	"10"	"210"	"172"	"49"	"17"	"25"	"473"	"0"	"473"	"0"
"15"	""	"11"	"207"	"438"	"51"	"19"	"20"	"735"	"0"	"735"	"0"
"16"	""	"12"	"194"	"224"	"9"	"5"	"8"	"440"	"0"	"440"	"0"
"17"	""	"Total"	"2567"	"3321"	"550"	"223"	"280"	"6941"	"0"	"6941"	"0"
"18"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	""	"UMAKANT YADAV"	"KAPIL DEV KAMAT"	"PRAVIN KUMAR DAS"	"SUKAN PASWAN"	"HARI NARAYAN YADAV"	""	""	""	""
"20"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"21"	"Round - 2"	"12-A"	"110"	"260"	"54"	"12"	"4"	"440"	"0"	"440"	"0"
"22"	""	"13"	"49"	"346"	"25"	"6"	"7"	"433"	"0"	"433"	"0"
"23"	""	"13-A"	"38"	"383"	"31"	"12"	"10"	"474"	"0"	"474"	"0"
"24"	""	"14"	"411"	"124"	"11"	"8"	"11"	"565"	"0"	"565"	"0"
"25"	""	"14-A"	"90"	"254"	"8"	"7"	"10"	"369"	"0"	"369"	"0"
"26"	""	"15"	"12"	"541"	"8"	"2"	"2"	"565"	"0"	"565"	"0"
"27"	""	"16"	"17"	"432"	"12"	"9"	"2"	"472"	"0"	"472"	"0"
"28"	""	"17"	"311"	"308"	"21"	"11"	"21"	"672"	"0"	"672"	"0"
"29"	""	"18"	"113"	"151"	"13"	"3"	"16"	"296"	"0"	"296"	"0"
"30"	""	"19"	"253"	"267"	"40"	"14"	"29"	"603"	"0"	"603"	"0"
"31"	""	"20"	"209"	"397"	"10"	"7"	"10"	"633"	"0"	"633"	"0"
"32"	""	"21"	"117"	"393"	"20"	"17"	"21"	"568"	"0"	"568"	"0"
"33"	""	"22"	"121"	"356"	"72"	"16"	"20"	"585"	"0"	"585"	"0"
