"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	""	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""
"4"	"1"	"12"	""	"248"	""	"85"	""	"11"	""	"0"	""	"1"	""	"7"	""	"9"	""	"23"	""	"11"	""	"407"	""	""	""	""	""	""	""
"5"	"2"	"8"	""	"181"	""	"132"	""	"11"	""	"0"	""	"3"	""	"3"	""	"6"	""	"9"	""	"6"	""	"359"	""	""	""	""	""	""	""
"6"	"3"	"23"	""	"260"	""	"40"	""	"17"	""	"16"	""	"2"	""	"1"	""	"4"	""	"3"	""	"2"	""	"368"	""	""	""	""	""	""	""
"7"	"4"	"26"	""	"33"	""	"206"	""	"24"	""	"5"	""	"5"	""	"4"	""	"4"	""	"2"	""	"18"	""	"327"	""	""	""	""	""	""	""
"8"	"5"	"102"	""	"78"	""	"140"	""	"15"	""	"4"	""	"0"	""	"2"	""	"12"	""	"10"	""	"34"	""	"397"	""	""	""	""	""	""	""
"9"	"6"	"65"	""	"200"	""	"196"	""	"71"	""	"10"	""	"5"	""	"5"	""	"7"	""	"6"	""	"5"	""	"570"	""	""	""	""	""	""	""
"10"	"7"	"57"	""	"47"	""	"220"	""	"29"	""	"1"	""	"1"	""	"3"	""	"4"	""	"3"	""	"7"	""	"372"	""	""	""	""	""	""	""
"11"	"8"	"173"	""	"64"	""	"322"	""	"85"	""	"22"	""	"12"	""	"10"	""	"19"	""	"2"	""	"24"	""	"733"	""	""	""	""	""	""	""
"12"	"9"	"65"	""	"91"	""	"335"	""	"39"	""	"8"	""	"10"	""	"9"	""	"45"	""	"9"	""	"11"	""	"622"	""	""	""	""	""	""	""
"13"	"10"	"28"	""	"35"	""	"422"	""	"216"	""	"15"	""	"13"	""	"9"	""	"13"	""	"4"	""	"16"	""	"771"	""	""	""	""	""	""	""
"14"	"11"	"20"	""	"125"	""	"33"	""	"241"	""	"19"	""	"13"	""	"17"	""	"6"	""	"6"	""	"26"	""	"506"	""	""	""	""	""	""	""
"15"	"12"	"9"	""	"29"	""	"219"	""	"114"	""	"5"	""	"7"	""	"8"	""	"11"	""	"0"	""	"4"	""	"406"	""	""	""	""	""	""	""
"16"	"13"	"9"	""	"10"	""	"108"	""	"146"	""	"8"	""	"8"	""	"7"	""	"8"	""	"1"	""	"8"	""	"313"	""	""	""	""	""	""	""
"17"	"14"	"21"	""	"23"	""	"117"	""	"86"	""	"8"	""	"8"	""	"0"	""	"6"	""	"3"	""	"0"	""	"272"	""	""	""	""	""	""	""
"18"	"TOTAL"	"618"	""	"1424"	""	"2575"	""	"1105"	""	"121"	""	"88"	""	"85"	""	"154"	""	"81"	""	"172"	""	"6423"	""	""	""	""	""	""	""
"19"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
